sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:47.1147984+00:00,0.3658,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60923904,184061952,36349259776,86,11,1313616,,0,0,0,0,0,0,1309488,60891136,,36349267968,,183922688,,9506816,,45568000,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:49.7942842+00:00,2679.8502,setup,t1-after-model-load,0,0,0,0,0,0,0,939184128,1992413184,38793830400,102,21,1888608,,0,0,0,0,0,0,1882752,939167744,,38793830400,,1992196096,,862879744,,67743744,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:49.9250729+00:00,2810.639,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,946757632,1992544256,38793826304,102,21,1986784,,0,0,0,0,0,0,1980616,946737152,,38793826304,,1992327168,,863645696,,74113024,,8978432,,,,,,,97.3976,67,false
3,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:50.2739395+00:00,3159.5052,warmup,warmup-complete,0,0,0,0,0,5,5,947736576,1993121792,38793830400,102,21,2150752,,0,0,0,0,0,0,2144104,947699712,,38793830400,,1992904704,,864260096,,74178560,,9261056,,,,,,,,,
4,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:50.2772276+00:00,3162.793,measurement,request-count-0,0,0,0,0,0,5,5,947802112,1993187328,38793830400,102,21,2224512,,0,0,0,0,0,0,2217624,947781632,,38793830400,,1992970240,,864325632,,74178560,,9277440,,,,,,,,,
5,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:51.2352073+00:00,4120.7733,measurement,request-count-10,10,10,10,0,0,5,15,951242752,1995874304,38793838592,104,21,2576608,,0,0,0,0,0,0,2568736,951218176,,38793838592,,1995657216,,866967552,,74330112,,9920512,,86.5241,94.5391,94.6947,116.6732,123.4384,85.938,67,false
6,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:54.4186099+00:00,7304.1759,measurement,request-count-50,50,50,50,0,0,5,55,952913920,1996922880,38793834496,104,21,3625184,,0,0,0,0,0,0,3614216,952893440,,38793834496,,1996705792,,868024320,,74395648,,10473472,,97.1494,78.9943,75.6807,98.0648,118.123,96.7996,67,false
7,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:17:59.2741865+00:00,12159.7527,measurement,request-count-100,100,100,100,0,0,5,105,958623744,2052284416,39112871936,106,22,4919600,,0,0,0,0,0,0,4904816,958603264,,39112871936,,2052001792,,872697856,,75247616,,10657792,,119.5602,96.5856,85.1941,175.4826,279.1684,119.1864,67,false
8,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:18:03.4060900+00:00,16291.6561,measurement,request-count-150,150,150,150,0,0,5,155,959909888,2036752384,39096094720,104,21,6205648,,0,0,0,0,0,0,6187096,959893504,,39096094720,,2036535296,,873975808,,75247616,,10670080,,64.623,80.898,71.426,126.1315,143.9702,64.2756,67,false
9,phase3a-formal-20260925-v2-baseline-full-pipeline,full-pipeline,2026-09-24T19:18:07.0659413+00:00,19951.5073,measurement,request-count-200,200,200,200,0,0,5,205,961236992,2038063104,39096094720,104,21,7499920,,0,0,0,0,0,0,7477552,961212416,,39096094720,,2037846016,,875266048,,75247616,,10698752,,75.0994,72.8198,69.0387,103.8675,107.0581,74.7245,67,false
