sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:24.6035560+00:00,0.351,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60952576,184061952,36483477504,86,11,1314512,,0,0,0,0,0,0,1310432,60915712,,36483485696,,183922688,,9535488,,45563904,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:27.2633078+00:00,2660.1015,setup,t1-after-model-load,0,0,0,0,0,0,0,939114496,1992445952,38928080896,102,21,1894104,,0,0,0,0,0,0,1888344,939089920,,38928080896,,1992232960,,862908416,,67637248,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:27.4133107+00:00,2810.1042,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944918528,1992577024,38928076800,102,21,1992280,,0,0,0,0,0,0,1986208,944893952,,38928076800,,1992364032,,863678464,,72237056,,8978432,,,,,,,115.4106,67,false
3,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:27.8245523+00:00,3221.3456,warmup,warmup-complete,0,0,0,0,0,5,5,945950720,1993170944,38928089088,102,21,2156248,,0,0,0,0,0,0,2149672,945901568,,38928089088,,1992957952,,864305152,,72302592,,9293824,,,,,,,,,
4,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:27.8277504+00:00,3224.5433,measurement,request-count-0,0,0,0,0,0,5,5,946016256,1993236480,38928089088,102,21,2221784,,0,0,0,0,0,0,2214992,945999872,,38928089088,,1993023488,,864378880,,72302592,,9318400,,,,,,,,,
5,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:28.6142175+00:00,4011.0106,measurement,request-count-10,10,10,10,0,0,5,15,949346304,1995919360,38928097280,104,21,2574136,,0,0,0,0,0,0,2566384,949325824,,38928097280,,1995640832,,867012608,,72454144,,9859072,,69.9873,77.8072,80.444,89.6284,91.094,69.6095,67,false
6,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:31.7486582+00:00,7145.4516,measurement,request-count-50,50,50,50,0,0,5,55,951083008,1996967936,38928084992,104,21,3630680,,0,0,0,0,0,0,3619832,951054336,,38928084992,,1996689408,,868065280,,72519680,,10469376,,66.4871,77.9707,77.2873,100.2024,112.34,66.1516,67,false
7,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:35.3778460+00:00,10774.6394,measurement,request-count-100,100,100,100,0,0,5,105,956502016,2052038656,39247122432,107,22,4916832,,0,0,0,0,0,0,4902168,956477440,,39247122432,,2051825664,,872452096,,73371648,,10653696,,80.2471,72.2584,69.0628,104.0543,110.8253,79.9075,67,false
8,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:39.0608272+00:00,14457.6215,measurement,request-count-150,150,150,150,0,0,5,155,958070784,2036785152,39230341120,104,21,6211104,,0,0,0,0,0,0,6192648,958046208,,39230341120,,2036572160,,874004480,,73371648,,10670080,,78.2204,73.2401,68.391,107.0706,110.9129,77.6475,67,false
9,phase3a-formal-20260925-v3-baseline-full-pipeline,full-pipeline,2026-09-24T21:19:42.8060086+00:00,18202.8021,measurement,request-count-200,200,200,200,0,0,5,205,959381504,2038095872,39230345216,104,21,7497152,,0,0,0,0,0,0,7474880,959356928,,39230345216,,2037882880,,875290624,,73371648,,10694656,,83.6675,74.4945,71.223,105.476,115.4857,83.3147,67,false
