request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,149.4859,141.6997,false
1,202.4331,201.7757,false
2,176.7767,176.2187,false
3,99.1018,98.272,false
4,98.479,97.958,false
5,94.947,94.3877,false
6,107.9205,107.2513,false
7,116.5911,116.12,false
8,277.2847,276.5609,false
9,150.1917,149.453,false
10,119.949,119.4121,false
11,127.9645,127.5027,false
12,134.8805,134.2861,false
13,104.6707,104.1912,false
14,141.5593,140.8604,false
15,146.5299,145.7078,false
16,124.8532,124.2406,false
17,138.6544,138.079,false
18,179.7573,179.233,false
19,166.5793,166.1195,false
20,78.1355,77.6457,false
21,110.1999,109.7304,false
22,142.8374,142.3361,false
23,125.837,125.2304,false
24,109.0378,108.5647,false
25,147.1587,146.6316,false
26,142.4522,141.6585,false
27,139.9997,139.2979,false
28,119.5249,119.0737,false
29,94.5605,94.0202,false
30,116.206,115.7113,false
31,105.609,105.2204,false
32,92.4911,92.0925,false
33,136.3151,135.242,false
34,117.3158,116.6669,false
35,136.181,135.7017,false
36,161.0631,160.4755,false
37,114.2939,112.8133,false
38,104.6072,104.1949,false
39,112.8372,112.4047,false
40,130.8048,130.3619,false
41,86.6395,85.6575,false
42,133.8972,133.4137,false
43,116.6016,116.1883,false
44,85.4148,84.9628,false
45,157.9664,157.4817,false
46,81.298,80.7857,false
47,87.5274,87.0244,false
48,150.1331,148.9676,false
49,90.4471,89.9798,false
50,185.945,182.526,false
51,163.6608,161.6881,false
52,158.4506,157.6884,false
53,111.1083,110.6135,false
54,122.098,121.4556,false
55,172.5066,172.0302,false
56,188.3214,183.7199,false
57,216.9025,216.4849,false
58,89.3105,88.9294,false
59,135.5194,135.0157,false
60,168.8609,168.4574,false
61,201.2716,200.899,false
62,122.0512,118.7492,false
63,193.0537,189.1248,false
64,347.6948,347.2298,false
65,93.1054,92.6943,false
66,267.1391,266.5648,false
67,157.7453,156.9965,false
68,122.4649,122.0656,false
69,121.2983,120.8568,false
70,148.3368,147.9143,false
71,120.5924,120.1023,false
72,133.6841,133.1864,false
73,114.0636,113.6683,false
74,220.6055,220.2656,false
75,95.721,95.3484,false
76,85.4837,85.0926,false
77,96.4392,96.0493,false
78,73.7206,73.3553,false
79,130.4019,130.0334,false
80,170.662,170.3076,false
81,127.0894,126.664,false
82,113.1874,112.7747,false
83,123.6024,123.1319,false
84,79.9263,79.3418,false
85,306.1181,305.7844,false
86,155.2669,154.9185,false
87,83.8788,83.4713,false
