sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:37.7712817+00:00,0.3742,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,50507776,79183872,17824821248,84,9,1216200,,0,0,0,0,0,0,1212504,50483200,,17824829440,,79048704,,5799936,,37834752,,6848512,,,,,,,,,
1,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:40.6063902+00:00,2835.4803,setup,t1-after-model-load,0,0,0,0,0,0,0,930066432,1804070912,20186464256,95,19,1691400,,0,0,0,0,0,0,1686216,930041856,,20186464256,,1803923456,,859615232,,61190144,,9236480,,,,,,,,,
2,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:40.8204288+00:00,3049.52,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,936058880,1804201984,20186464256,95,19,1781608,,0,0,0,0,0,0,1776136,936038400,,20186464256,,1803988992,,860385280,,65818624,,9834496,,,,,,,183.6624,67,false
3,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:41.4183036+00:00,3647.3934,warmup,warmup-complete,0,0,0,0,0,5,5,937816064,1804652544,20186464256,95,19,1945320,,0,0,0,0,0,0,1939368,937811968,,20186476544,,1804505088,,860893184,,66060288,,10858496,,,,,,,,,
4,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:41.4269682+00:00,3656.0589,measurement,request-count-0,0,0,0,0,0,5,5,937885696,1804718080,20186464256,95,19,2002632,,0,0,0,0,0,0,1996488,937857024,,20186464256,,1804570624,,860950528,,66060288,,10846208,,,,,,,,,
5,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:42.9123166+00:00,5141.4066,measurement,request-count-10,10,10,10,0,0,5,15,939225088,1805049856,20186480640,97,19,2325832,,0,0,0,0,0,0,2318728,939200512,,20186480640,,1804902400,,861282304,,66191360,,11726848,,150.1917,147.3211,133.0385,243.6014,270.548,149.453,67,false
6,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:47.8475430+00:00,10076.6331,measurement,request-count-50,50,50,50,0,0,5,55,940949504,1806098432,20186480640,97,19,3378888,,0,0,0,0,0,0,3368664,940929024,,20186480640,,1805950976,,862343168,,66265088,,12320768,,90.4471,122.8197,122.4011,161.3389,174.6178,89.9798,67,false
7,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:00:54.8712813+00:00,17100.3715,measurement,request-count-100,100,100,100,0,0,5,105,943792128,1833873408,20480094208,99,19,4673320,,0,0,0,0,0,0,4659256,943767552,,20480094208,,1833660416,,864428032,,66752512,,12587008,,85.4383,139.9103,125.3459,246.1989,327.3222,85.1472,67,false
8,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:01:00.3052251+00:00,22534.3153,measurement,request-count-150,150,150,150,0,0,5,155,945111040,1835118592,20480094208,97,19,5967592,,0,0,0,0,0,0,5949688,945098752,,20480094208,,1834971136,,865755136,,66752512,,12591104,,144.3366,108.1306,101.9086,147.4796,180.5476,143.959,67,false
9,p3a-phase3a-formal-20260925--19e0655c-docker-4000000000-full-pipeline-1000-1,full-pipeline,2026-09-25T00:01:11.4414343+00:00,33670.5248,measurement,request-count-200,200,200,200,0,0,5,205,946470912,1836433408,20480098304,97,19,7270088,,0,0,0,0,0,0,7248368,946446336,,20480098304,,1836285952,,867053568,,66752512,,12640256,,63.4824,221.7484,243.7859,336.1432,424.4374,63.1124,67,false
