request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,77.2315,76.6187,false
1,68.6881,68.1624,false
2,99.9069,99.3601,false
3,79.1517,78.6441,false
4,86.435,85.9024,false
5,65.0505,64.5145,false
6,73.5693,72.9388,false
7,79.6672,77.3925,false
8,77.4146,76.7322,false
9,82.1962,81.5844,false
10,82.2787,81.7168,false
11,85.7434,85.2572,false
12,96.7388,96.0182,false
13,81.6888,80.2508,false
14,122.1918,121.5875,false
15,132.2747,131.682,false
16,88.9352,88.3222,false
17,62.3986,62.0087,false
18,81.5401,81.0565,false
19,59.3252,58.609,false
20,103.4923,103.0845,false
21,91.8018,91.2742,false
22,107.9977,107.573,false
23,72.917,72.5401,false
24,85.8426,85.3098,false
25,72.3476,71.9667,false
26,87.0846,86.6696,false
27,81.6272,81.2224,false
28,100.3644,99.9678,false
29,64.099,63.6528,false
30,85.5043,85.1439,false
31,54.1083,53.753,false
32,62.1224,61.7629,false
33,61.5892,61.2508,false
34,74.9412,74.5356,false
35,86.6873,86.3211,false
36,61.7224,61.3685,false
37,82.2584,81.8984,false
38,60.8581,60.5677,false
39,73.7158,73.4145,false
40,69.2572,68.9434,false
41,67.6436,67.3215,false
42,82.0207,81.7094,false
43,89.7032,89.3649,false
44,76.4324,76.0872,false
45,60.0786,59.8297,false
46,77.2933,76.883,false
47,71.9075,71.6182,false
48,59.1623,58.8613,false
49,76.431,76.1338,false
50,85.7483,85.3311,false
51,79.668,79.3071,false
52,110.4238,110.0766,false
53,108.729,108.3596,false
54,77.4612,77.081,false
55,65.7153,65.2414,false
56,53.0047,52.5911,false
57,84.4816,84.1108,false
58,112.3734,111.9182,false
59,100.3319,99.9772,false
60,80.63,80.276,false
61,65.1903,64.7578,false
62,89.788,89.3808,false
63,59.5845,58.9016,false
64,69.577,69.236,false
65,75.9724,75.6598,false
66,67.3754,67.0443,false
67,85.7207,85.4054,false
68,67.0369,66.7205,false
69,75.3955,74.9779,false
70,90.8019,90.3592,false
71,53.5269,53.2264,false
72,63.1366,62.8492,false
73,68.0497,66.9892,false
