sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:35.4351129+00:00,0.3183,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66547712,190029824,36483706880,94,11,7291736,0,0,0,0,0,0,7284008,66502656,,36483706880,,189890560,,15462400,,45477888,,5562368,,,,,,,,,
1,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:38.1681651+00:00,2733.3711,setup,t1-after-model-load,0,0,0,0,0,0,0,945029120,1998503936,38928048128,110,21,7889240,0,0,0,0,0,0,7879808,945004544,,38928048128,,1998360576,,868818944,,67735552,,8450048,,,,,,,,,
2,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:38.2979520+00:00,2863.1561,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,952819712,1998569472,38928052224,110,21,7987672,0,0,0,0,0,0,7977928,952795136,,38928052224,,1998426112,,869584896,,74301440,,8908800,,,,,,,94.0971,67,false
3,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:38.5764697+00:00,3141.6737,warmup,warmup-complete,0,0,0,0,0,5,5,953266176,1998893056,38928060416,110,21,8151384,0,0,0,0,0,0,8141136,953241600,,38928060416,,1998749696,,869863424,,74366976,,9011200,,,,,,,,,
4,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:38.5784703+00:00,3143.6739,measurement,request-count-0,0,0,0,0,0,5,5,953339904,1998958592,38928060416,110,21,8225144,0,0,0,0,0,0,8214680,953311232,,38928060416,,1998815232,,869933056,,74366976,,9011200,,,,,,,,,
5,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:39.3802045+00:00,3945.4084,measurement,request-count-10,10,10,10,0,0,5,15,955551744,2000207872,38928068608,102,21,753112,616752,7296,1,1,0,0,8512528,955551744,,38928068608,,2000064512,,871321600,,74584064,,9646080,,82.1962,78.931,78.2831,93.8445,98.6944,81.5844,67,false
6,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:42.6508611+00:00,7216.0655,measurement,request-count-50,50,50,50,0,0,5,55,957497344,2001248256,38928056320,102,21,1799224,616752,7296,1,1,0,0,9555544,957497344,,38928056320,,2001104896,,872386560,,74649600,,10461184,,76.431,79.8531,79.4166,108.7074,128.3423,76.1338,67,false
7,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:46.5021391+00:00,11067.3433,measurement,request-count-100,100,100,100,0,0,5,105,962801664,2056146944,39247093760,105,22,3093488,616752,7296,1,1,0,0,10846016,962801664,,39247093760,,2056003584,,876638208,,75501568,,10661888,,68.9251,76.3543,75.6244,109.3601,111.418,68.5924,67,false
8,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:50.5847697+00:00,15149.9737,measurement,request-count-150,150,150,150,0,0,5,155,963104768,2056359936,39247097856,105,22,4380024,616752,7296,1,1,0,0,12128760,963104768,,39247097856,,2056216576,,876916736,,75501568,,10686464,,105.4719,81.2234,79.687,109.4672,120.9427,103.2186,67,false
9,phase3a-diagnostic-managed-heap-negative-20260925,full-pipeline,2026-09-24T18:36:54.6789157+00:00,19244.1198,measurement,request-count-200,200,200,200,0,0,5,205,963141632,2056359936,39247097856,105,22,5675208,616752,7296,1,1,0,0,13420176,963141632,,39247097856,,2056216576,,876933120,,75501568,,10706944,,90.1347,81.5516,80.7253,108.3052,119.7294,89.795,67,false
