request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,71.3806,70.8737,false
1,66.6281,66.1499,false
2,96.8365,96.2744,false
3,77.4698,76.9782,false
4,89.3739,88.804,false
5,86.5716,85.986,false
6,72.4144,71.8149,false
7,69.7103,65.6762,false
8,73.2047,72.6731,false
9,109.1907,108.6215,false
10,60.7529,60.332,false
11,83.7176,83.2127,false
12,60.873,60.5079,false
13,63.2958,62.9217,false
14,91.2387,90.8364,false
15,115.4435,114.9061,false
16,71.2794,70.9097,false
17,92.8699,92.5022,false
18,84.76,84.3847,false
19,57.3009,56.6448,false
20,90.8315,90.4504,false
21,111.3219,110.9106,false
22,71.2879,70.7842,false
23,78.8465,78.0567,false
24,62.0226,61.5804,false
25,74.0994,73.7329,false
26,69.0068,68.5881,false
27,81.9954,81.6195,false
28,142.8627,142.1121,false
29,57.866,57.5193,false
30,77.259,76.9307,false
31,57.4932,57.1484,false
32,66.94,66.5405,false
33,59.6772,59.1826,false
34,57.011,56.6185,false
35,58.8899,58.513,false
36,101.4674,101.115,false
37,101.3293,100.9645,false
38,59.2594,58.8732,false
39,73.7349,73.3365,false
40,71.3262,70.9412,false
41,98.3684,97.9737,false
42,63.2784,62.8306,false
43,67.0174,66.5854,false
44,67.9164,67.5405,false
45,67.3746,66.9904,false
46,75.3253,74.7703,false
47,62.9153,62.5015,false
48,70.2238,69.8074,false
49,83.9658,83.5084,false
50,68.5992,67.9012,false
51,97.434,97.0501,false
52,97.5285,97.1352,false
53,108.0763,107.7252,false
54,96.9184,96.3983,false
55,77.1052,76.7005,false
56,64.7765,64.2556,false
57,120.0983,119.605,false
58,86.041,85.6321,false
59,56.5912,56.0045,false
60,83.7047,83.3507,false
61,62.118,61.6509,false
62,76.4505,76.0804,false
63,79.8814,79.4008,false
64,115.1586,114.7861,false
65,65.877,65.517,false
66,93.2905,92.8294,false
67,70.2132,69.8616,false
68,63.7732,63.3832,false
69,72.2688,71.8917,false
70,65.5218,65.1616,false
71,122.8045,122.4726,false
72,78.1763,77.7743,false
73,74.5608,74.0014,false
74,65.3387,64.8359,false
75,73.0206,72.668,false
76,72.4665,72.118,false
77,83.1061,81.4603,false
78,58.8834,58.3386,false
79,93.1609,92.7627,false
80,82.0985,81.5355,false
81,74.6996,74.3658,false
82,76.5081,76.1327,false
83,68.3406,67.8895,false
84,74.9543,74.3274,false
85,67.1041,66.644,false
86,105.8389,105.4563,false
87,77.312,76.9655,false
88,72.1062,71.7148,false
89,74.69,74.2557,false
90,57.1783,56.7133,false
91,60.2011,59.8005,false
92,85.5971,85.1283,false
93,99.5335,99.0363,false
94,106.8981,106.5923,false
95,79.0545,78.647,false
96,72.5193,72.0962,false
97,73.9937,73.7092,false
98,74.78,74.2975,false
99,69.8427,69.5381,false
100,121.0014,120.747,false
101,72.8594,72.4785,false
102,61.2821,60.9239,false
103,77.5719,77.1927,false
104,72.6468,72.2203,false
105,77.006,76.4615,false
106,81.0557,80.6722,false
107,103.7023,103.3627,false
108,56.1033,55.7626,false
109,54.6278,54.2685,false
110,64.9646,64.3672,false
111,78.1646,77.5941,false
112,77.8119,77.4375,false
113,79.5457,79.1829,false
114,75.2396,71.8268,false
115,97.7099,97.2225,false
116,79.5062,79.0594,false
117,67.2515,66.7705,false
118,101.0511,99.0414,false
119,87.201,86.8869,false
120,76.8986,76.4269,false
121,78.5036,78.1424,false
122,86.186,85.7973,false
123,78.6894,78.3027,false
124,75.1403,74.6301,false
125,57.5077,57.167,false
126,73.7907,73.314,false
127,66.2566,65.9137,false
128,86.4908,85.9992,false
129,95.847,95.4757,false
130,74.5714,74.1855,false
131,72.7858,72.4747,false
132,81.4329,81.0998,false
133,62.6627,62.3284,false
134,52.5082,52.1506,false
135,64.0302,63.7214,false
136,78.7373,78.389,false
