sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:39.7906091+00:00,0.3814,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60948480,184066048,36483477504,86,11,1303376,0,0,0,0,0,0,1299296,60915712,,36483485696,,183861248,,9490432,,45608960,,5816320,,,,,,,,,
1,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:42.3674792+00:00,2577.2502,setup,t1-after-model-load,0,0,0,0,0,0,0,939143168,1992425472,38927990784,102,21,1884072,0,0,0,0,0,0,1878312,939118592,,38927990784,,1992208384,,862879744,,67702784,,8536064,,,,,,,,,
2,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:42.5269284+00:00,2736.699,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,946905088,1992556544,38927986688,102,21,1982504,0,0,0,0,0,0,1976456,946880512,,38927986688,,1992273920,,863645696,,74268672,,8966144,,,,,,,127.3437,67,false
3,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:42.8134434+00:00,3023.2135,warmup,warmup-complete,0,0,0,0,0,5,5,947875840,1993138176,38927998976,102,21,2146216,0,0,0,0,0,0,2139664,947826688,,38927994880,,1992921088,,864260096,,74334208,,9232384,,,,,,,,,
4,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:42.8172679+00:00,3027.038,measurement,request-count-0,0,0,0,0,0,5,5,947941376,1993203712,38927998976,102,21,2211752,0,0,0,0,0,0,2204984,947924992,,38927998976,,1992986624,,864333824,,74334208,,9256960,,,,,,,,,
5,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:43.6404202+00:00,3850.1906,measurement,request-count-10,10,10,10,0,0,5,15,950484992,1994981376,38928007168,104,21,2564104,0,0,0,0,0,0,2556352,950472704,,38928007168,,1994698752,,866074624,,74485760,,9912320,,109.1907,81.278,75.3372,103.6313,108.0788,108.6215,67,false
6,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:46.7958157+00:00,7005.5862,measurement,request-count-50,50,50,50,0,0,5,55,952164352,1996029952,38927994880,104,21,3620904,0,0,0,0,0,0,3610056,952139776,,38927994880,,1995747328,,867127296,,74551296,,10461184,,83.9658,76.5611,71.2836,111.5279,132.1692,83.5084,67,false
7,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:50.8178507+00:00,11027.6213,measurement,request-count-100,100,100,100,0,0,5,105,958488576,2052014080,39247032320,107,22,4906848,0,0,0,0,0,0,4892184,958464000,,39247032320,,2051796992,,872415232,,75403264,,10645504,,69.8426,79.9238,74.8671,111.9715,121.4784,69.5381,67,false
8,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:54.6399309+00:00,14849.7014,measurement,request-count-150,150,150,150,0,0,5,155,960053248,2036760576,39230251008,104,21,6201120,0,0,0,0,0,0,6182664,960028672,,39230251008,,2036543488,,873967616,,75403264,,10657792,,74.3529,76.115,76.069,99.5475,112.5248,74.035,67,false
9,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:19:58.4803594+00:00,18690.1305,measurement,request-count-200,200,200,200,0,0,5,205,961368064,2038071296,39230255104,104,21,7487424,0,0,0,0,0,0,7465152,961343488,,39230255104,,2037788672,,875253760,,75403264,,10686464,,70.4193,76.4585,73.6983,98.3228,106.5401,69.98,67,false
10,phase3a-formal-20260925-baseline-full-pipeline,full-pipeline,2026-09-24T18:20:02.4614029+00:00,22671.1734,measurement,request-count-250,250,250,250,0,0,5,255,963268608,2056495104,39247024128,105,22,-3189608,4826080,4200216,1,1,0,0,8745848,963268608,,39247024128,,2056278016,,877076480,,75468800,,10723328,,106.6533,79.2755,75.95,110.9268,136.9438,106.3946,67,false
