sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:43.8844992+00:00,0.5859,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60985344,184238080,36349259776,86,11,1320856,,0,0,0,0,0,0,1316776,60948480,,36349267968,,184098816,,9576448,,45555712,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:46.4803346+00:00,2596.419,setup,t1-after-model-load,0,0,0,0,0,0,0,939151360,1992433664,38793678848,102,21,1901640,,0,0,0,0,0,0,1895880,939130880,,38793678848,,1992220672,,862908416,,67678208,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:46.6284942+00:00,2744.578,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945221632,1992564736,38793674752,102,21,1999816,,0,0,0,0,0,0,1993744,945197056,,38793674752,,1992351744,,863678464,,72540160,,8978432,,,,,,,118.3991,67,false
3,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:47.0697260+00:00,3185.81,warmup,warmup-complete,0,0,0,0,0,5,5,946499584,1993183232,38793691136,104,21,2163784,,0,0,0,0,0,0,2157208,946475008,,38793691136,,1992970240,,864329728,,72691712,,9453568,,,,,,,,,
4,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:47.0792384+00:00,3195.3225,measurement,request-count-0,0,0,0,0,0,5,5,946561024,1993248768,38793687040,104,21,2229320,,0,0,0,0,0,0,2222528,946548736,,38793687040,,1993035776,,864403456,,72691712,,9453568,,,,,,,,,
5,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:48.0530644+00:00,4169.149,measurement,request-count-10,10,10,10,0,0,5,15,951689216,1997791232,38793695232,104,21,2589640,,0,0,0,0,0,0,2581840,951664640,,38793695232,,1997578240,,868888576,,72757248,,10018816,,84.6641,95.7293,107.6666,116.9705,118.3874,84.2853,67,false
6,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:51.3055165+00:00,7421.6004,measurement,request-count-50,50,50,50,0,0,5,55,953282560,1998839808,38793687040,104,21,3638216,,0,0,0,0,0,0,3627296,953257984,,38793687040,,1998626816,,869945344,,72822784,,10489856,,91.6039,79.4347,77.8641,115.3302,126.292,91.2762,67,false
7,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:55.0182725+00:00,11134.3565,measurement,request-count-100,100,100,100,0,0,5,105,956891136,2052210688,39112716288,107,22,4924424,,0,0,0,0,0,0,4909688,956878848,,39112716288,,2051932160,,872570880,,73674752,,10633216,,61.1217,73.7887,69.6594,94.1353,101.3334,60.7953,67,false
8,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:28:58.9389302+00:00,15055.0143,measurement,request-count-150,150,150,150,0,0,5,155,958468096,2036891648,39095934976,104,21,6218696,,0,0,0,0,0,0,6200144,958443520,,39095934976,,2036678656,,874119168,,73674752,,10649600,,110.0283,77.9426,75.9319,104.0532,108.7469,109.7028,67,false
9,phase3a-formal-20260925-v2-arena-off,full-pipeline,2026-09-24T20:29:02.9859248+00:00,19102.0088,measurement,request-count-200,200,200,200,0,0,5,205,959750144,2021404672,39079137280,104,20,7504744,,0,0,0,0,0,0,7474232,959733760,,39079137280,,2021191680,,875380736,,73674752,,10678272,,65.7625,79.3174,72.7978,127.0822,131.1215,65.4675,67,false
