sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:26.1577050+00:00,0.4281,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,61063168,184242176,36349259776,86,11,1300448,,0,0,0,0,0,0,1296440,61038592,,36349267968,,184037376,,9555968,,45666304,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:28.7588016+00:00,2601.5233,setup,t1-after-model-load,0,0,0,0,0,0,0,939229184,1992441856,38793682944,102,21,1875048,,0,0,0,0,0,0,1869312,939212800,,38793682944,,1992228864,,862904320,,67764224,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:28.8721532+00:00,2714.875,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945348608,1992572928,38793682944,102,21,1973480,,0,0,0,0,0,0,1967432,945336320,,38793682944,,1992294400,,863662080,,72691712,,8982528,,,,,,,84.3572,67,false
3,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:29.2172700+00:00,3059.9913,warmup,warmup-complete,0,0,0,0,0,5,5,946319360,1993154560,38793687040,102,21,2137192,,0,0,0,0,0,0,2130664,946282496,,38793687040,,1992941568,,864280576,,72757248,,9244672,,,,,,,,,
4,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:29.2208526+00:00,3063.5741,measurement,request-count-0,0,0,0,0,0,5,5,946397184,1993220096,38793687040,102,21,2210952,,0,0,0,0,0,0,2204184,946372608,,38793687040,,1993007104,,864346112,,72757248,,9269248,,,,,,,,,
5,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:30.0349288+00:00,3877.6499,measurement,request-count-10,10,10,10,0,0,5,15,948932608,1995005952,38793691136,104,21,2563304,,0,0,0,0,0,0,2555552,948912128,,38793691136,,1994727424,,866091008,,72908800,,9912320,,64.098,80.4632,71.8013,119.0546,135.6265,63.5715,67,false
6,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:33.2427320+00:00,7085.4536,measurement,request-count-50,50,50,50,0,0,5,55,950607872,1996054528,38793691136,104,21,3611880,,0,0,0,0,0,0,3601032,950595584,,38793691136,,1995776000,,867147776,,72974336,,10473472,,79.5513,79.7161,77.9503,104.1081,112.5054,79.1776,67,false
7,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:37.3970069+00:00,11239.7288,measurement,request-count-100,100,100,100,0,0,5,105,956940288,2052038656,39112724480,107,22,4906064,,0,0,0,0,0,0,4891400,956915712,,39112724480,,2051825664,,872435712,,73826304,,10653696,,57.8976,82.5633,78.6006,118.1373,141.8631,57.5382,67,false
8,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:41.1703320+00:00,15013.0534,measurement,request-count-150,150,150,150,0,0,5,155,958496768,2036785152,39095943168,104,21,6192112,,0,0,0,0,0,0,6173632,958480384,,39095943168,,2036572160,,873992192,,73826304,,10661888,,76.9645,75.0372,72.4501,98.7899,113.6569,76.5869,67,false
9,phase3a-formal-20260925-v2-arena-on,full-pipeline,2026-09-24T20:15:44.7805107+00:00,18623.2324,measurement,request-count-200,200,200,200,0,0,5,205,959819776,2038095872,39095947264,104,21,7486640,,0,0,0,0,0,0,7464368,959795200,,39095947264,,2037817344,,875278336,,73826304,,10690560,,55.1039,71.8286,69.9857,90.6891,105.9482,54.7556,67,false
