request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,71.7124,71.2204,false
1,79.8279,79.198,false
2,95.9605,95.4288,false
3,93.488,92.9675,false
4,97.471,93.5209,false
5,125.1297,124.4453,false
6,106.3376,105.8163,false
7,93.039,92.0338,false
8,95.9014,95.3341,false
9,86.5242,85.938,false
10,86.0155,85.5679,false
11,59.4133,58.9793,false
12,59.6484,59.0896,false
13,96.0226,95.535,false
14,74.0047,73.496,false
15,81.0182,80.3782,false
16,72.3446,71.9212,false
17,70.6952,70.1386,false
18,119.827,119.3905,false
19,85.0947,84.667,false
20,61.5823,61.1773,false
21,63.0384,62.6084,false
22,85.9964,85.5119,false
23,92.0402,91.5295,false
24,73.3721,72.8679,false
25,87.9477,87.429,false
26,81.7597,81.3338,false
27,72.576,71.8259,false
28,90.1137,89.4472,false
29,69.1908,68.6885,false
30,91.4793,91.0783,false
31,83.7277,83.3285,false
32,87.6512,87.1937,false
33,73.5667,73.1951,false
34,93.7312,93.3316,false
35,85.202,84.8397,false
36,75.8602,73.3067,false
37,74.3218,73.8918,false
38,115.4579,114.6639,false
39,64.9747,64.5799,false
40,56.4289,56.0222,false
41,64.4947,62.9651,false
42,75.5012,74.9079,false
43,72.6988,72.3134,false
44,60.0931,59.7213,false
45,65.8854,65.471,false
46,79.3917,79.0278,false
47,95.0065,94.5718,false
48,65.449,65.066,false
49,97.1494,96.7996,false
50,77.3988,77.0652,false
51,75.1387,74.4738,false
52,104.0939,103.7173,false
53,127.1493,126.7619,false
54,82.2225,81.7814,false
55,99.4589,99.0676,false
56,102.9607,102.5858,false
57,101.3723,100.8672,false
58,166.8383,166.3807,false
59,67.7027,67.2188,false
60,87.8451,87.4472,false
61,103.1368,102.786,false
62,78.9697,78.5534,false
63,87.6777,87.1718,false
64,182.5553,182.2079,false
65,260.6274,260.2128,false
66,94.908,94.5249,false
67,296.9824,296.6307,false
68,108.0987,107.7278,false
69,69.8166,69.4705,false
70,86.421,85.7456,false
71,96.2789,95.7805,false
72,87.452,87.079,false
73,83.9672,79.8079,false
74,68.045,67.6978,false
75,83.8492,83.4937,false
76,76.1137,75.5916,false
77,70.973,70.6111,false
78,79.8344,79.4727,false
79,64.6262,64.2677,false
80,77.1101,76.808,false
81,59.0644,58.6527,false
82,68.5516,68.2336,false
83,60.7204,60.4271,false
84,56.9912,56.6869,false
85,74.4796,74.1879,false
86,96.5992,96.3069,false
87,88.2991,87.9765,false
88,74.4245,74.1166,false
89,79.8133,79.4825,false
90,72.6168,72.2762,false
91,59.9744,59.4466,false
92,67.4006,67.0945,false
93,67.1942,66.8316,false
94,130.442,129.9865,false
95,95.6699,95.2952,false
96,114.6541,114.2562,false
97,100.692,100.2856,false
98,92.5114,92.1507,false
99,119.5602,119.1864,false
100,126.9988,126.477,false
101,69.9816,69.6955,false
102,62.0888,61.7954,false
103,76.6979,76.3858,false
104,77.6322,77.3252,false
105,88.0429,87.43,false
106,53.6271,53.2256,false
107,70.1868,69.8677,false
108,70.4635,70.1431,false
109,62.0148,61.6712,false
110,58.6849,58.3845,false
111,68.9376,68.5715,false
112,70.4357,70.1381,false
113,114.1944,113.9116,false
114,56.8407,56.5418,false
115,63.7144,63.3897,false
116,75.7744,75.366,false
117,86.6863,86.3685,false
118,69.4077,69.1153,false
119,66.3301,66.0049,false
120,69.9313,69.6451,false
121,79.3545,79.0396,false
122,95.4255,95.051,false
123,89.7335,89.4237,false
124,71.6216,70.9997,false
125,71.2393,70.9767,false
126,57.1292,56.7967,false
127,63.905,63.5435,false
128,106.7623,106.4065,false
129,65.3899,65.0272,false
130,69.1139,68.7584,false
131,89.7447,88.9892,false
132,64.4099,64.0197,false
133,79.8565,79.4991,false
134,61.6609,61.2683,false
135,92.7499,92.4234,false
136,124.6609,124.1914,false
137,89.0635,88.5625,false
138,79.6465,79.2021,false
