request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,104.4155,103.8916,false
1,101.6193,101.1029,false
2,97.8655,96.9016,false
3,116.4976,115.9554,false
4,93.0254,92.462,false
5,109.0577,108.4408,false
6,83.4784,82.787,false
7,90.821,90.3258,false
8,96.7741,96.11,false
9,86.5821,86.0807,false
10,83.8471,83.3642,false
11,82.9806,82.3456,false
12,79.425,79.0251,false
13,84.0531,83.562,false
14,66.8449,66.3139,false
15,74.5674,74.0999,false
16,100.0352,99.5639,false
17,162.8769,162.4351,false
18,120.6035,117.1723,false
19,116.8156,116.3179,false
20,73.4748,73.0348,false
21,59.7503,59.2759,false
22,87.136,86.6799,false
23,108.9542,108.3574,false
24,71.1861,70.6791,false
25,82.4259,82.0369,false
26,66.6527,66.1986,false
27,105.8701,105.455,false
28,102.9657,102.5214,false
29,128.9771,128.5507,false
30,83.5912,83.165,false
31,72.1878,71.7687,false
32,79.9545,79.5673,false
33,83.5483,83.1642,false
34,66.3575,65.8701,false
35,80.9942,80.511,false
36,111.7656,111.2297,false
37,88.2041,86.5173,false
38,79.1272,77.3873,false
39,89.0296,88.6302,false
40,57.0681,56.5955,false
41,60.1546,59.7638,false
42,64.3919,64.007,false
43,140.536,139.8125,false
44,81.3453,80.6352,false
45,59.8576,59.4057,false
46,55.8839,55.4226,false
47,76.2455,75.8241,false
48,76.0657,75.6711,false
49,84.3555,83.9026,false
50,118.0885,117.7458,false
51,112.2698,111.937,false
52,114.7695,114.4288,false
53,106.6835,106.1911,false
54,122.5702,122.0017,false
55,129.9862,129.5615,false
56,85.5729,85.146,false
57,98.7077,98.2678,false
58,93.6785,93.3204,false
59,93.9803,93.6118,false
60,100.5406,100.1943,false
61,66.8335,66.4624,false
62,78.9925,78.6114,false
63,69.6672,69.1518,false
64,77.2934,76.9267,false
65,76.163,75.8112,false
66,66.0233,65.6479,false
67,126.5135,126.1455,false
68,66.6,66.2412,false
69,68.6276,68.2491,false
70,72.6405,72.2659,false
71,96.0767,95.6422,false
72,86.0758,85.7062,false
73,75.9398,75.5866,false
74,113.8521,113.3509,false
75,94.1157,93.6486,false
76,70.3823,70.0342,false
77,67.3239,66.9212,false
78,59.243,58.8175,false
79,95.2223,94.8359,false
80,75.4686,75.0739,false
81,104.6284,104.2595,false
82,67.9789,67.4146,false
83,90.3948,89.8587,false
84,65.1235,64.7725,false
85,73.3557,72.982,false
86,65.1218,64.7571,false
87,145.4852,145.1418,false
88,123.5611,123.131,false
89,125.5112,124.9975,false
90,90.5812,90.2478,false
91,76.7308,76.3817,false
92,76.6231,76.2865,false
93,58.5344,58.1435,false
94,103.6728,103.2663,false
95,76.3572,75.9558,false
96,77.2031,74.8308,false
97,76.7125,76.4065,false
98,114.8311,114.3839,false
99,83.8425,83.4538,false
100,79.403,79.0644,false
101,71.9743,71.5966,false
102,87.8965,87.5356,false
103,83.0518,82.6961,false
104,91.4541,91.0539,false
105,76.1416,75.7857,false
106,157.6618,157.2935,false
107,88.3557,87.9451,false
108,87.1901,86.8043,false
109,75.622,75.1727,false
110,93.0106,92.6479,false
111,105.4079,104.8375,false
112,146.2586,145.9031,false
113,138.5148,138.17,false
114,74.7513,74.411,false
115,116.1071,115.6544,false
116,77.3963,77.0847,false
117,62.3296,61.9882,false
118,109.8444,109.5503,false
119,91.9273,91.6196,false
120,75.3497,75.0411,false
121,73.9504,73.6461,false
122,66.6822,66.3252,false
123,63.808,63.5066,false
124,127.2498,126.9339,false
125,100.862,100.5703,false
126,95.7271,94.3408,false
127,116.9724,116.6813,false
128,116.4299,116.085,false
129,106.6151,106.2295,false
130,111.8809,111.5856,false
131,84.9623,84.5325,false
132,82.9439,82.5068,false
133,114.9041,114.402,false
134,103.6509,103.0597,false
135,102.3546,101.9735,false
136,76.0976,75.7192,false
137,83.6202,83.2829,false
138,73.5831,70.2345,false
139,74.9041,71.0844,false
140,76.7427,76.3636,false
141,77.7445,77.4269,false
142,106.982,106.6498,false
143,59.8694,59.5612,false
144,84.3477,83.9831,false
145,55.5072,55.185,false
146,75.1884,74.8715,false
147,90.4535,87.0928,false
148,101.4378,101.0409,false
149,133.4675,133.0865,false
150,99.3087,98.8477,false
151,61.2959,60.9284,false
152,72.711,72.2625,false
153,83.735,83.3301,false
154,67.9069,67.4714,false
155,71.3226,70.9516,false
156,106.6382,106.2772,false
157,81.7981,81.3994,false
158,79.3222,78.9496,false
159,65.0029,64.6278,false
160,78.2703,77.8982,false
161,92.359,91.9866,false
162,76.1927,69.5638,false
163,93.4092,92.8701,false
164,110.9532,110.6174,false
165,83.6757,83.1392,false
166,75.2262,74.8651,false
167,76.9315,76.5161,false
168,97.1406,96.7702,false
169,88.6641,87.853,false
170,96.415,96.0693,false
171,58.4216,58.1131,false
172,71.8206,71.5344,false
173,69.4323,69.1059,false
174,69.7629,69.5011,false
175,96.1435,95.8644,false
176,67.9655,67.6418,false
177,77.6684,77.1224,false
178,74.9835,74.7038,false
179,75.8532,75.4925,false
180,82.5295,82.2585,false
181,82.531,82.1319,false
182,90.5457,90.0491,false
183,61.4961,61.2228,false
184,80.3428,80.0255,false
185,71.3437,71.0679,false
186,83.1486,82.877,false
187,73.2271,72.9188,false
188,81.9283,81.6317,false
189,97.4485,97.0539,false
190,54.6669,54.3579,false
191,87.7519,87.2672,false
192,65.9877,65.5369,false
193,70.7106,70.3455,false
194,89.4957,89.2088,false
195,64.2881,63.9677,false
196,58.7689,58.4888,false
197,70.2062,69.7642,false
198,89.0027,88.7215,false
