sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:15.2249889+00:00,0.4464,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,61018112,184061952,36349259776,86,11,1310832,,0,0,0,0,0,0,1306776,60973056,,36349267968,,183857152,,9502720,,45654016,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3334108+00:00,1108.8688,setup,t1-after-setup,0,0,0,0,0,0,0,398344192,514449408,36684427264,96,11,1542144,,0,0,0,0,0,0,1537416,398323712,,36684427264,,514310144,,340246528,,50712576,,7364608,,,,,,,,,
2,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3482084+00:00,1123.6636,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,398655488,514580480,36684431360,96,11,1615904,,0,0,0,0,0,0,1610936,398639104,,36684431360,,514375680,,340324352,,50712576,,7602176,,,,,,,,67,false
3,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3510172+00:00,1126.4725,warmup,warmup-complete,0,0,0,0,0,5,5,398786560,514711552,36684431360,96,11,1746976,,0,0,0,0,0,0,1741600,398766080,,36684431360,,514506752,,340451328,,50712576,,7602176,,,,,,,,,
4,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3526666+00:00,1128.1221,measurement,request-count-0,0,0,0,0,0,5,5,398852096,514711552,36684435456,96,11,1804288,,0,0,0,0,0,0,1798720,398831616,,36684435456,,514572288,,340508672,,50712576,,7610368,,,,,,,,,
5,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3629670+00:00,1138.4223,measurement,request-count-10,10,10,10,0,0,5,15,399237120,515039232,36684431360,96,11,2131968,,0,0,0,0,0,0,2125632,399216640,,36684431360,,514899968,,340836352,,50712576,,7667712,,0.1887,0.2286,0.1659,0.5172,0.5429,,67,false
6,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3752785+00:00,1150.7336,measurement,request-count-50,50,50,50,0,0,5,55,400060416,515891200,36684431360,96,11,2946704,,0,0,0,0,0,0,2937944,400035840,,36684431360,,515751936,,341647360,,50712576,,7675904,,0.1078,0.1239,0.1129,0.1683,0.2905,,67,false
7,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3875655+00:00,1163.0206,measurement,request-count-100,100,100,100,0,0,5,105,401068032,516874240,36684431360,96,11,3950528,,0,0,0,0,0,0,3938768,401043456,,36684431360,,516734976,,342654976,,50712576,,7675904,,0.164,0.1362,0.1212,0.2182,0.2862,,67,false
8,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.3980190+00:00,1173.4741,measurement,request-count-150,150,150,150,0,0,5,155,402067456,517959680,36684427264,96,11,4958016,,0,0,0,0,0,0,4943256,402055168,,36684427264,,517820416,,343670784,,50712576,,7671808,,0.0914,0.1105,0.1018,0.1392,0.2641,,67,false
9,phase3a-formal-20260925-v2-component-sequence-only,sequence-only,2026-09-24T19:34:16.4100358+00:00,1185.4909,measurement,request-count-200,200,200,200,0,0,5,205,403079168,519008256,36684427264,96,11,5959696,,0,0,0,0,0,0,5941960,403054592,,36684427264,,518868992,,344670208,,50712576,,7671808,,0.1033,0.1195,0.107,0.1683,0.3248,,67,false
