sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:19.4584539+00:00,0.5496,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60928000,184246272,36349263872,86,11,1311288,,0,0,0,0,0,0,1307232,60887040,,36349272064,,184107008,,9560064,,45510656,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.5669042+00:00,1108.9974,setup,t1-after-setup,0,0,0,0,0,0,0,398438400,514486272,36684288000,96,11,1542160,,0,0,0,0,0,0,1537408,398422016,,36684288000,,514347008,,340279296,,50548736,,7593984,,,,,,,,,
2,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.5928423+00:00,1134.9351,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,402825216,514727936,36713459712,98,11,1632264,,0,0,0,0,0,0,1627272,402804736,,36713459712,,514523136,,340758528,,54005760,,8040448,,,,,,,,67,false
3,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.5944667+00:00,1136.5596,warmup,warmup-complete,0,0,0,0,0,5,5,402890752,514793472,36713459712,98,11,1697800,,0,0,0,0,0,0,1692616,402870272,,36713459712,,514588672,,340824064,,54005760,,8040448,,,,,,,,,
4,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.5962869+00:00,1138.3797,measurement,request-count-0,0,0,0,0,0,5,5,402952192,514793472,36713463808,98,11,1755112,,0,0,0,0,0,0,1749736,402935808,,36713463808,,514654208,,340881408,,54005760,,8048640,,,,,,,,,
5,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6040909+00:00,1146.1838,measurement,request-count-10,10,10,10,0,0,5,15,403177472,514990080,36713463808,98,11,1909576,,0,0,0,0,0,0,1903936,403161088,,36713463808,,514850816,,341041152,,54005760,,8114176,,0.005,0.0199,0.0058,0.0725,0.0787,,67,false
6,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6113719+00:00,1153.4648,measurement,request-count-50,50,50,50,0,0,5,55,403345408,515121152,36713463808,98,11,2066344,,0,0,0,0,0,0,2060200,403320832,,36713463808,,514981888,,341192704,,54005760,,8122368,,0.004,0.0076,0.0044,0.0125,0.0528,,67,false
7,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6152423+00:00,1157.3349,measurement,request-count-100,100,100,100,0,0,5,105,403525632,515317760,36713463808,98,11,2249592,,0,0,0,0,0,0,2242896,403501056,,36713463808,,515178496,,341372928,,54005760,,8122368,,0.014,0.0055,0.004,0.0124,0.0188,,67,false
8,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6192988+00:00,1161.3914,measurement,request-count-150,150,150,150,0,0,5,155,403705856,515514368,36713463808,98,11,2426920,,0,0,0,0,0,0,2419648,403681280,,36713463808,,515309568,,341553152,,54005760,,8122368,,0.0142,0.0069,0.0047,0.0135,0.0299,,67,false
9,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6230664+00:00,1165.159,measurement,request-count-200,200,200,200,0,0,5,205,403881984,515645440,36713463808,98,11,2607080,,0,0,0,0,0,0,2599256,403861504,,36713463808,,515506176,,341733376,,54005760,,8122368,,0.0074,0.0054,0.0038,0.0125,0.0218,,67,false
10,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6266549+00:00,1168.7475,measurement,request-count-250,250,250,250,0,0,5,255,404066304,515842048,36713463808,98,11,2787240,,0,0,0,0,0,0,2778864,404041728,,36713463808,,515702784,,341913600,,54005760,,8122368,,0.0114,0.005,0.0037,0.0113,0.013,,67,false
11,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6308644+00:00,1172.9571,measurement,request-count-300,300,300,300,0,0,5,305,404246528,516038656,36713463808,98,11,2969304,,0,0,0,0,0,0,2960376,404221952,,36713463808,,515899392,,342093824,,54005760,,8122368,,0.0143,0.0063,0.0043,0.0099,0.0382,,67,false
12,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6349134+00:00,1177.0059,measurement,request-count-350,350,350,350,0,0,5,355,404426752,516235264,36713463808,98,11,3147816,,0,0,0,0,0,0,3138312,404402176,,36713463808,,516030464,,342274048,,54005760,,8122368,,0.0128,0.0058,0.0043,0.0119,0.0176,,67,false
13,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6384284+00:00,1180.5209,measurement,request-count-400,400,400,400,0,0,5,405,404602880,516366336,36713463808,98,11,3327976,,0,0,0,0,0,0,3317920,404582400,,36713463808,,516227072,,342454272,,54005760,,8122368,,0.007,0.0047,0.0035,0.0096,0.0124,,67,false
14,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6421680+00:00,1184.2606,measurement,request-count-450,450,450,450,0,0,5,455,404787200,516562944,36713463808,98,11,3508136,,0,0,0,0,0,0,3497528,404762624,,36713463808,,516423680,,342634496,,54005760,,8122368,,0.0046,0.0061,0.0045,0.013,0.0186,,67,false
15,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6457335+00:00,1187.8261,measurement,request-count-500,500,500,500,0,0,5,505,404967424,516759552,36713463808,98,11,3689544,,0,0,0,0,0,0,3678384,404942848,,36713463808,,516620288,,342814720,,54005760,,8122368,,0.0035,0.0048,0.0035,0.0102,0.0132,,67,false
16,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6493543+00:00,1191.4469,measurement,request-count-550,550,550,550,0,0,5,555,405147648,516956160,36713463808,98,11,3868712,,0,0,0,0,0,0,3856976,405123072,,36713463808,,516751360,,342994944,,54005760,,8122368,,0.0041,0.0064,0.0042,0.0162,0.0195,,67,false
17,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6529575+00:00,1195.05,measurement,request-count-600,600,600,600,0,0,5,605,405323776,517087232,36713463808,98,11,4048872,,0,0,0,0,0,0,4036584,405303296,,36713463808,,516947968,,343175168,,54005760,,8122368,,0.0031,0.0057,0.004,0.0126,0.0177,,67,false
18,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6565205+00:00,1198.6132,measurement,request-count-650,650,650,650,0,0,5,655,405508096,517279744,36713463808,98,11,4228904,,0,0,0,0,0,0,4216064,405483520,,36713463808,,517140480,,343355392,,54005760,,8122368,,0.0035,0.0051,0.0036,0.013,0.018,,67,false
19,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6612719+00:00,1203.3651,measurement,request-count-700,700,700,700,0,0,5,705,405696512,517582848,36713463808,98,11,4409744,,0,0,0,0,0,0,4396352,405671936,,36713463808,,517443584,,343543808,,54005760,,8122368,,0.0097,0.0135,0.0091,0.0291,0.0698,,67,false
20,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6671500+00:00,1209.2434,measurement,request-count-750,750,750,750,0,0,5,755,405876736,517779456,36713463808,98,11,4589480,,0,0,0,0,0,0,4575512,405852160,,36713463808,,517574656,,343724032,,54005760,,8122368,,0.0063,0.0115,0.0079,0.0269,0.0592,,67,false
21,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6726948+00:00,1214.7883,measurement,request-count-800,800,800,800,0,0,5,805,406052864,517910528,36713463808,98,11,4769640,,0,0,0,0,0,0,4755120,406032384,,36713463808,,517771264,,343904256,,54005760,,8122368,,0.0055,0.0112,0.0079,0.0284,0.0533,,67,false
22,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6771515+00:00,1219.2441,measurement,request-count-850,850,850,850,0,0,5,855,406237184,518107136,36713463808,98,11,4949800,,0,0,0,0,0,0,4934728,406212608,,36713463808,,517967872,,344084480,,54005760,,8122368,,0.005,0.0069,0.0047,0.0145,0.0269,,67,false
23,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6811740+00:00,1223.2665,measurement,request-count-900,900,900,900,0,0,5,905,406417408,518303744,36713463808,98,11,5130216,,0,0,0,0,0,0,5114592,406388736,,36713463808,,518164480,,344260608,,54005760,,8122368,,0.0043,0.0054,0.0043,0.0102,0.0174,,67,false
24,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6854818+00:00,1227.5744,measurement,request-count-950,950,950,950,0,0,5,955,406597632,518500352,36713463808,98,11,5310376,,0,0,0,0,0,0,5294200,406573056,,36713463808,,518295552,,344444928,,54005760,,8122368,,0.0047,0.007,0.0048,0.0142,0.0279,,67,false
25,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6894111+00:00,1231.5037,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,406773760,518631424,36713463808,98,11,5490536,,0,0,0,0,0,0,5473808,406753280,,36713463808,,518492160,,344625152,,54005760,,8122368,,0.0042,0.006,0.0043,0.0135,0.0258,,67,false
26,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6938470+00:00,1235.9396,measurement,request-count-1050,1050,1050,1050,0,0,5,1055,406958080,518828032,36713463808,98,11,5670696,,0,0,0,0,0,0,5653416,406933504,,36713463808,,518688768,,344805376,,54005760,,8122368,,0.007,0.0068,0.0049,0.0159,0.0234,,67,false
27,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.6993155+00:00,1241.4084,measurement,request-count-1100,1100,1100,1100,0,0,5,1105,407138304,519024640,36713463808,98,11,5851112,,0,0,0,0,0,0,5833280,407109632,,36713463808,,518885376,,344981504,,54005760,,8122368,,0.0061,0.0111,0.0084,0.0202,0.0541,,67,false
28,phase3a-formal-20260925-v2-component-tensor-only,tensor-only,2026-09-24T19:34:20.7044075+00:00,1246.5003,measurement,request-count-1150,1150,1150,1150,0,0,5,1155,407318528,519221248,36713463808,98,11,6031272,,0,0,0,0,0,0,6012888,407293952,,36713463808,,519016448,,345165824,,54005760,,8122368,,0.006,0.0087,0.0062,0.0172,0.0402,,67,false
