sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:11.8931935+00:00,0.4067,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60948480,184225792,36349272064,86,11,1310944,,0,0,0,0,0,0,1306912,60911616,,36349280256,,184086528,,9539584,,45555712,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:12.9993778+00:00,1106.5895,setup,t1-after-setup,0,0,0,0,0,0,0,397922304,514379776,36684288000,96,11,1451896,,0,0,0,0,0,0,1447456,397901824,,36684292096,,514240512,,340148224,,50561024,,7192576,,,,,,,,,
2,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0024802+00:00,1109.6914,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397975552,514445312,36684283904,96,11,1503288,,0,0,0,0,0,0,1498680,397955072,,36684283904,,514306048,,340201472,,50561024,,7192576,,,,,,,,5,false
3,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0040277+00:00,1111.2388,warmup,warmup-complete,0,0,0,0,0,5,5,398041088,514510848,36684283904,96,11,1566776,,0,0,0,0,0,0,1561976,398012416,,36684283904,,514306048,,340258816,,50561024,,7192576,,,,,,,,,
4,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0055737+00:00,1112.785,measurement,request-count-0,0,0,0,0,0,5,5,398086144,514576384,36684283904,96,11,1624088,,0,0,0,0,0,0,1619096,398073856,,36684283904,,514371584,,340320256,,50561024,,7192576,,,,,,,,,
5,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0169812+00:00,1124.193,measurement,request-count-10,10,10,10,0,0,5,15,398315520,514707456,36684283904,96,11,1771608,,0,0,0,0,0,0,1766376,398286848,,36684283904,,514568192,,340463616,,50561024,,7262208,,0.0125,0.0344,0.0129,0.111,0.1294,,5,false
6,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0259387+00:00,1133.1502,measurement,request-count-50,50,50,50,0,0,5,55,398430208,514838528,36684288000,96,11,1886232,,0,0,0,0,0,0,1880616,398417920,,36684288000,,514633728,,340582400,,50561024,,7274496,,0.0123,0.0202,0.017,0.0318,0.0789,,5,false
7,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0309549+00:00,1138.166,measurement,request-count-100,100,100,100,0,0,5,105,398553088,514904064,36684288000,96,11,2009080,,0,0,0,0,0,0,2003056,398540800,,36684288000,,514764800,,340705280,,50561024,,7274496,,0.0105,0.0145,0.0106,0.0286,0.0669,,5,false
8,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0353331+00:00,1142.5441,measurement,request-count-150,150,150,150,0,0,5,155,398684160,515035136,36684288000,96,11,2131928,,0,0,0,0,0,0,2125520,398663680,,36684288000,,514895872,,340828160,,50561024,,7274496,,0.0069,0.0086,0.0065,0.0185,0.0366,,5,false
9,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0395942+00:00,1146.8055,measurement,request-count-200,200,200,200,0,0,5,205,398811136,515166208,36684288000,96,11,2254776,,0,0,0,0,0,0,2247960,398786560,,36684288000,,515026944,,340951040,,50561024,,7274496,,0.0075,0.0096,0.0067,0.0161,0.0618,,5,false
10,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0472561+00:00,1154.4676,measurement,request-count-250,250,250,250,0,0,5,255,398934016,515297280,36684288000,96,11,2377624,,0,0,0,0,0,0,2370424,398909440,,36684288000,,515158016,,341073920,,50561024,,7274496,,0.0074,0.0362,0.0099,0.0386,0.5951,,5,false
11,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0525162+00:00,1159.7274,measurement,request-count-300,300,300,300,0,0,5,305,399056896,515428352,36684288000,96,11,2500472,,0,0,0,0,0,0,2492888,399032320,,36684288000,,515289088,,341196800,,50561024,,7274496,,0.0077,0.0104,0.0078,0.0183,0.0554,,5,false
12,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0568270+00:00,1164.0381,measurement,request-count-350,350,350,350,0,0,5,355,399179776,515559424,36684288000,96,11,2624376,,0,0,0,0,0,0,2616408,399163392,,36684288000,,515420160,,341327872,,50561024,,7274496,,0.0066,0.0104,0.0066,0.0175,0.0774,,5,false
13,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0612376+00:00,1168.4487,measurement,request-count-400,400,400,400,0,0,5,405,399302656,515690496,36684288000,96,11,2754648,,0,0,0,0,0,0,2746272,399282176,,36684288000,,515551232,,341446656,,50561024,,7274496,,0.0063,0.0101,0.0079,0.0184,0.0373,,5,false
14,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0654977+00:00,1172.7087,measurement,request-count-450,450,450,450,0,0,5,455,399433728,515821568,36684288000,96,11,2877496,,0,0,0,0,0,0,2868736,399405056,,36684288000,,515616768,,341569536,,50561024,,7274496,,0.0115,0.0102,0.008,0.0197,0.0329,,5,false
15,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0700205+00:00,1177.2318,measurement,request-count-500,500,500,500,0,0,5,505,399556608,515952640,36684288000,96,11,3000344,,0,0,0,0,0,0,2991176,399532032,,36684288000,,515747840,,341696512,,50561024,,7274496,,0.0079,0.0099,0.0074,0.0146,0.0571,,5,false
16,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0744850+00:00,1181.6961,measurement,request-count-550,550,550,550,0,0,5,555,399675392,516083712,36684288000,96,11,3123192,,0,0,0,0,0,0,3113640,399654912,,36684288000,,515878912,,341819392,,50561024,,7274496,,0.0071,0.0121,0.0092,0.0243,0.0359,,5,false
17,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0790744+00:00,1186.2857,measurement,request-count-600,600,600,600,0,0,5,605,399798272,516149248,36684288000,96,11,3246040,,0,0,0,0,0,0,3236104,399777792,,36684288000,,516009984,,341942272,,50561024,,7274496,,0.0102,0.0119,0.0101,0.0217,0.0398,,5,false
18,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0827554+00:00,1189.9664,measurement,request-count-650,650,650,650,0,0,5,655,399925248,516280320,36684288000,96,11,3377112,,0,0,0,0,0,0,3366768,399908864,,36684288000,,516141056,,342073344,,50561024,,7274496,,0.006,0.0074,0.0064,0.0112,0.0229,,5,false
19,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0884882+00:00,1195.6993,measurement,request-count-700,700,700,700,0,0,5,705,400048128,516411392,36684288000,96,11,3499960,,0,0,0,0,0,0,3489232,400031744,,36684288000,,516272128,,342196224,,50561024,,7274496,,0.009,0.0112,0.009,0.0186,0.0593,,5,false
20,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0936239+00:00,1200.8351,measurement,request-count-750,750,750,750,0,0,5,755,400179200,516542464,36684288000,96,11,3622808,,0,0,0,0,0,0,3611696,400154624,,36684288000,,516403200,,342319104,,50561024,,7274496,,0.0105,0.0121,0.009,0.0212,0.0613,,5,false
21,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.0985150+00:00,1205.7261,measurement,request-count-800,800,800,800,0,0,5,805,400302080,516673536,36684288000,96,11,3745656,,0,0,0,0,0,0,3734136,400277504,,36684288000,,516534272,,342441984,,50561024,,7274496,,0.0185,0.0138,0.012,0.0215,0.0366,,5,false
22,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1032395+00:00,1210.4508,measurement,request-count-850,850,850,850,0,0,5,855,400424960,516804608,36684288000,96,11,3871584,,0,0,0,0,0,0,3859680,400400384,,36684288000,,516665344,,342564864,,50561024,,7274496,,0.0077,0.0096,0.0067,0.0201,0.0567,,5,false
23,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1080470+00:00,1215.2587,measurement,request-count-900,900,900,900,0,0,5,905,400547840,516935680,36684288000,96,11,3991912,,0,0,0,0,0,0,3979600,400527360,,36684288000,,516796416,,342691840,,50561024,,7274496,,0.0167,0.0119,0.0098,0.0176,0.0568,,5,false
24,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1147131+00:00,1221.9243,measurement,request-count-950,950,950,950,0,0,5,955,400670720,517066752,36684288000,96,11,4116224,,0,0,0,0,0,0,4103528,400650240,,36684288000,,516861952,,342814720,,50561024,,7274496,,0.007,0.0136,0.0092,0.0187,0.1062,,5,false
25,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1197097+00:00,1226.9208,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,400805888,517300224,36684283904,96,11,4244624,,0,0,0,0,0,0,4231544,400777216,,36684288000,,516988928,,342941696,,50561024,,7274496,,0.0074,0.0111,0.0079,0.0179,0.0708,,5,false
26,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1240727+00:00,1231.284,measurement,request-count-1050,1050,1050,1050,0,0,5,1055,400924672,517431296,36684283904,96,11,4367472,,0,0,0,0,0,0,4353984,400904192,,36684283904,,517226496,,343072768,,50561024,,7270400,,0.0112,0.0093,0.0072,0.0133,0.0459,,5,false
27,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1290227+00:00,1236.2338,measurement,request-count-1100,1100,1100,1100,0,0,5,1105,401047552,517496832,36684283904,96,11,4490320,,0,0,0,0,0,0,4476448,401027072,,36684283904,,517357568,,343195648,,50561024,,7270400,,0.0066,0.0123,0.0092,0.0242,0.0655,,5,false
28,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1346738+00:00,1241.8848,measurement,request-count-1150,1150,1150,1150,0,0,5,1155,401174528,517627904,36684283904,96,11,4621392,,0,0,0,0,0,0,4607112,401158144,,36684283904,,517488640,,343326720,,50561024,,7270400,,0.0106,0.013,0.0108,0.0228,0.0485,,5,false
29,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1412137+00:00,1248.4255,measurement,request-count-1200,1200,1200,1200,0,0,5,1205,401305600,517758976,36684283904,96,11,4744240,,0,0,0,0,0,0,4729576,401281024,,36684283904,,517619712,,343449600,,50561024,,7270400,,0.0149,0.024,0.0184,0.0647,0.0914,,5,false
30,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1474721+00:00,1254.6843,measurement,request-count-1250,1250,1250,1250,0,0,5,1255,401428480,517890048,36684283904,96,11,4867088,,0,0,0,0,0,0,4852016,401403904,,36684283904,,517750784,,343572480,,50561024,,7270400,,0.0134,0.015,0.0117,0.023,0.0672,,5,false
31,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1534459+00:00,1260.6571,measurement,request-count-1300,1300,1300,1300,0,0,5,1305,401551360,518021120,36684283904,96,11,4989936,,0,0,0,0,0,0,4974480,401526784,,36684283904,,517881856,,343695360,,50561024,,7270400,,0.0066,0.0092,0.0067,0.0159,0.0527,,5,false
32,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1599288+00:00,1267.1414,measurement,request-count-1350,1350,1350,1350,0,0,5,1355,401674240,518152192,36684283904,96,11,5113520,,0,0,0,0,0,0,5097680,401657856,,36684283904,,518012928,,343826432,,50561024,,7270400,,0.0144,0.0168,0.0129,0.0331,0.0719,,5,false
33,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1659499+00:00,1273.1611,measurement,request-count-1400,1400,1400,1400,0,0,5,1405,401797120,518283264,36684283904,96,11,5244112,,0,0,0,0,0,0,5227864,401776640,,36684283904,,518144000,,343945216,,50561024,,7270400,,0.0065,0.0098,0.0077,0.0146,0.0534,,5,false
34,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1713204+00:00,1278.5316,measurement,request-count-1450,1450,1450,1450,0,0,5,1455,401928192,518414336,36684283904,96,11,5366960,,0,0,0,0,0,0,5350328,401899520,,36684283904,,518209536,,344068096,,50561024,,7270400,,0.008,0.0096,0.0079,0.0158,0.0354,,5,false
35,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1773370+00:00,1284.5486,measurement,request-count-1500,1500,1500,1500,0,0,5,1505,402051072,518545408,36684283904,96,11,5489808,,0,0,0,0,0,0,5472768,402026496,,36684283904,,518340608,,344195072,,50561024,,7270400,,0.0199,0.0147,0.0127,0.0246,0.0614,,5,false
36,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1837064+00:00,1290.9178,measurement,request-count-1550,1550,1550,1550,0,0,5,1555,402169856,518676480,36684283904,96,11,5612656,,0,0,0,0,0,0,5595232,402149376,,36684283904,,518471680,,344317952,,50561024,,7270400,,0.0084,0.0122,0.0094,0.0179,0.0644,,5,false
37,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1911883+00:00,1298.3993,measurement,request-count-1600,1600,1600,1600,0,0,5,1605,402436096,518864896,36684283904,96,11,5743728,,0,0,0,0,0,0,5725896,402423808,,36684283904,,518725632,,344567808,,50561024,,7294976,,0.6017,0.0341,0.0146,0.0878,0.3841,,5,false
38,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.1967155+00:00,1303.9265,measurement,request-count-1650,1650,1650,1650,0,0,5,1655,402575360,518995968,36684283904,96,11,5866576,,0,0,0,0,0,0,5848360,402554880,,36684283904,,518856704,,344690688,,50561024,,7303168,,0.0075,0.0107,0.0079,0.0218,0.0581,,5,false
39,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2012764+00:00,1308.4873,measurement,request-count-1700,1700,1700,1700,0,0,5,1705,402702336,519127040,36684283904,96,11,5989424,,0,0,0,0,0,0,5970800,402677760,,36684283904,,518987776,,344813568,,50561024,,7303168,,0.0082,0.0117,0.0085,0.0223,0.0585,,5,false
40,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2060757+00:00,1313.2866,measurement,request-count-1750,1750,1750,1750,0,0,5,1755,402825216,519258112,36684283904,96,11,6112272,,0,0,0,0,0,0,6093264,402800640,,36684283904,,519118848,,344936448,,50561024,,7303168,,0.0084,0.0112,0.0084,0.0187,0.0595,,5,false
41,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2106466+00:00,1317.8575,measurement,request-count-1800,1800,1800,1800,0,0,5,1805,402948096,519389184,36684283904,96,11,6243344,,0,0,0,0,0,0,6223928,402931712,,36684283904,,519249920,,345067520,,50561024,,7303168,,0.0133,0.0128,0.0101,0.0319,0.061,,5,false
42,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2156511+00:00,1322.862,measurement,request-count-1850,1850,1850,1850,0,0,5,1855,403070976,519520256,36684283904,96,11,6366192,,0,0,0,0,0,0,6346392,403054592,,36684283904,,519380992,,345190400,,50561024,,7303168,,0.0083,0.0117,0.0085,0.0187,0.0735,,5,false
43,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2220991+00:00,1329.31,measurement,request-count-1900,1900,1900,1900,0,0,5,1905,403202048,519651328,36684283904,96,11,6489296,,0,0,0,0,0,0,6469112,403173376,,36684283904,,519512064,,345309184,,50561024,,7303168,,0.0066,0.0105,0.008,0.0138,0.0613,,5,false
44,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2265381+00:00,1333.749,measurement,request-count-1950,1950,1950,1950,0,0,5,1955,403324928,519782400,36684283904,96,11,6613832,,0,0,0,0,0,0,6593240,403300352,,36684283904,,519643136,,345436160,,50561024,,7303168,,0.0106,0.0105,0.008,0.0208,0.0458,,5,false
45,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2306861+00:00,1337.897,measurement,request-count-2000,2000,2000,2000,0,0,5,2005,403447808,519913472,36684283904,96,11,6734992,,0,0,0,0,0,0,6713992,403423232,,36684283904,,519708672,,345559040,,50561024,,7303168,,0.0065,0.0096,0.0066,0.0153,0.0582,,5,false
46,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2349557+00:00,1342.1666,measurement,request-count-2050,2050,2050,2050,0,0,5,2055,403566592,520044544,36684283904,96,11,6866064,,0,0,0,0,0,0,6844656,403554304,,36684283904,,519839744,,345690112,,50561024,,7303168,,0.0082,0.0114,0.0082,0.0191,0.064,,5,false
47,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2397265+00:00,1346.9375,measurement,request-count-2100,2100,2100,2100,0,0,5,2105,403697664,520175616,36684283904,96,11,6988912,,0,0,0,0,0,0,6967120,403677184,,36684283904,,519970816,,345812992,,50561024,,7303168,,0.0103,0.0125,0.0105,0.0194,0.0494,,5,false
48,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2447144+00:00,1351.9253,measurement,request-count-2150,2150,2150,2150,0,0,5,2155,403820544,520241152,36684283904,96,11,7111760,,0,0,0,0,0,0,7089560,403800064,,36684283904,,520101888,,345935872,,50561024,,7303168,,0.0068,0.0113,0.0079,0.0167,0.0743,,5,false
49,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2500315+00:00,1357.2426,measurement,request-count-2200,2200,2200,2200,0,0,5,2205,403947520,520372224,36684283904,96,11,7234608,,0,0,0,0,0,0,7212024,403922944,,36684283904,,520232960,,346058752,,50561024,,7303168,,0.0092,0.0122,0.0095,0.0201,0.0622,,5,false
50,phase3a-formal-20260925-v2-component-tokenizer-mixed,tokenizer-only,2026-09-24T19:34:13.2551728+00:00,1362.3837,measurement,request-count-2250,2250,2250,2250,0,0,5,2255,404070400,520503296,36684283904,96,11,7365680,,0,0,0,0,0,0,7342688,404054016,,36684283904,,520364032,,346189824,,50561024,,7303168,,0.0246,0.0116,0.0087,0.0208,0.0701,,5,false
