sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:08.5625304+00:00,0.4475,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60907520,184246272,36483481600,86,11,1313056,,0,0,0,0,0,0,1308976,60866560,,36483489792,,184107008,,9564160,,45486080,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.6925621+00:00,1130.4777,setup,t1-after-setup,0,0,0,0,0,0,0,397922304,514416640,36818505728,96,11,1460136,,0,0,0,0,0,0,1455648,397901824,,36818509824,,514277376,,340185088,,50524160,,7192576,,,,,,,,,
2,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.6956103+00:00,1133.5255,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397975552,514482176,36818501632,96,11,1517448,,0,0,0,0,0,0,1512792,397959168,,36818501632,,514342912,,340242432,,50524160,,7192576,,,,,,,,5,false
3,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.6970259+00:00,1134.9412,warmup,warmup-complete,0,0,0,0,0,5,5,398041088,514547712,36818501632,96,11,1575584,,0,0,0,0,0,0,1570736,398016512,,36818501632,,514408448,,340299776,,50524160,,7192576,,,,,,,,,
4,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.6985017+00:00,1136.4172,measurement,request-count-0,0,0,0,0,0,5,5,398090240,514613248,36818501632,96,11,1632328,,0,0,0,0,0,0,1627312,398069760,,36818501632,,514408448,,340353024,,50524160,,7192576,,,,,,,,,
5,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.7070998+00:00,1145.0153,measurement,request-count-10,10,10,10,0,0,5,15,398315520,514744320,36818501632,96,11,1779592,,0,0,0,0,0,0,1774312,398290944,,36818501632,,514605056,,340504576,,50524160,,7262208,,0.0062,0.025,0.0076,0.0835,0.1015,,5,false
6,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.7146449+00:00,1152.5599,measurement,request-count-50,50,50,50,0,0,5,55,398434304,514875392,36818505728,96,11,1887920,,0,0,0,0,0,0,1882304,398413824,,36818505728,,514670592,,340615168,,50524160,,7274496,,0.0073,0.0106,0.0079,0.018,0.0498,,5,false
7,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.7189177+00:00,1156.8326,measurement,request-count-100,100,100,100,0,0,5,105,398565376,515006464,36818505728,96,11,2017320,,0,0,0,0,0,0,2011320,398540800,,36818505728,,514801664,,340742144,,50524160,,7274496,,0.0082,0.0113,0.009,0.019,0.0397,,5,false
8,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.7228348+00:00,1160.7496,measurement,request-count-150,150,150,150,0,0,5,155,398684160,515137536,36818505728,96,11,2140168,,0,0,0,0,0,0,2133784,398663680,,36818505728,,514932736,,340865024,,50524160,,7274496,,0.0081,0.0087,0.0065,0.0212,0.0327,,5,false
9,phase3a-formal-20260925-v2-component-tokenizer-zh,tokenizer-only,2026-09-24T19:34:09.7269361+00:00,1164.8509,measurement,request-count-200,200,200,200,0,0,5,205,398807040,515203072,36818505728,96,11,2263016,,0,0,0,0,0,0,2256224,398786560,,36818505728,,515063808,,340987904,,50524160,,7274496,,0.0134,0.0093,0.0066,0.014,0.0569,,5,false
