sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:16.9890545+00:00,0.4447,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,67166208,190496768,36349263872,94,11,7645600,,0,0,0,0,0,0,7636936,67129344,,36349272064,,190357504,,15777792,,45559808,,5791744,,,,,,,,,
1,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:19.5622356+00:00,2573.6245,setup,t1-after-model-load,0,0,0,0,0,0,0,944918528,1998913536,38793908224,110,21,8241472,,0,0,0,0,0,0,8231056,944898048,,38793908224,,1998655488,,869240832,,67481600,,8175616,,,,,,,,,
2,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:19.7166917+00:00,2728.0805,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,951058432,1998979072,38793908224,110,21,8338328,,0,0,0,0,0,0,8327600,951042048,,38793908224,,1998786560,,870014976,,72409088,,8617984,,,,,,,125.5906,67,false
3,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:20.0181380+00:00,3029.5265,warmup,warmup-complete,0,0,0,0,0,5,5,952168448,1999740928,38793904128,100,21,724976,,623728,7512,1,1,0,0,8478232,952168448,,38793904128,,1999548416,,870858752,,72540160,,8769536,,,,,,,,,
4,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:20.0202271+00:00,3031.6155,measurement,request-count-0,0,0,0,0,0,5,5,952176640,1999740928,38793908224,100,21,793776,,623728,7512,1,1,0,0,8546816,952176640,,38793908224,,1999548416,,870858752,,72540160,,8777728,,,,,,,,,
5,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:20.8124838+00:00,3823.8723,measurement,request-count-10,10,10,10,0,0,5,15,953704448,2000306176,38793924608,102,21,1147784,,623728,7512,1,1,0,0,8899864,953704448,,38793924608,,2000113664,,871428096,,72822784,,9453568,,110.8685,78.2955,78.6427,104.0167,109.4981,110.4295,67,false
6,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:24.4178615+00:00,7429.2503,measurement,request-count-50,50,50,50,0,0,5,55,956071936,2001588224,38793916416,102,21,2193992,,623728,7512,1,1,0,0,9942976,956071936,,38793916416,,2001395712,,872726528,,72953856,,10391552,,58.2029,88.1116,77.9507,135.3848,165.5388,57.8937,67,false
7,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:28.1927150+00:00,11204.1038,measurement,request-count-100,100,100,100,0,0,5,105,961101824,2056200192,39112953856,105,22,3488320,,623728,7512,1,1,0,0,11233512,961101824,,39112953856,,2056007680,,876687360,,73805824,,10608640,,52.2481,75.0052,72.8028,99.4302,107.6334,52.0061,67,false
8,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:28.2635183+00:00,11274.907,forced-gc,forced-gc-before,100,100,100,0,0,5,105,961101824,2056200192,39112953856,105,22,3564752,,623728,7512,1,1,0,0,11309680,961101824,,39112953856,,2056007680,,876687360,,73805824,,10608640,,,,,,,,,
9,phase3a-formal-20260925-v2-forced-gc-full-pipeline,full-pipeline,2026-09-24T20:45:28.2664505+00:00,11277.8389,forced-gc,forced-gc-after,100,100,100,0,0,5,105,961634304,2056032256,39112122368,105,22,732680,,650800,672,3,3,2,2,11387960,961634304,,39112122368,,2055839744,,877228032,,73805824,,10600448,,,,,,,,,
