request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,183.5711,182.8628,false
1,81.9004,81.3894,false
2,72.24,71.4106,false
3,100.7425,100.261,false
4,97.111,96.5824,false
5,84.6471,84.1348,false
6,85.2544,84.7184,false
7,95.9559,95.4091,false
8,76.685,76.1991,false
9,53.7724,53.1228,false
10,71.3104,70.7771,false
11,73.2993,72.7935,false
12,80.0069,79.5465,false
13,107.5613,107.0376,false
14,63.0006,62.5494,false
15,68.4252,61.9,false
16,82.1428,81.606,false
17,60.733,60.346,false
18,78.2467,77.8761,false
19,65.1044,64.7326,false
20,82.4671,82.0403,false
21,83.904,83.5064,false
22,81.0519,80.6032,false
23,89.3841,88.941,false
24,78.4276,78.0347,false
25,73.8922,73.4177,false
26,80.1024,79.6452,false
27,85.6576,85.0798,false
28,96.6728,96.0397,false
29,66.9863,66.3007,false
30,84.1515,83.7704,false
31,71.4891,71.148,false
32,81.8471,81.5047,false
33,81.0466,80.6154,false
34,95.3799,95.0483,false
35,72.6212,72.3156,false
36,71.431,71.0474,false
37,97.2552,96.8775,false
38,78.3512,78.0336,false
39,59.0926,58.7976,false
40,78.1691,77.8685,false
41,87.1186,86.7661,false
42,76.7595,76.1903,false
43,86.1448,85.8185,false
44,75.0691,74.6977,false
45,92.3672,91.9739,false
46,77.8431,77.497,false
47,93.2673,92.8086,false
48,127.4517,126.8745,false
49,82.1942,81.8855,false
50,87.8906,87.5459,false
51,75.8921,75.3763,false
52,90.5406,90.2033,false
53,91.3144,90.9629,false
54,96.4743,96.1063,false
55,73.3738,73.0398,false
56,79.7154,79.2535,false
57,90.7543,90.3579,false
58,91.2384,90.8549,false
59,102.3194,101.9723,false
60,98.02,97.5296,false
61,120.9672,120.4196,false
62,107.6285,107.256,false
63,109.9929,109.6338,false
64,131.6604,131.1685,false
65,102.7013,102.2648,false
66,117.0014,111.4916,false
67,97.8463,97.4428,false
68,82.2137,81.8624,false
69,71.6145,71.2647,false
70,75.4581,75.0852,false
71,52.3565,52.0211,false
72,92.1748,91.7804,false
73,72.3725,71.96,false
74,59.3045,58.9708,false
75,73.3092,73.0374,false
76,69.215,68.8472,false
77,63.6389,63.3578,false
78,69.6795,69.3488,false
79,74.3388,74.0539,false
80,84.0684,83.7835,false
81,75.2985,75.0069,false
82,71.3157,70.3424,false
83,102.7795,102.517,false
84,81.569,81.2813,false
85,87.8578,87.3707,false
86,141.749,141.3948,false
87,68.9551,68.6057,false
88,74.3699,73.986,false
89,83.6373,83.2654,false
90,68.4211,68.0854,false
91,88.2802,87.9177,false
92,84.5977,83.5409,false
93,60.9951,60.6727,false
94,62.3907,62.0637,false
95,63.2145,62.8335,false
96,70.6736,70.0237,false
97,102.2989,101.9776,false
98,74.2925,73.968,false
99,72.6837,72.3162,false
100,80.9706,80.5966,false
101,85.4688,85.0788,false
102,84.1721,83.7994,false
103,96.8538,96.5098,false
104,88.0003,87.6352,false
105,87.2827,86.578,false
106,99.4313,97.6418,false
107,113.4521,113.1154,false
108,87.3731,86.9971,false
109,72.3461,71.9715,false
110,72.5174,72.0159,false
111,76.6446,76.1869,false
112,78.8825,78.4934,false
113,117.7097,117.3509,false
114,72.1762,71.8023,false
115,69.3718,69.0359,false
116,68.5095,68.1409,false
117,90.4345,90.0674,false
118,65.8641,65.5391,false
119,72.1863,71.6817,false
120,61.7711,61.4259,false
121,103.4898,103.0023,false
