request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,72.3814,71.9546,false
1,81.8822,81.4551,false
2,79.0785,78.5958,false
3,76.9523,76.4749,false
4,90.6514,90.155,false
5,127.9288,127.4884,false
6,79.7809,79.1611,false
7,78.1786,77.6279,false
8,93.9381,93.2738,false
9,86.9402,86.3641,false
10,71.2657,70.8218,false
11,94.9555,94.5374,false
12,86.5471,86.0913,false
13,93.3301,92.9038,false
14,98.8428,98.2414,false
15,68.7843,68.3078,false
16,78.2525,77.8256,false
17,83.6426,83.2109,false
18,105.7645,105.2116,false
19,75.461,71.79,false
20,67.3374,66.8291,false
21,71.1746,70.7004,false
22,75.6944,75.3099,false
23,70.8921,68.831,false
24,81.6573,80.9591,false
25,85.098,84.6931,false
26,103.4414,103.0754,false
27,62.2353,61.8135,false
28,100.0577,99.5974,false
29,86.688,86.1841,false
30,75.6496,75.3469,false
31,59.8755,59.5452,false
32,80.7759,80.4242,false
33,66.1056,65.7111,false
34,88.6589,88.1179,false
35,74.7556,74.2943,false
36,98.5828,98.1834,false
37,101.8209,101.364,false
38,179.9177,179.5457,false
39,96.4405,96.0329,false
40,118.5849,118.1534,false
41,78.161,77.7454,false
42,55.2964,54.9559,false
43,65.3561,64.9604,false
44,57.3566,56.9389,false
45,98.5553,98.1515,false
46,80.5425,80.1592,false
47,82.004,81.4778,false
48,79.608,78.968,false
49,102.6136,102.2231,false
50,73.6526,73.2588,false
51,76.0327,75.6617,false
52,130.4664,129.9732,false
53,78.7112,75.1189,false
54,78.8024,78.2984,false
55,73.1549,72.7421,false
56,72.5191,72.1613,false
57,91.481,91.0903,false
58,136.3153,135.8179,false
59,89.783,89.4155,false
60,91.3007,90.8964,false
61,89.059,88.3628,false
62,66.7605,66.3408,false
63,70.4401,70.0646,false
64,128.3728,128.034,false
65,59.6703,59.3573,false
66,78.4759,78.1329,false
67,58.4753,58.1658,false
68,73.0478,72.5625,false
69,91.9424,91.5545,false
70,58.494,58.2023,false
71,76.0007,75.6855,false
72,113.7002,113.4084,false
73,88.2231,87.9173,false
74,68.6288,68.1826,false
75,58.3263,58.0032,false
76,54.7122,54.3881,false
77,68.7977,68.3937,false
78,59.5931,58.9444,false
79,128.6602,128.2761,false
80,77.4495,77.1452,false
81,61.8679,61.5216,false
82,85.8178,85.4958,false
83,90.8144,90.3697,false
84,70.8344,70.5335,false
85,65.4987,65.1571,false
86,80.0229,79.7074,false
87,90.0896,89.8109,false
88,84.1946,83.8464,false
89,85.9684,85.6468,false
90,71.4524,71.1262,false
91,85.9412,85.5714,false
92,81.5455,81.1898,false
93,69.9219,69.597,false
94,76.088,75.7387,false
95,58.5071,58.1214,false
96,73.4128,73.0977,false
97,58.3813,58.0074,false
98,68.1717,67.7918,false
99,78.89,78.3831,false
100,83.5879,83.2437,false
101,73.071,72.7295,false
102,70.1417,69.7535,false
103,84.0859,83.7654,false
104,74.2852,73.9308,false
105,64.5432,64.2259,false
106,72.0047,71.547,false
107,67.06,66.766,false
108,87.4198,87.1275,false
109,96.4381,96.0599,false
110,57.496,56.947,false
111,72.0069,71.6828,false
112,82.343,82.0295,false
113,85.763,85.4742,false
114,74.3308,74.0248,false
115,93.056,92.7438,false
116,70.6486,70.3502,false
117,79.5155,79.1908,false
118,79.3538,79.0315,false
119,72.686,72.323,false
120,67.267,66.9773,false
121,98.0632,97.7854,false
122,106.449,106.0594,false
123,92.9651,92.6523,false
124,73.3484,73.0381,false
125,73.9024,73.5753,false
126,88.4625,88.1434,false
127,61.8824,61.557,false
128,78.6375,78.3214,false
129,103.0958,102.786,false
130,83.5827,83.2665,false
131,58.9796,58.6609,false
132,73.7756,73.4754,false
133,79.395,79.0624,false
134,65.7217,65.445,false
135,67.2295,66.8546,false
136,114.1376,113.8076,false
137,69.2415,68.8155,false
138,77.6089,77.1813,false
139,91.1521,90.8421,false
140,72.756,72.4436,false
141,61.5137,61.1966,false
142,60.7116,60.4542,false
143,61.0141,60.7167,false
144,89.5933,89.2621,false
145,88.797,88.2858,false
146,73.3064,72.9662,false
147,67.5221,67.1986,false
148,57.5653,57.261,false
149,80.9401,80.3329,false
150,74.2803,73.8914,false
151,78.0876,77.7744,false
152,71.6558,71.2621,false
153,74.5445,74.225,false
154,77.5497,77.0914,false
155,74.848,74.5365,false
156,70.1104,69.7812,false
157,76.8429,76.4539,false
158,102.6782,102.2028,false
159,78.1669,77.5974,false
160,67.5006,67.0653,false
161,69.2026,68.8516,false
162,71.5657,71.19,false
163,70.0132,69.6626,false
164,82.4377,82.0587,false
165,56.86,56.4735,false
166,147.4188,147.0426,false
167,58.8181,58.441,false
168,86.2346,85.8208,false
169,60.8099,60.4466,false
170,62.7152,62.3403,false
171,81.5768,81.2105,false
172,68.6711,68.3174,false
173,96.0706,95.3282,false
174,67.2005,66.7722,false
175,102.7528,102.2914,false
176,66.018,65.6266,false
177,64.6329,64.2819,false
178,72.1424,71.6883,false
179,70.9332,70.5439,false
180,100.9245,100.2304,false
181,68.4457,67.8806,false
182,67.0555,66.5938,false
183,71.46,71.1304,false
184,81.8671,81.4591,false
185,64.4101,64.0259,false
186,86.9024,86.5125,false
187,68.3885,68.004,false
188,104.8688,104.4758,false
189,88.8563,83.0427,false
190,76.7819,76.2248,false
191,68.5899,68.1689,false
192,87.0571,86.668,false
193,82.3332,81.9836,false
194,127.3583,127.0002,false
195,83.4915,83.0181,false
196,106.9343,106.4135,false
197,85.7527,85.3816,false
198,66.7056,66.3503,false
199,92.0525,91.6915,false
200,145.0194,144.6953,false
201,79.1159,78.7381,false
202,83.0466,82.721,false
203,77.2131,76.8274,false
204,74.7929,74.459,false
205,79.1573,78.7195,false
206,125.4424,125.0679,false
207,95.4088,95.0449,false
208,77.0949,76.3715,false
209,83.0261,82.6162,false
210,100.6486,100.2806,false
211,71.3776,71.0122,false
212,90.5298,90.2099,false
213,90.9098,90.4458,false
214,78.1178,77.7165,false
215,88.6058,88.2279,false
216,91.523,91.098,false
217,81.9106,81.4769,false
218,71.2528,70.7201,false
219,117.2252,116.8685,false
220,78.766,78.3981,false
221,84.9548,84.5613,false
222,92.3432,91.9445,false
223,77.443,77.0163,false
224,75.3381,74.9373,false
225,126.6531,126.3072,false
226,88.0321,87.6769,false
227,83.375,83.0144,false
228,92.9473,92.5694,false
229,87.3774,86.9704,false
230,72.0891,71.7263,false
231,114.0429,113.6767,false
232,87.6718,87.3309,false
233,89.4203,89.1217,false
234,66.5049,66.1657,false
235,77.1477,76.8374,false
236,80.8904,80.5707,false
237,66.2301,62.9939,false
238,112.721,112.347,false
239,72.2473,71.8866,false
240,72.2231,71.8927,false
241,68.7312,68.3975,false
242,83.7005,83.3644,false
243,99.4613,99.1112,false
244,77.3074,76.881,false
245,72.3637,72.0275,false
246,66.9981,66.6512,false
247,78.5454,78.2067,false
248,78.0958,77.7495,false
249,69.1501,68.7785,false
250,103.0573,102.6602,false
251,73.3201,73.029,false
252,78.573,78.2829,false
253,57.5359,57.2592,false
254,80.7288,80.2676,false
255,74.3091,74.0156,false
256,58.8922,58.5868,false
257,70.9161,70.4087,false
258,66.6904,66.3142,false
259,81.4771,81.1664,false
260,69.7943,69.484,false
