sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:05.1517209+00:00,0.3737,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60895232,184057856,36349259776,86,11,1319736,,0,0,0,0,0,0,1315632,60858368,,36349267968,,183918592,,9510912,,45531136,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2422855+00:00,1090.937,setup,t1-after-setup,0,0,0,0,0,0,0,398618624,514502656,36684435456,96,11,1550336,,0,0,0,0,0,0,1545536,398598144,,36684435456,,514297856,,340246528,,50647040,,7704576,,,,,,,,,
2,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2525076+00:00,1101.1587,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,398807040,514502656,36684427264,96,11,1607648,,0,0,0,0,0,0,1602656,398786560,,36684427264,,514363392,,340303872,,50647040,,7835648,,,,,,,,49,false
3,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2539120+00:00,1102.5627,warmup,warmup-complete,0,0,0,0,0,5,5,398876672,514568192,36684427264,96,11,1673184,,0,0,0,0,0,0,1668000,398856192,,36684427264,,514428928,,340369408,,50647040,,7839744,,,,,,,,,
4,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2550081+00:00,1103.6589,measurement,request-count-0,0,0,0,0,0,5,5,398929920,514633728,36684427264,96,11,1730496,,0,0,0,0,0,0,1725120,398913536,,36684427264,,514494464,,340426752,,50647040,,7839744,,,,,,,,,
5,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2611190+00:00,1109.7701,measurement,request-count-10,10,10,10,0,0,5,15,399175680,514830336,36684439552,96,11,1886240,,0,0,0,0,0,0,1880600,399151104,,36684439552,,514625536,,340582400,,50647040,,7921664,,0.0023,0.0084,0.0027,0.0312,0.0374,,49,false
6,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2698652+00:00,1118.5162,measurement,request-count-50,50,50,50,0,0,5,55,399331328,514961408,36684435456,96,11,2041728,,0,0,0,0,0,0,2035632,399306752,,36684435456,,514822144,,340738048,,50647040,,7921664,,0.0036,0.008,0.0047,0.0227,0.0378,,49,false
7,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2740494+00:00,1122.7003,measurement,request-count-100,100,100,100,0,0,5,105,399503360,515158016,36684435456,96,11,2213920,,0,0,0,0,0,0,2207272,399478784,,36684435456,,514953216,,340910080,,50647040,,7921664,,0.0031,0.0052,0.003,0.0114,0.031,,49,false
8,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2781214+00:00,1126.7721,measurement,request-count-150,150,150,150,0,0,5,155,399679488,515289088,36684435456,96,11,2394080,,0,0,0,0,0,0,2386904,399659008,,36684435456,,515149824,,341090304,,50647040,,7921664,,0.0027,0.0044,0.0028,0.0088,0.0208,,49,false
9,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2824854+00:00,1131.1374,measurement,request-count-200,200,200,200,0,0,5,205,399855616,515485696,36684435456,96,11,2574240,,0,0,0,0,0,0,2566488,399839232,,36684435456,,515346432,,341270528,,50647040,,7921664,,0.0036,0.009,0.005,0.025,0.0474,,49,false
10,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2875089+00:00,1136.16,measurement,request-count-250,250,250,250,0,0,5,255,400035840,515682304,36684435456,96,11,2746944,,0,0,0,0,0,0,2738664,400011264,,36684435456,,515543040,,341442560,,50647040,,7921664,,0.0044,0.0079,0.0046,0.0191,0.0448,,49,false
11,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2924081+00:00,1141.059,measurement,request-count-300,300,300,300,0,0,5,305,400203776,515813376,36684435456,96,11,2926592,,0,0,0,0,0,0,2917736,400191488,,36684435456,,515674112,,341622784,,50647040,,7921664,,0.0042,0.0069,0.0045,0.0134,0.0359,,49,false
12,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.2964364+00:00,1145.0871,measurement,request-count-350,350,350,350,0,0,5,355,400388096,516009984,36684435456,96,11,3098528,,0,0,0,0,0,0,3089120,400363520,,36684435456,,515870720,,341794816,,50647040,,7921664,,0.0082,0.0052,0.0036,0.0111,0.0165,,49,false
13,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3004473+00:00,1149.0982,measurement,request-count-400,400,400,400,0,0,5,405,400560128,516206592,36684435456,96,11,3272296,,0,0,0,0,0,0,3262360,400539648,,36684435456,,516067328,,341970944,,50647040,,7921664,,0.0022,0.0049,0.0023,0.02,0.0322,,49,false
14,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3046848+00:00,1153.3357,measurement,request-count-450,450,450,450,0,0,5,455,400736256,516403200,36684435456,96,11,3450880,,0,0,0,0,0,0,3440392,400715776,,36684435456,,516198400,,342147072,,50647040,,7921664,,0.011,0.0071,0.0047,0.0137,0.0291,,49,false
15,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3089242+00:00,1157.5753,measurement,request-count-500,500,500,500,0,0,5,505,400912384,516534272,36684435456,96,11,3631040,,0,0,0,0,0,0,3620024,400896000,,36684435456,,516395008,,342327296,,50647040,,7921664,,0.0042,0.0073,0.0044,0.0201,0.0409,,49,false
16,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3132430+00:00,1161.8938,measurement,request-count-550,550,550,550,0,0,5,555,401092608,516730880,36684435456,96,11,3805800,,0,0,0,0,0,0,3794232,401068032,,36684435456,,516591616,,342499328,,50647040,,7921664,,0.0171,0.0059,0.0036,0.0155,0.0209,,49,false
17,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3183238+00:00,1166.9751,measurement,request-count-600,600,600,600,0,0,5,605,401272832,516927488,36684435456,96,11,3983392,,0,0,0,0,0,0,3971272,401248256,,36684435456,,516722688,,342679552,,50647040,,7921664,,0.0034,0.0087,0.0047,0.0178,0.0613,,49,false
18,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3240446+00:00,1172.6956,measurement,request-count-650,650,650,650,0,0,5,655,401444864,517058560,36684435456,96,11,4155328,,0,0,0,0,0,0,4142656,401420288,,36684435456,,516919296,,342851584,,50647040,,7921664,,0.0047,0.0087,0.0047,0.0201,0.0511,,49,false
19,phase3a-formal-20260925-v3-component-calibration-only,calibration-only,2026-09-24T21:34:06.3285217+00:00,1177.1725,measurement,request-count-700,700,700,700,0,0,5,705,401629184,517357568,36684431360,96,11,4335400,,0,0,0,0,0,0,4322200,401604608,,36684431360,,517218304,,343040000,,50647040,,7917568,,0.0042,0.0084,0.0044,0.0187,0.0621,,49,false
