sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:53.8748052+00:00,0.4533,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60878848,184242176,36483477504,86,11,1306376,,0,0,0,0,0,0,1302416,60841984,,36483485696,,184037376,,9555968,,45469696,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:56.7167693+00:00,2842.4152,setup,t1-after-model-load,0,0,0,0,0,0,0,939044864,1992454144,38927917056,102,21,1885976,,0,0,0,0,0,0,1880336,939020288,,38927917056,,1992232960,,862912512,,67563520,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:56.8628590+00:00,2988.5045,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944840704,1992585216,38927904768,102,21,1984408,,0,0,0,0,0,0,1978456,944816128,,38927904768,,1992298496,,863682560,,72163328,,8970240,,,,,,,111.6981,67,false
3,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:57.1895103+00:00,3315.156,warmup,warmup-complete,0,0,0,0,0,5,5,945803264,1993166848,38927912960,102,21,2148120,,0,0,0,0,0,0,2141664,945762304,,38927912960,,1992945664,,864296960,,72228864,,9236480,,,,,,,,,
4,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:57.1938542+00:00,3319.5,measurement,request-count-0,0,0,0,0,0,5,5,945876992,1993232384,38927917056,102,21,2213656,,0,0,0,0,0,0,2206984,945860608,,38927917056,,1993011200,,864370688,,72228864,,9261056,,,,,,,,,
5,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:40:58.1718251+00:00,4297.4704,measurement,request-count-10,10,10,10,0,0,5,15,948584448,1995132928,38927925248,104,21,2566008,,0,0,0,0,0,0,2558376,948572160,,38927925248,,1994846208,,866234368,,72380416,,9957376,,80.9829,96.812,80.9912,183.1991,235.1421,80.2992,67,false
6,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:01.8647735+00:00,7990.4193,measurement,request-count-50,50,50,50,0,0,5,55,950214656,1996181504,38927912960,104,21,3622808,,0,0,0,0,0,0,3612080,950190080,,38927912960,,1995894784,,867291136,,72445952,,10452992,,90.5866,90.1466,85.2775,122.7415,125.7472,90.1426,67,false
7,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:06.1071015+00:00,12232.7472,measurement,request-count-100,100,100,100,0,0,5,105,956702720,2052255744,39246950400,106,22,4908744,,0,0,0,0,0,0,4894200,956674048,,39246950400,,2052034560,,872734720,,73297920,,10641408,,64.7306,84.4937,79.9702,118.0054,148.2378,64.3355,67,false
8,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:09.9843533+00:00,16109.9991,measurement,request-count-150,150,150,150,0,0,5,155,957988864,2036789248,39230169088,104,21,6203016,,0,0,0,0,0,0,6184680,957964288,,39230169088,,2036568064,,874008576,,73297920,,10657792,,90.1068,77.1657,74.6523,98.7032,102.5446,89.7043,67,false
9,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:13.9046824+00:00,20030.3286,measurement,request-count-200,200,200,200,0,0,5,205,959295488,2038099968,39230173184,104,21,7489320,,0,0,0,0,0,0,7467168,959270912,,39230173184,,2037813248,,875294720,,73297920,,10678272,,51.2747,78.0404,75.9558,102.3291,118.5809,50.9823,67,false
10,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:18.0739231+00:00,24199.5687,measurement,request-count-250,250,250,250,0,0,5,255,961179648,2039742464,39230160896,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-3192248).,4822480,4199736,1,1,0,0,8736384,961179648,,39230160896,,2039521280,,877092864,,73363456,,10723328,,84.2856,81.6649,76.2138,105.6823,146.7633,83.9959,67,false
11,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:22.4094027+00:00,28535.0486,measurement,request-count-300,300,300,300,0,0,5,305,961187840,2022981632,39213387776,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-1907144).,4822480,4199736,1,1,0,0,10017696,961187840,,39213387776,,2022760448,,877076480,,73363456,,10747904,,72.2522,86.1195,82.3554,115.6529,130.0122,71.9486,67,false
12,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:26.3776129+00:00,32503.2588,measurement,request-count-350,350,350,350,0,0,5,355,961187840,2022981632,39213387776,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-617960).,4822480,4199736,1,1,0,0,11303088,961187840,,39213387776,,2022760448,,877076480,,73363456,,10747904,,109.1518,77.7674,73.8174,111.6589,129.0236,108.7984,67,false
13,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:30.5163986+00:00,36642.0444,measurement,request-count-400,400,400,400,0,0,5,405,961191936,2022981632,39213387776,102,21,670944,,4822480,4199736,1,1,0,0,12588224,961191936,,39213387776,,2022760448,,877080576,,73363456,,10747904,,66.4333,82.4394,76.7458,116.2267,140.4964,65.7561,67,false
14,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:34.6316592+00:00,40757.3048,measurement,request-count-450,450,450,450,0,0,5,455,961216512,2022981632,39213391872,102,21,1964664,,4822480,4199736,1,1,0,0,13878152,961216512,,39213367296,,2022739968,,877092864,,73363456,,10760192,,76.4384,81.9008,79.2629,108.9457,115.633,76.0489,67,false
15,phase3a-formal-20260925-v3-component-full-pipeline,full-pipeline,2026-09-24T21:41:38.3314466+00:00,44457.0922,measurement,request-count-500,500,500,500,0,0,5,505,961486848,2056716288,39246958592,105,22,3249792,,4822480,4199736,1,1,0,0,15159488,961486848,,39246958592,,2056495104,,877334528,,73363456,,10788864,,77.1259,73.6725,73.5675,91.7173,119.44,76.8164,67,false
