request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,71.1895,71.1895,false
1,70.8235,70.8235,false
2,83.0992,83.0992,false
3,92.776,92.776,false
4,71.8009,71.8009,false
5,81.6892,81.6892,false
6,66.6646,66.6646,false
7,78.8589,78.8589,false
8,84.0443,84.0443,false
9,66.5872,66.5872,false
10,81.8423,81.8423,false
11,57.9524,57.9524,false
12,70.1977,70.1977,false
13,99.6852,99.6852,false
14,94.7221,94.7221,false
15,71.6791,71.6791,false
16,67.3096,67.3096,false
17,88.2472,88.2472,false
18,103.2924,103.2924,false
19,77.8025,77.8025,false
20,70.9767,70.9767,false
21,66.4729,66.4729,false
22,87.6945,87.6945,false
23,140.0378,140.0378,false
24,97.6348,97.6348,false
25,87.0293,87.0293,false
26,67.7403,67.7403,false
27,63.6615,63.6615,false
28,88.9203,88.9203,false
29,77.7372,77.7372,false
30,85.6012,85.6012,false
31,81.1238,81.1238,false
32,60.979,60.979,false
33,66.6102,66.6102,false
34,77.8439,77.8439,false
35,76.6694,76.6694,false
36,57.8559,57.8559,false
37,78.4121,78.4121,false
38,99.0307,99.0307,false
39,83.7389,83.7389,false
40,63.4994,63.4994,false
41,59.2688,59.2688,false
42,56.8067,56.8067,false
43,67.9283,67.9283,false
44,80.8836,80.8836,false
45,69.1317,69.1317,false
46,84.5629,84.5629,false
47,76.6312,76.6312,false
48,81.9754,81.9754,false
49,83.5135,83.5135,false
50,69.2944,69.2944,false
51,81.5899,81.5899,false
52,129.8359,129.8359,false
53,110.7515,110.7515,false
54,66.0727,66.0727,false
55,77.4697,77.4697,false
56,95.3801,95.3801,false
57,85.1843,85.1843,false
58,109.856,109.856,false
59,69.7747,69.7747,false
60,84.1831,84.1831,false
61,71.1072,71.1072,false
62,78.5775,78.5775,false
63,68.2186,68.2186,false
64,63.9743,63.9743,false
65,78.2091,78.2091,false
66,70.3247,70.3247,false
67,75.8783,75.8783,false
68,69.6919,69.6919,false
69,88.3209,88.3209,false
70,68.5182,68.5182,false
71,77.2637,77.2637,false
