sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:08.2627841+00:00,0.4121,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60923904,184061952,36349259776,86,11,1307896,,0,0,0,0,0,0,1303936,60887040,,36349267968,,183857152,,9486336,,45584384,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:11.0445041+00:00,2782.1308,setup,t1-after-model-load,0,0,0,0,0,0,0,939499520,1992499200,38793859072,102,21,1925488,,0,0,0,0,0,0,1919680,939479040,,38793859072,,1992253440,,862932992,,67768320,,8777728,,,,,,,,,
2,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:11.1244241+00:00,2862.0503,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944889856,1992564736,38793859072,102,21,1999248,,0,0,0,0,0,0,1993200,944865280,,38793859072,,1992318976,,863670272,,72368128,,8826880,,,,,,,76.284,67,false
3,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:11.4902273+00:00,3227.8539,warmup,warmup-complete,0,0,0,0,0,5,5,945709056,1993056256,38793863168,102,21,2073008,,0,0,0,0,0,0,2066744,945680384,,38793863168,,1992810496,,864169984,,72433664,,9076736,,,,,,,,,
4,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:11.4930171+00:00,3230.6431,measurement,request-count-0,0,0,0,0,0,5,5,945782784,1993121792,38793863168,102,21,2138544,,0,0,0,0,0,0,2132064,945758208,,38793863168,,1992876032,,864235520,,72433664,,9089024,,,,,,,,,
5,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:12.2700736+00:00,4007.7003,measurement,request-count-10,10,10,10,0,0,5,15,946327552,1993420800,38793863168,104,21,2261392,,0,0,0,0,0,0,2254600,946302976,,38793863168,,1993175040,,864530432,,72458240,,9314304,,66.5872,76.7533,75.3299,88.8467,91.9901,66.5872,67,false
6,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:15.4423038+00:00,7179.9304,measurement,request-count-50,50,50,50,0,0,5,55,947118080,1993814016,38793859072,104,21,2376272,,0,0,0,0,0,0,2369096,947093504,,38793859072,,1993502720,,864903168,,72523776,,9666560,,83.5134,78.8175,77.8232,99.8655,125.707,83.5135,67,false
7,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:19.3796176+00:00,11117.2441,measurement,request-count-100,100,100,100,0,0,5,105,953106432,2049470464,39112900608,107,22,2499120,,0,0,0,0,0,0,2491536,953085952,,39112900608,,2049159168,,869879808,,73375744,,9830400,,57.3471,78.3895,74.8407,112.586,126.3338,57.3471,67,false
8,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:23.2057453+00:00,14943.3723,measurement,request-count-150,150,150,150,0,0,5,155,953495552,2032971776,39096119296,104,21,2621968,,0,0,0,0,0,0,2614000,953483264,,39096119296,,2032726016,,870268928,,73375744,,9838592,,53.5416,76.1196,73.3755,107.7282,123.0063,53.5416,67,false
9,phase3a-formal-20260925-v3-component-run-only,run-only,2026-09-24T21:34:27.1313215+00:00,18868.9484,measurement,request-count-200,200,200,200,0,0,5,205,953647104,2033102848,39096119296,104,21,2744816,,0,0,0,0,0,0,2736464,953630720,,39096119296,,2032857088,,870391808,,73375744,,9863168,,68.9994,77.9893,73.4198,106.9582,137.1584,68.9994,67,false
