request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,0.0458,,false
1,0.0112,,false
2,0.0274,,false
3,0.0135,,false
4,0.0056,,false
5,0.0037,,false
6,0.0034,,false
7,0.0038,,false
8,0.0039,,false
9,0.0036,,false
10,0.0368,,false
11,0.009,,false
12,0.0039,,false
13,0.0104,,false
14,0.005,,false
15,0.0037,,false
16,0.0037,,false
17,0.0045,,false
18,0.0039,,false
19,0.0036,,false
20,0.0082,,false
21,0.0041,,false
22,0.0044,,false
23,0.0046,,false
24,0.0064,,false
25,0.0042,,false
26,0.0038,,false
27,0.0087,,false
28,0.004,,false
29,0.0035,,false
30,0.0038,,false
31,0.0036,,false
32,0.0055,,false
33,0.0033,,false
34,0.0064,,false
35,0.0037,,false
36,0.0054,,false
37,0.0216,,false
38,0.0036,,false
39,0.0037,,false
40,0.0106,,false
41,0.0039,,false
42,0.0039,,false
43,0.0037,,false
44,0.0083,,false
45,0.0036,,false
46,0.0035,,false
47,0.008,,false
48,0.0037,,false
49,0.0039,,false
50,0.0615,,false
51,0.008,,false
52,0.0053,,false
53,0.013,,false
54,0.0049,,false
55,0.0068,,false
56,0.0052,,false
57,0.0056,,false
58,0.0048,,false
59,0.0044,,false
60,0.0115,,false
61,0.0051,,false
62,0.0045,,false
63,0.0043,,false
64,0.0055,,false
65,0.0049,,false
66,0.0708,,false
67,0.0057,,false
68,0.0046,,false
69,0.0042,,false
70,0.0149,,false
71,0.0049,,false
72,0.0044,,false
73,0.0118,,false
74,0.0045,,false
75,0.0043,,false
76,0.0089,,false
77,0.0101,,false
78,0.004,,false
79,0.0045,,false
80,0.0088,,false
81,0.0044,,false
82,0.004,,false
83,0.0039,,false
84,0.0095,,false
85,0.0045,,false
86,0.0044,,false
87,0.0095,,false
88,0.0051,,false
89,0.0044,,false
90,0.0046,,false
91,0.0081,,false
92,0.0041,,false
93,0.0044,,false
94,0.0196,,false
95,0.0048,,false
96,0.0042,,false
97,0.0039,,false
98,0.0051,,false
99,0.0047,,false
100,0.0593,,false
101,0.0078,,false
102,0.0099,,false
103,0.0135,,false
104,0.006,,false
105,0.0043,,false
106,0.0038,,false
107,0.0036,,false
108,0.0038,,false
109,0.0036,,false
110,0.0082,,false
111,0.0041,,false
112,0.0035,,false
113,0.0035,,false
114,0.0035,,false
115,0.0037,,false
116,0.003,,false
117,0.0081,,false
118,0.0042,,false
119,0.0042,,false
120,0.0039,,false
121,0.0039,,false
122,0.0039,,false
123,0.0294,,false
124,0.0036,,false
125,0.0039,,false
126,0.004,,false
127,0.0104,,false
128,0.0039,,false
129,0.004,,false
130,0.008,,false
131,0.0036,,false
132,0.0036,,false
133,0.0037,,false
134,0.0082,,false
135,0.0034,,false
136,0.0036,,false
137,0.0081,,false
138,0.0039,,false
139,0.0034,,false
140,0.0033,,false
141,0.008,,false
142,0.0046,,false
143,0.0035,,false
144,0.0133,,false
145,0.0046,,false
146,0.0036,,false
