sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:48.4851692+00:00,0.4316,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,61009920,184201216,36483616768,86,11,1310184,,0,0,0,0,0,0,1306176,60964864,,36483624960,,183996416,,9580544,,45568000,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4736871+00:00,988.9475,setup,t1-after-setup,0,0,0,0,0,0,0,398061568,514457600,36818726912,96,11,1460520,,0,0,0,0,0,0,1456032,398049280,,36818731008,,514318336,,340238336,,50618368,,7192576,,,,,,,,,
2,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4764525+00:00,991.7122,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,398123008,514523136,36818722816,96,11,1513160,,0,0,0,0,0,0,1508504,398098432,,36818722816,,514383872,,340287488,,50618368,,7192576,,,,,,,,3,false
3,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4777123+00:00,992.9721,warmup,warmup-complete,0,0,0,0,0,5,5,398180352,514588672,36818722816,96,11,1568312,,0,0,0,0,0,0,1563464,398159872,,36818722816,,514449408,,340348928,,50618368,,7192576,,,,,,,,,
4,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4787824+00:00,994.042,measurement,request-count-0,0,0,0,0,0,5,5,398237696,514654208,36818722816,96,11,1624488,,0,0,0,0,0,0,1619448,398213120,,36818722816,,514449408,,340402176,,50618368,,7192576,,,,,,,,,
5,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4864754+00:00,1001.7358,measurement,request-count-10,10,10,10,0,0,5,15,398454784,514785280,36818722816,96,11,1772736,,0,0,0,0,0,0,1767432,398438400,,36818722816,,514646016,,340557824,,50618368,,7262208,,0.0069,0.0251,0.0098,0.0765,0.0888,,3,false
6,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4952687+00:00,1010.5284,measurement,request-count-50,50,50,50,0,0,5,55,398581760,514916352,36818726912,96,11,1886632,,0,0,0,0,0,0,1880944,398557184,,36818726912,,514711552,,340664320,,50618368,,7274496,,0.0049,0.0086,0.0061,0.0168,0.0543,,3,false
7,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.4995084+00:00,1014.7681,measurement,request-count-100,100,100,100,0,0,5,105,398700544,515047424,36818726912,96,11,2009480,,0,0,0,0,0,0,2003408,398680064,,36818726912,,514842624,,340787200,,50618368,,7274496,,0.0115,0.0102,0.0057,0.0179,0.0936,,3,false
8,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5041981+00:00,1019.4584,measurement,request-count-150,150,150,150,0,0,5,155,398823424,515112960,36818726912,96,11,2132328,,0,0,0,0,0,0,2125872,398802944,,36818726912,,514973696,,340910080,,50618368,,7274496,,0.0121,0.011,0.0078,0.0178,0.0694,,3,false
9,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5085331+00:00,1023.7929,measurement,request-count-200,200,200,200,0,0,5,205,398950400,515244032,36818726912,96,11,2255176,,0,0,0,0,0,0,2248336,398925824,,36818726912,,515104768,,341032960,,50618368,,7274496,,0.005,0.0076,0.0052,0.016,0.0492,,3,false
10,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5124062+00:00,1027.6659,measurement,request-count-250,250,250,250,0,0,5,255,399077376,515375104,36818726912,96,11,2378024,,0,0,0,0,0,0,2370800,399048704,,36818726912,,515235840,,341155840,,50618368,,7274496,,0.005,0.0068,0.0052,0.0094,0.034,,3,false
11,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5163125+00:00,1031.5721,measurement,request-count-300,300,300,300,0,0,5,305,399196160,515506176,36818726912,96,11,2509096,,0,0,0,0,0,0,2501464,399179776,,36818726912,,515366912,,341286912,,50618368,,7274496,,0.006,0.0091,0.0065,0.0176,0.0421,,3,false
12,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5202182+00:00,1035.4778,measurement,request-count-350,350,350,350,0,0,5,355,399319040,515637248,36818726912,96,11,2625592,,0,0,0,0,0,0,2617576,399302656,,36818726912,,515497984,,341409792,,50618368,,7274496,,0.0062,0.0071,0.006,0.0109,0.0313,,3,false
13,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5242794+00:00,1039.539,measurement,request-count-400,400,400,400,0,0,5,405,399441920,515768320,36818726912,96,11,2755048,,0,0,0,0,0,0,2746624,399421440,,36818726912,,515629056,,341528576,,50618368,,7274496,,0.0052,0.0075,0.0053,0.0103,0.0463,,3,false
14,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5286801+00:00,1043.9397,measurement,request-count-450,450,450,450,0,0,5,455,399572992,515899392,36818726912,96,11,2877896,,0,0,0,0,0,0,2869088,399544320,,36818726912,,515694592,,341651456,,50618368,,7274496,,0.0061,0.0079,0.0061,0.0112,0.0403,,3,false
15,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5331539+00:00,1048.4135,measurement,request-count-500,500,500,500,0,0,5,505,399695872,516030464,36818726912,96,11,3000744,,0,0,0,0,0,0,2991552,399671296,,36818726912,,515825664,,341778432,,50618368,,7274496,,0.0059,0.0077,0.0062,0.012,0.0313,,3,false
16,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5378140+00:00,1053.0739,measurement,request-count-550,550,550,550,0,0,5,555,399814656,516161536,36818726912,96,11,3123592,,0,0,0,0,0,0,3113992,399794176,,36818726912,,515956736,,341901312,,50618368,,7274496,,0.0049,0.012,0.0082,0.0222,0.0748,,3,false
17,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5428878+00:00,1058.1475,measurement,request-count-600,600,600,600,0,0,5,605,399937536,516227072,36818726912,96,11,3246440,,0,0,0,0,0,0,3236456,399917056,,36818726912,,516087808,,342024192,,50618368,,7274496,,0.0103,0.0098,0.0064,0.0275,0.0653,,3,false
18,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5469854+00:00,1062.2449,measurement,request-count-650,650,650,650,0,0,5,655,400064512,516358144,36818726912,96,11,3369288,,0,0,0,0,0,0,3358920,400039936,,36818726912,,516218880,,342147072,,50618368,,7274496,,0.0064,0.0075,0.006,0.0149,0.0252,,3,false
19,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5509960+00:00,1066.2557,measurement,request-count-700,700,700,700,0,0,5,705,400187392,516489216,36818726912,96,11,3492136,,0,0,0,0,0,0,3481384,400162816,,36818726912,,516349952,,342269952,,50618368,,7274496,,0.0057,0.0092,0.0062,0.0234,0.0512,,3,false
20,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5558203+00:00,1071.0803,measurement,request-count-750,750,750,750,0,0,5,755,400310272,516620288,36818726912,96,11,3623208,,0,0,0,0,0,0,3612048,400293888,,36818726912,,516481024,,342401024,,50618368,,7274496,,0.005,0.009,0.0058,0.0169,0.0716,,3,false
21,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5603817+00:00,1075.6415,measurement,request-count-800,800,800,800,0,0,5,805,400433152,516751360,36818726912,96,11,3739328,,0,0,0,0,0,0,3727808,400416768,,36818726912,,516612096,,342523904,,50618368,,7274496,,0.0059,0.0096,0.0064,0.0196,0.0668,,3,false
22,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5640598+00:00,1079.3193,measurement,request-count-850,850,850,850,0,0,5,855,400556032,516882432,36818726912,96,11,3869160,,0,0,0,0,0,0,3857232,400535552,,36818726912,,516743168,,342642688,,50618368,,7274496,,0.0046,0.0057,0.005,0.0093,0.0147,,3,false
23,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5689067+00:00,1084.1664,measurement,request-count-900,900,900,900,0,0,5,905,400687104,517013504,36818726912,96,11,3992008,,0,0,0,0,0,0,3979696,400658432,,36818726912,,516808704,,342765568,,50618368,,7274496,,0.0081,0.013,0.0095,0.0261,0.0642,,3,false
24,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5734750+00:00,1088.7346,measurement,request-count-950,950,950,950,0,0,5,955,400809984,517144576,36818726912,96,11,4114856,,0,0,0,0,0,0,4102160,400785408,,36818726912,,516939776,,342892544,,50618368,,7274496,,0.0065,0.0112,0.0097,0.0201,0.0434,,3,false
25,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5773111+00:00,1092.5706,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,400932864,517378048,36818722816,96,11,4237616,,0,0,0,0,0,0,4224512,400908288,,36818726912,,517066752,,343015424,,50618368,,7274496,,0.0049,0.0064,0.0051,0.0099,0.0275,,3,false
26,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5822870+00:00,1097.5469,measurement,request-count-1050,1050,1050,1050,0,0,5,1055,401055744,517443584,36818722816,96,11,4360464,,0,0,0,0,0,0,4346976,401035264,,36818722816,,517304320,,343146496,,50618368,,7270400,,0.0118,0.0131,0.0093,0.0287,0.0828,,3,false
27,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5869564+00:00,1102.2161,measurement,request-count-1100,1100,1100,1100,0,0,5,1105,401182720,517574656,36818722816,96,11,4483312,,0,0,0,0,0,0,4469440,401158144,,36818722816,,517435392,,343269376,,50618368,,7270400,,0.0064,0.0088,0.0063,0.0134,0.0556,,3,false
28,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5919705+00:00,1107.2304,measurement,request-count-1150,1150,1150,1150,0,0,5,1155,401305600,517705728,36818722816,96,11,4614384,,0,0,0,0,0,0,4600104,401289216,,36818722816,,517566464,,343400448,,50618368,,7270400,,0.0075,0.0122,0.0098,0.019,0.052,,3,false
29,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.5958125+00:00,1111.0721,measurement,request-count-1200,1200,1200,1200,0,0,5,1205,401428480,517836800,36818722816,96,11,4737232,,0,0,0,0,0,0,4722568,401412096,,36818722816,,517697536,,343523328,,50618368,,7270400,,0.0063,0.0074,0.0062,0.0142,0.0225,,3,false
30,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6000777+00:00,1115.338,measurement,request-count-1250,1250,1250,1250,0,0,5,1255,401559552,517967872,36818722816,96,11,4860080,,0,0,0,0,0,0,4845032,401534976,,36818722816,,517828608,,343646208,,50618368,,7270400,,0.0061,0.0103,0.0066,0.0174,0.0592,,3,false
31,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6053415+00:00,1120.6017,measurement,request-count-1300,1300,1300,1300,0,0,5,1305,401682432,518098944,36818722816,96,11,4983304,,0,0,0,0,0,0,4967848,401657856,,36818722816,,517959680,,343769088,,50618368,,7270400,,0.0092,0.013,0.0092,0.0175,0.0844,,3,false
32,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6099649+00:00,1125.2246,measurement,request-count-1350,1350,1350,1350,0,0,5,1355,401805312,518230016,36818722816,96,11,5107424,,0,0,0,0,0,0,5091560,401780736,,36818722816,,518090752,,343891968,,50618368,,7270400,,0.0073,0.0076,0.0052,0.0094,0.0523,,3,false
33,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6139370+00:00,1129.1965,measurement,request-count-1400,1400,1400,1400,0,0,5,1405,401928192,518361088,36818722816,96,11,5228880,,0,0,0,0,0,0,5212608,401903616,,36818722816,,518156288,,344014848,,50618368,,7270400,,0.0061,0.0072,0.0061,0.0122,0.0242,,3,false
34,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6178032+00:00,1133.0627,measurement,request-count-1450,1450,1450,1450,0,0,5,1455,402046976,518492160,36818722816,96,11,5351728,,0,0,0,0,0,0,5335072,402026496,,36818722816,,518287360,,344137728,,50618368,,7270400,,0.0059,0.0088,0.0076,0.0183,0.0221,,3,false
35,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6222864+00:00,1137.546,measurement,request-count-1500,1500,1500,1500,0,0,5,1505,402169856,518557696,36818722816,96,11,5482800,,0,0,0,0,0,0,5465736,402157568,,36818722816,,518418432,,344268800,,50618368,,7270400,,0.0079,0.01,0.0066,0.0312,0.0392,,3,false
36,phase3a-formal-20260925-v3-component-tokenizer-en,tokenizer-only,2026-09-24T21:33:49.6263932+00:00,1141.6527,measurement,request-count-1550,1550,1550,1550,0,0,5,1555,402296832,518688768,36818722816,96,11,5605648,,0,0,0,0,0,0,5588200,402280448,,36818722816,,518549504,,344391680,,50618368,,7270400,,0.0063,0.0081,0.0064,0.0171,0.0285,,3,false
