request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,97.3008,96.3839,false
1,131.8999,131.1709,false
2,129.7362,128.7156,false
3,156.6722,156.1745,false
4,147.1734,146.4386,false
5,185.8424,184.6421,false
6,113.0294,112.5246,false
7,131.1334,130.6121,false
8,121.9335,121.4888,false
9,145.7941,145.3347,false
10,133.8238,133.3543,false
11,166.2449,161.5316,false
12,180.5355,180.014,false
13,107.4535,106.823,false
14,132.395,131.7936,false
15,98.4317,97.964,false
16,149.117,148.6212,false
17,236.7873,236.1312,false
18,133.5824,133.0374,false
19,121.9197,121.316,false
20,134.0701,133.5728,false
21,126.0861,125.5235,false
22,130.7419,130.3095,false
23,142.2808,141.8286,false
24,124.0704,123.6902,false
25,142.0447,141.5649,false
26,131.6024,131.1509,false
27,150.8247,150.397,false
28,120.569,120.1278,false
29,130.8958,130.5137,false
30,118.4498,117.9958,false
31,100.5586,100.1274,false
32,117.272,116.8445,false
33,151.8817,151.5063,false
34,131.8477,131.4014,false
35,117.547,117.1378,false
36,103.0126,102.59,false
37,187.7011,187.2906,false
38,142.633,142.177,false
39,131.6525,131.1526,false
40,113.0616,112.6402,false
41,142.1807,141.697,false
42,135.2458,134.7575,false
43,104.8193,104.3088,false
44,126.3948,125.9769,false
45,139.3409,138.8747,false
46,148.8464,148.3006,false
47,127.7173,127.1633,false
48,135.075,134.6349,false
49,153.4385,152.9727,false
50,134.9349,134.5466,false
51,160.3181,159.8236,false
52,140.782,140.3364,false
53,105.8078,105.2638,false
54,159.3723,158.7959,false
55,127.8817,127.4544,false
56,141.7562,141.3257,false
57,184.924,184.4571,false
58,151.0262,150.571,false
59,141.9679,141.5646,false
60,102.4678,102.0126,false
61,174.3745,173.9199,false
62,120.5605,120.1026,false
63,112.7299,112.3164,false
64,142.2346,141.8178,false
65,175.927,175.516,false
66,138.819,138.3446,false
67,134.4919,134.0137,false
68,108.6625,108.2282,false
69,138.3226,137.9196,false
70,132.8923,132.4154,false
71,146.7163,146.2622,false
72,119.1561,118.7064,false
73,125.9713,125.5149,false
74,157.65,157.1476,false
75,122.4034,121.8693,false
76,118.9206,118.5268,false
77,132.5627,132.1526,false
78,141.8377,141.152,false
79,140.1587,139.3657,false
80,137.5404,137.1248,false
81,258.7469,258.2973,false
82,124.1172,123.6987,false
83,110.4927,110.0442,false
84,131.13,130.6937,false
85,110.7037,110.2707,false
86,174.2608,173.7971,false
87,121.8579,121.3911,false
88,110.1854,109.7257,false
89,111.3168,110.9084,false
90,143.0587,141.2362,false
91,98.4458,98.0476,false
92,122.6055,122.1669,false
93,112.2116,111.8016,false
94,99.0093,98.5691,false
95,165.075,164.6523,false
96,126.872,126.3997,false
97,142.0812,141.3268,false
98,118.9745,118.1729,false
99,145.202,144.6843,false
100,124.7539,124.2549,false
101,104.7276,104.1781,false
102,113.2975,112.8698,false
103,113.7406,113.0135,false
104,135.1661,134.6741,false
105,126.7258,126.2521,false
106,131.6434,131.1355,false
107,102.7319,102.2217,false
108,173.04,172.5431,false
109,112.8369,112.3522,false
110,106.181,105.7351,false
111,132.2338,131.5806,false
112,159.5973,159.0456,false
113,137.1327,136.6845,false
114,123.6932,123.2791,false
115,159.3728,158.9456,false
116,126.9601,126.5135,false
117,140.6579,140.2061,false
118,150.8122,150.3957,false
119,146.4286,144.7193,false
120,138.2615,137.8444,false
121,114.8592,114.3989,false
122,180.6414,180.0536,false
123,117.0535,116.6669,false
124,152.1016,151.6544,false
125,160.2736,159.8229,false
126,112.622,112.1791,false
127,104.5615,104.1607,false
128,134.4144,133.942,false
129,167.0441,166.6011,false
130,143.9124,143.4549,false
131,130.6338,130.1288,false
132,140.661,139.9416,false
133,150.8465,150.4055,false
134,153.8608,153.4231,false
135,105.5632,105.0631,false
136,164.8848,164.4713,false
137,167.8915,167.3259,false
138,134.1575,133.7095,false
139,137.338,136.9195,false
140,143.949,143.6166,false
141,136.5062,136.0498,false
142,155.0052,154.3954,false
143,140.2156,139.7424,false
144,157.2611,156.7588,false
145,162.921,162.492,false
146,113.671,112.7326,false
147,107.316,106.878,false
148,111.096,110.6002,false
149,126.4421,125.8451,false
150,126.536,126.1461,false
151,129.12,128.6596,false
152,124.4989,124.031,false
153,149.8807,149.3301,false
154,139.5902,139.0454,false
155,157.6335,157.0327,false
156,136.9663,136.4097,false
157,141.5403,140.9941,false
158,160.2339,159.8114,false
159,139.3885,138.8119,false
160,142.1185,141.6619,false
161,131.0854,130.6243,false
162,133.0571,132.5526,false
163,177.5702,177.133,false
164,171.1804,170.6203,false
165,120.8943,120.4801,false
166,139.7385,139.2089,false
167,172.3091,169.4492,false
168,142.6786,142.279,false
169,128.2656,127.8306,false
170,125.2541,124.8978,false
171,126.004,125.6288,false
172,155.512,155.0774,false
173,135.8387,135.494,false
174,133.6664,133.258,false
175,141.3279,140.9721,false
176,126.6444,126.2871,false
177,165.9061,165.5276,false
178,147.4137,147.0351,false
179,139.9566,139.5914,false
180,162.3489,162.0284,false
181,164.5432,164.2246,false
182,111.8591,111.5319,false
183,177.7217,177.4029,false
