sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:18.1059306+00:00,0.3884,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,61108224,184066048,36349263872,86,11,1312448,,0,0,0,0,0,0,1308368,61067264,,36349272064,,183926784,,9572352,,45678592,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:20.8540257+00:00,2748.482,setup,t1-after-model-load,0,0,0,0,0,0,0,939343872,1992581120,38793932800,102,21,1910872,,0,0,0,0,0,0,1905064,939323392,,38793932800,,1992265728,,862994432,,67792896,,8536064,,,,,,,,,
2,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:21.0843550+00:00,2978.811,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,946192384,1992654848,38793932800,102,21,2017272,,0,0,0,0,0,0,2011128,946163712,,38793932800,,1992404992,,863776768,,73375744,,9011200,,,,,,,195.6654,67,false
3,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:21.6761097+00:00,3570.5656,warmup,warmup-complete,0,0,0,0,0,5,5,947580928,1993371648,38793945088,104,21,2222104,,0,0,0,0,0,0,2215336,947564544,,38793945088,,1993121792,,864509952,,73527296,,9527296,,,,,,,,,
4,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:21.6819288+00:00,3576.3845,measurement,request-count-0,0,0,0,0,0,5,5,947646464,1993437184,38793936896,104,21,2295864,,0,0,0,0,0,0,2288856,947625984,,38793936896,,1993187328,,864575488,,73527296,,9523200,,,,,,,,,
5,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:23.1606043+00:00,5055.0608,measurement,request-count-10,10,10,10,0,0,5,15,952786944,1998032896,38793945088,104,21,2721720,,0,0,0,0,0,0,2713440,952762368,,38793945088,,1997783040,,869122048,,73592832,,10047488,,156.1793,146.3769,147.8859,179.7554,191.067,155.6505,67,false
6,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:28.8142853+00:00,10708.7413,measurement,request-count-50,50,50,50,0,0,5,55,956551168,2050973696,39112966144,107,22,4188184,,0,0,0,0,0,0,4175584,956526592,,39112966144,,2050723840,,871464960,,74510336,,10551296,,133.1916,140.9106,133.2251,203.7399,223.5021,132.8146,67,false
7,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:35.6783469+00:00,17572.8031,measurement,request-count-100,100,100,100,0,0,5,105,959168512,2020028416,39079411712,104,21,5998384,,0,0,0,0,0,0,5972312,959143936,,39079411712,,2019778560,,873971712,,74510336,,10661888,,128.2125,136.8854,131.9854,178.7995,193.9061,127.7397,67,false
8,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:42.2814030+00:00,24175.8592,measurement,request-count-150,150,150,150,0,0,5,155,961826816,2022682624,39079415808,104,21,7808976,,0,0,0,0,0,0,7777552,961806336,,39079415808,,2022367232,,876617728,,74510336,,10678272,,137.0179,131.7323,132.3067,165.5578,174.476,136.3074,67,false
9,phase3a-formal-20260925-v3-concurrency-4,full-pipeline,2026-09-24T23:12:48.9953183+00:00,30889.775,measurement,request-count-200,200,200,200,0,0,5,205,963334144,2023960576,39079403520,102,21,1914000,,605568,7464,1,1,0,0,9675240,963334144,,39079403520,,2023710720,,878034944,,74575872,,10723328,,150.0278,133.9335,133.4335,169.636,191.2218,149.7002,67,false
