request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,80.5741,80.046,false
1,232.5617,232.0177,false
2,80.4319,75.7184,false
3,84.7274,84.2627,false
4,93.4733,93.028,false
5,115.9232,115.3652,false
6,105.2575,104.5043,false
7,115.5363,114.959,false
8,109.2015,108.699,false
9,121.7476,120.9529,false
10,120.5433,120.1949,false
11,68.2773,67.9254,false
12,104.2202,101.5624,false
13,100.2876,99.8098,false
14,82.09,81.7127,false
15,82.2817,81.8643,false
16,80.3473,80.0158,false
17,74.7229,74.3522,false
18,161.5156,161.1613,false
19,108.5038,107.9084,false
20,71.7021,71.4033,false
21,67.086,66.7564,false
22,62.1326,61.7964,false
23,74.5503,74.2053,false
24,75.2003,74.7797,false
25,66.5449,66.0485,false
26,69.6135,68.8603,false
27,106.4769,105.9824,false
28,92.6372,92.2895,false
29,72.786,72.4436,false
30,78.1243,77.7948,false
31,70.8335,70.4146,false
32,63.8961,63.5457,false
33,71.3009,70.9765,false
34,76.6939,76.3383,false
35,62.5834,62.2018,false
36,75.6682,75.2726,false
37,87.2926,86.8724,false
38,79.5748,79.2281,false
39,63.3595,63.0069,false
40,60.9051,60.5937,false
41,55.7889,55.3933,false
42,92.4375,92.091,false
43,110.8232,110.5039,false
44,75.7168,75.3067,false
45,96.5664,96.2307,false
46,65.4723,65.1455,false
47,75.979,75.4035,false
48,99.1224,98.8046,false
49,63.2373,62.7622,false
50,58.4509,58.0858,false
51,83.0304,82.6843,false
52,99.7667,99.4514,false
53,115.9876,115.6249,false
54,108.785,108.3409,false
55,103.5399,101.9747,false
56,85.6425,85.2774,false
57,139.1363,138.7966,false
58,83.3285,82.9337,false
59,71.9337,71.6543,false
60,83.403,83.1199,false
61,62.7866,62.4896,false
62,98.2102,97.9229,false
63,91.7898,91.4236,false
64,82.1146,81.7406,false
65,78.8393,78.5518,false
66,80.6653,80.3997,false
67,60.0872,59.7235,false
68,75.9354,75.6852,false
69,60.8442,60.5707,false
70,67.355,67.0626,false
71,74.5178,74.2266,false
72,57.3344,57.0376,false
73,76.5243,76.1903,false
74,71.2177,70.9475,false
75,68.6748,68.4303,false
76,59.0295,58.7564,false
77,74.7672,74.5009,false
78,103.6132,103.3628,false
79,89.9655,89.6351,false
80,84.5779,84.2433,false
81,79.9966,79.7275,false
82,74.9992,74.6968,false
83,69.8161,69.5495,false
84,89.9307,89.6628,false
85,90.2613,89.9731,false
86,86.5872,86.2758,false
87,61.1953,60.8119,false
88,89.6021,89.3315,false
89,58.3099,58.0034,false
90,70.1858,69.9336,false
91,58.1224,57.8796,false
92,67.7221,67.4701,false
93,60.044,59.7931,false
94,82.0321,81.7883,false
95,74.6417,74.3747,false
96,62.3918,62.0523,false
97,68.1901,67.8124,false
98,103.6929,103.4041,false
99,72.1603,71.8994,false
100,133.3476,133.0649,false
101,115.7926,115.5407,false
102,95.6154,95.2373,false
103,73.3647,73.0079,false
104,90.0016,89.6411,false
105,75.1364,74.84,false
106,93.6562,93.1274,false
107,77.1077,76.8243,false
108,104.663,104.3121,false
109,72.2457,71.8139,false
110,74.7698,74.4854,false
111,94.3894,94.109,false
112,102.4022,102.0863,false
113,72.8833,72.564,false
114,81.4867,81.123,false
115,78.2326,77.882,false
116,89.4219,89.1409,false
117,74.4547,74.1485,false
118,77.1321,76.8245,false
119,111.6162,111.3331,false
120,98.7842,98.5231,false
121,86.7261,86.4784,false
122,76.0657,75.8309,false
123,77.9586,77.6856,false
124,96.3479,96.1042,false
125,72.3872,72.1423,false
126,80.8133,80.5502,false
127,72.4611,72.1583,false
128,64.2419,63.984,false
129,74.5509,74.2585,false
130,75.0905,74.8503,false
131,69.0991,68.8695,false
132,66.3905,66.1391,false
133,102.1445,101.9121,false
134,74.9287,74.6438,false
135,84.6961,84.4096,false
136,66.2824,66.0416,false
137,62.7696,62.5272,false
138,63.8873,63.6393,false
139,68.0629,67.8011,false
140,76.7084,76.4586,false
141,93.786,93.5351,false
142,74.7208,74.4792,false
143,69.771,69.5354,false
144,163.5233,163.2885,false
145,270.5905,270.2839,false
146,74.2547,73.9737,false
147,53.4516,53.1677,false
148,73.6425,73.4153,false
149,74.93,74.6707,false
150,84.7951,84.4518,false
151,65.5767,65.2742,false
152,97.2976,96.9703,false
153,84.3052,84.0636,false
154,72.084,71.8187,false
155,88.6888,88.3965,false
156,73.232,72.9649,false
157,81.4476,81.1766,false
158,73.1194,72.8618,false
159,89.0418,88.7712,false
160,70.2925,70.0559,false
161,85.925,85.6624,false
162,64.2261,63.9781,false
163,68.5272,68.2903,false
164,83.6902,83.4316,false
165,86.746,86.4994,false
166,70.4829,70.2329,false
167,65.744,65.4975,false
168,73.2217,72.8559,false
169,73.8017,73.5505,false
170,77.9465,77.4244,false
171,76.7246,76.4793,false
172,64.2223,63.9722,false
173,85.0897,84.8244,false
174,82.2761,82.0046,false
175,59.8048,59.5472,false
176,56.717,56.4613,false
177,67.7437,67.4886,false
178,66.3255,65.9941,false
179,56.4734,56.0474,false
180,78.6063,78.3579,false
181,68.6701,68.3997,false
182,105.2536,105.0075,false
183,62.0796,61.7981,false
184,71.853,71.5795,false
185,55.6185,55.3687,false
186,63.6794,63.4077,false
187,66.0452,65.77,false
188,56.9183,56.5762,false
189,59.8856,59.6074,false
190,77.1506,76.852,false
191,73.1676,72.8943,false
192,66.8782,66.4945,false
193,77.1603,76.8323,false
194,76.4693,76.2159,false
195,54.8253,54.5787,false
196,72.8075,72.5055,false
197,58.6104,58.3418,false
198,55.7813,55.4385,false
199,105.3052,105.0495,false
200,72.5464,72.2638,false
201,54.2984,54.0344,false
202,71.0907,70.7848,false
203,73.8622,73.507,false
204,86.097,85.8426,false
205,64.7367,64.4293,false
206,62.3874,62.1212,false
207,99.9497,99.6949,false
208,88.9614,88.6971,false
209,83.1377,82.8597,false
210,54.3618,54.0626,false
211,64.2989,64.0389,false
212,68.4801,68.2256,false
213,66.8141,66.5605,false
214,96.3611,96.1239,false
215,54.2651,54.0148,false
216,67.9914,67.6368,false
217,77.1303,76.8937,false
218,81.1201,80.8605,false
219,66.2442,65.7355,false
220,61.6295,61.3641,false
221,66.6406,66.3851,false
222,137.8334,137.5987,false
223,59.1447,58.9046,false
224,60.9027,60.6524,false
225,71.4977,71.2064,false
226,58.1532,57.8085,false
227,84.4952,84.2396,false
228,74.7343,74.4455,false
229,59.6637,59.2977,false
230,59.438,59.1715,false
231,67.4142,67.1701,false
232,76.0795,75.75,false
233,66.7196,66.4013,false
234,69.6644,69.2999,false
235,58.6605,58.386,false
236,59.0757,58.8063,false
237,61.3015,61.0368,false
238,84.1267,83.8852,false
239,62.5631,62.3016,false
240,67.6778,67.412,false
241,66.4661,66.2205,false
242,66.4177,66.161,false
243,68.3009,68.0585,false
244,65.1232,64.8617,false
245,53.7031,53.4798,false
246,75.0899,74.8142,false
247,96.6669,96.4194,false
248,68.3142,68.0317,false
249,65.0515,64.7859,false
250,65.2326,64.9298,false
251,67.0111,65.8258,false
252,68.9226,68.5425,false
253,68.6409,68.347,false
254,90.1736,89.867,false
255,71.5337,71.2336,false
256,71.1308,70.8369,false
257,102.2393,101.6404,false
258,65.6957,65.3845,false
259,72.9226,72.6144,false
260,88.7398,88.4824,false
261,154.3525,154.0509,false
262,99.6774,99.2523,false
263,79.1862,78.904,false
264,89.3094,88.9746,false
265,64.1801,63.8375,false
266,74.936,74.5825,false
267,114.3647,114.0128,false
268,86.1887,85.8096,false
269,79.5221,79.1885,false
270,77.4388,77.0838,false
271,96.4959,96.0276,false
272,98.4046,97.8736,false
273,68.8085,68.1984,false
274,63.1843,62.837,false
275,77.3784,77.0552,false
276,76.2648,75.9623,false
277,75.4615,75.1539,false
278,63.898,63.6293,false
279,65.5994,65.3192,false
280,58.2552,57.9762,false
281,72.7178,72.436,false
282,110.7534,110.446,false
283,69.2081,68.7892,false
284,61.1505,60.8261,false
285,68.3494,68.0741,false
286,68.616,68.3412,false
287,83.6856,83.0508,false
288,50.9379,50.2884,false
289,66.3248,66.0393,false
290,102.3435,102.0699,false
291,87.8018,87.5185,false
292,65.1519,64.8333,false
293,66.7982,66.5031,false
294,67.3972,67.1183,false
295,66.7337,66.3454,false
296,93.2637,92.9532,false
297,122.9251,122.6533,false
298,70.7057,70.3701,false
299,85.0061,84.6829,false
300,78.6965,78.2674,false
301,78.7,78.3642,false
302,78.1821,77.8759,false
303,70.9605,70.506,false
304,87.4964,87.1567,false
305,64.0148,63.6681,false
306,71.2868,70.9588,false
307,73.7841,73.4608,false
308,76.4452,75.5603,false
309,81.951,81.6198,false
310,77.7242,77.3935,false
311,124.4738,124.0456,false
312,82.5833,82.1878,false
313,71.2053,70.8457,false
314,54.4366,54.1267,false
315,73.7926,73.4441,false
316,78.0198,77.6615,false
317,74.7823,74.4447,false
318,97.2846,96.9567,false
319,69.1933,68.8604,false
320,73.493,72.9565,false
321,82.5835,82.0998,false
322,77.6787,77.351,false
323,77.6613,77.3047,false
324,65.467,64.9596,false
325,108.7187,108.2529,false
326,85.0455,84.7105,false
327,70.1033,69.6792,false
328,62.6502,62.2743,false
329,63.5733,63.2834,false
330,82.8368,82.5273,false
331,60.6183,60.3187,false
332,63.904,63.56,false
333,74.7117,74.3921,false
334,72.379,72.0343,false
335,73.7898,73.4502,false
336,63.3127,63.0057,false
337,77.6521,77.3269,false
338,57.7007,57.3622,false
339,63.8254,63.5141,false
340,67.081,66.7501,false
341,95.7514,95.4132,false
342,66.4534,66.0728,false
343,61.5654,61.0831,false
344,74.5737,74.2563,false
345,75.8828,75.5224,false
346,62.5126,62.1716,false
347,69.1804,68.8674,false
348,64.7567,64.1276,false
349,68.9225,68.5836,false
350,86.151,85.8028,false
351,64.2044,63.839,false
352,63.0994,62.5759,false
353,72.1568,71.847,false
354,75.2922,74.9538,false
355,66.5904,66.2304,false
356,66.4394,66.042,false
357,84.0058,83.6367,false
358,75.2546,74.881,false
359,77.6332,77.2414,false
