request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,83.9402,83.4434,false
1,60.767,60.3064,false
2,61.7295,61.2327,false
3,94.9195,94.3848,false
4,101.7023,101.2612,false
5,103.6988,103.1816,false
6,86.3909,85.7097,false
7,79.9885,79.4068,false
8,79.9789,79.3098,false
9,87.3957,86.9637,false
10,66.9109,66.4366,false
11,72.8976,72.5439,false
12,148.832,148.4458,false
13,119.2896,118.9392,false
14,112.9534,112.6085,false
15,109.5764,108.9714,false
16,100.8386,100.5009,false
17,113.4916,113.163,false
18,100.0756,99.1078,false
19,92.4254,91.8906,false
20,92.0974,91.5897,false
21,97.0072,96.624,false
22,82.288,81.8514,false
23,84.0097,80.414,false
24,81.8778,81.4408,false
25,89.3268,88.8501,false
26,72.549,72.1759,false
27,71.9761,71.5387,false
28,149.9096,149.3386,false
29,107.5158,107.0096,false
30,75.846,75.4526,false
31,101.9831,101.4688,false
32,89.5569,89.1968,false
33,83.1011,82.7492,false
34,92.4072,91.967,false
35,75.1755,74.913,false
36,87.0651,86.7615,false
37,89.59,89.253,false
38,95.011,94.7135,false
39,97.7794,97.4494,false
40,92.6562,92.3573,false
41,71.9782,71.6167,false
42,67.7795,67.4641,false
43,67.7729,67.4326,false
44,76.0966,75.7864,false
45,68.2131,67.9079,false
46,84.107,83.7761,false
47,70.2119,69.8894,false
48,110.2001,109.8969,false
49,87.1418,86.7454,false
50,95.2948,94.8486,false
51,79.1947,78.8542,false
52,142.8601,142.5027,false
53,137.0729,136.4522,false
54,90.4312,90.0674,false
55,121.1276,120.7061,false
56,94.007,93.6292,false
57,72.695,72.3494,false
58,158.5184,158.0452,false
59,87.5975,87.2661,false
60,60.382,59.9961,false
61,74.2345,73.8904,false
62,91.7992,91.4776,false
63,95.6218,95.2846,false
64,73.9936,73.6704,false
65,80.3967,79.7593,false
66,119.6409,114.1169,false
67,91.2209,90.7931,false
68,76.1837,75.8361,false
69,82.6518,82.3261,false
70,96.2428,95.7501,false
71,93.6813,93.3404,false
72,83.0784,82.7496,false
73,79.7243,79.4275,false
74,79.0149,78.416,false
75,83.4935,83.1195,false
76,82.0676,81.754,false
77,99.6815,99.2399,false
78,102.5795,102.1148,false
79,93.717,93.3782,false
80,79.2025,78.8632,false
81,83.6332,83.2953,false
82,86.0502,85.6508,false
83,72.5459,72.005,false
84,79.4134,79.0939,false
85,84.6323,84.2766,false
86,86.0429,85.724,false
87,82.2982,81.9424,false
88,71.7953,71.4535,false
89,78.5029,78.1137,false
90,89.4367,89.0816,false
91,96.6411,96.3136,false
92,74.9206,74.5886,false
93,76.0269,75.6756,false
94,88.2455,87.8915,false
95,80.0105,79.5783,false
96,58.1722,57.8244,false
97,78.6194,78.1313,false
98,91.779,91.3097,false
99,71.112,70.7749,false
100,78.2151,77.8582,false
101,70.4099,70.0445,false
102,85.9505,85.6223,false
103,102.0384,101.618,false
104,71.922,67.8588,false
105,87.8196,87.2824,false
106,80.8407,80.4506,false
107,85.4935,85.1063,false
108,81.0655,80.7639,false
109,78.5423,78.0727,false
110,76.3575,76.0311,false
111,74.0995,73.747,false
112,91.1724,90.7047,false
113,65.0917,64.7806,false
114,69.0666,68.7379,false
115,64.5287,64.2254,false
116,87.2927,86.9775,false
117,99.6551,99.3097,false
118,60.3195,60.0438,false
119,103.5384,103.2842,false
120,79.9901,79.7189,false
121,70.4407,70.1569,false
122,80.124,79.8163,false
123,62.5842,62.2197,false
124,81.9436,81.5879,false
125,77.0822,76.7346,false
126,88.7014,88.3118,false
127,61.2925,60.9011,false
128,57.7878,57.4282,false
129,80.4973,80.0075,false
130,78.1453,77.7789,false
131,66.8481,66.5168,false
132,63.154,62.8434,false
133,62.7123,62.3672,false
134,118.5177,118.1887,false
135,66.1182,65.8275,false
136,51.1628,50.8493,false
137,63.977,63.6631,false
138,81.7265,81.4045,false
139,78.7609,78.1751,false
140,78.471,78.1475,false
141,88.7482,88.3563,false
142,73.3018,72.9969,false
143,69.1417,68.7495,false
144,76.1372,75.6798,false
145,77.0543,76.1517,false
146,73.3339,72.9556,false
147,67.4032,67.0778,false
148,72.6408,72.2842,false
149,100.2844,99.9598,false
150,76.0552,75.7694,false
151,72.1773,71.8568,false
152,85.2754,84.9509,false
153,62.0006,61.6809,false
154,63.3049,62.9713,false
155,65.5917,65.172,false
156,76.9206,76.4691,false
157,86.9046,86.5585,false
158,66.2415,65.9112,false
159,69.9725,69.5726,false
160,78.3054,74.5448,false
161,70.8882,70.4256,false
162,60.4185,60.0562,false
