sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:12.1059971+00:00,0.3368,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60825600,184061952,36349259776,86,11,1312216,,0,0,0,0,0,0,1308160,60788736,,36349267968,,183922688,,9506816,,45465600,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:14.8067814+00:00,2701.1198,setup,t1-after-model-load,0,0,0,0,0,0,0,938958848,1992409088,38793826304,102,21,1891912,,0,0,0,0,0,0,1886176,938934272,,38793826304,,1992192000,,862867456,,67522560,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:14.9199182+00:00,2814.2561,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944701440,1992540160,38793826304,102,21,1990088,,0,0,0,0,0,0,1984040,944676864,,38793826304,,1992323072,,863637504,,72056832,,8982528,,,,,,,85.0022,67,false
3,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:15.2836417+00:00,3177.9797,warmup,warmup-complete,0,0,0,0,0,5,5,945680384,1993117696,38793830400,102,21,2154056,,0,0,0,0,0,0,2147504,945631232,,38793826304,,1992900608,,864247808,,72122368,,9261056,,,,,,,,,
4,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:15.2895203+00:00,3183.8583,measurement,request-count-0,0,0,0,0,0,5,5,945750016,1993183232,38793830400,102,21,2219592,,0,0,0,0,0,0,2212824,945733632,,38793830400,,1992966144,,864321536,,72122368,,9289728,,,,,,,,,
5,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:16.0364217+00:00,3930.7605,measurement,request-count-10,10,10,10,0,0,5,15,948670464,1995591680,38793838592,104,21,2579912,,0,0,0,0,0,0,2572160,948641792,,38793838592,,1995309056,,866689024,,72208384,,9744384,,58.8796,73.1943,72.59,96.6875,101.7412,58.4121,67,false
6,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:19.6102179+00:00,7504.5562,measurement,request-count-50,50,50,50,0,0,5,55,950874112,1996939264,38793830400,104,21,3628488,,0,0,0,0,0,0,3617616,950849536,,38793830400,,1996722176,,868040704,,72339456,,10469376,,69.288,87.2147,84.0857,124.8206,149.4391,68.9716,67,false
7,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:24.0176561+00:00,11911.9943,measurement,request-count-100,100,100,100,0,0,5,105,954892288,2034307072,39095861248,104,21,4914704,,0,0,0,0,0,0,4900016,954880000,,39095861248,,2034089984,,871342080,,72880128,,10657792,,66.4612,86.7136,77.7036,128.2641,222.5651,66.1285,67,false
8,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:28.2783850+00:00,16172.7232,measurement,request-count-150,150,150,150,0,0,5,155,956297216,2018893824,39079079936,104,21,6208976,,0,0,0,0,0,0,6182608,956272640,,39079079936,,2018676736,,872726528,,72880128,,10665984,,74.4271,84.8098,74.4435,106.2447,249.4318,74.0604,67,false
9,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:32.4884406+00:00,20382.7795,measurement,request-count-200,200,200,200,0,0,5,205,957612032,2020204544,39079084032,104,21,7495024,,0,0,0,0,0,0,7464840,957587456,,39079084032,,2019987456,,874012672,,72880128,,10694656,,79.8704,82.627,81.3715,109.6702,129.7315,79.5686,67,false
10,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:36.5284110+00:00,24422.75,measurement,request-count-250,250,250,250,0,0,5,255,959406080,2021777408,39079075840,102,21,1011824,,633144,8016,1,1,0,0,8747096,959406080,,39079075840,,2021560320,,875720704,,72945664,,10739712,,70.3721,80.5261,77.5063,107.0171,122.3231,70.0105,67,false
11,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:40.8333054+00:00,28727.6439,measurement,request-count-300,300,300,300,0,0,5,305,959463424,2021777408,39079084032,104,21,2296424,,633144,8016,1,1,0,0,10027904,959463424,,39079084032,,2021560320,,875749376,,72945664,,10768384,,89.8714,84.4355,81.2254,106.2219,130.3606,89.542,67,false
12,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:44.6917937+00:00,32586.132,measurement,request-count-350,350,350,350,0,0,5,355,959463424,2021777408,39079084032,102,21,3589920,,633144,8016,1,1,0,0,11317608,959463424,,39079084032,,2021560320,,875749376,,72945664,,10768384,,75.3618,76.8314,73.9001,96.8644,109.7276,75.0142,67,false
13,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:48.9231364+00:00,36817.4746,measurement,request-count-400,400,400,400,0,0,5,405,959488000,2021822464,39079059456,102,20,4879312,,633144,8016,1,1,0,0,12602536,959467520,,39079059456,,2021539840,,875749376,,72945664,,10772480,,64.6425,82.7587,81.0298,115.6299,127.7747,64.3316,67,false
14,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:52.8236709+00:00,40718.0092,measurement,request-count-450,450,450,450,0,0,5,455,960876544,2039906304,39095865344,102,21,6165360,,633144,8016,1,1,0,0,13884768,960851968,,39095865344,,2039689216,,877117440,,72945664,,10788864,,74.9618,77.6351,75.0282,107.884,127.2454,74.6221,67,false
15,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:22:56.9760867+00:00,44870.4252,measurement,request-count-500,500,500,500,0,0,5,505,962162688,2024419328,39079063552,102,20,7451408,,633144,8016,1,1,0,0,15167000,962146304,,39079063552,,2024202240,,878391296,,72945664,,10809344,,82.5676,81.5069,77.2354,107.2545,136.488,82.2502,67,false
16,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:23:01.1273667+00:00,49021.7053,measurement,request-count-550,550,550,550,0,0,5,555,963461120,2025750528,39079075840,102,21,8745936,,633144,8016,1,1,0,0,16457736,963436544,,39079075840,,2025467904,,879677440,,72945664,,10813440,,70.3629,82.5177,82.2205,101.3105,117.1565,70.0421,67,false
17,phase3a-formal-20260925-v3-repro-arena-off-r3,full-pipeline,2026-09-25T02:23:04.7839264+00:00,52678.2649,measurement,request-count-600,600,600,600,0,0,5,605,964366336,2026598400,39079079936,102,21,1654256,,623832,624,2,2,1,0,17749584,964366336,,39079079936,,2026381312,,880603136,,72945664,,10817536,,76.8494,72.819,72.1827,99.1086,107.2142,76.5625,67,false
