request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,79.451,78.8374,false
1,76.3907,75.9448,false
2,109.1749,108.6191,false
3,79.8317,79.3879,false
4,86.2288,85.7932,false
5,104.6961,104.1655,false
6,78.4253,77.8419,false
7,82.8608,82.3535,false
8,118.0744,117.6605,false
9,83.1341,82.7475,false
10,72.1092,71.6936,false
11,66.4825,66.0747,false
12,98.9372,98.5435,false
13,70.9917,70.5889,false
14,80.3609,79.9157,false
15,94.448,93.9875,false
16,88.1489,87.5916,false
17,68.3491,67.9273,false
18,86.5058,86.0572,false
19,79.1681,78.6751,false
20,69.4682,69.0489,false
21,87.2106,86.7273,false
22,75.9232,75.3506,false
23,98.6684,98.2191,false
24,80.2548,79.8168,false
25,84.1539,83.6721,false
26,109.2853,108.795,false
27,79.6432,79.0887,false
28,124.9398,124.5022,false
29,60.7491,60.3314,false
30,114.2252,113.8299,false
31,87.307,86.8583,false
32,87.5584,87.1593,false
33,96.4247,95.9404,false
34,117.0704,116.4683,false
35,109.1939,108.7892,false
36,86.9078,86.4828,false
37,102.3503,101.9292,false
38,100.8705,100.3454,false
39,113.3502,112.8141,false
40,78.0393,77.6876,false
41,76.279,75.8723,false
42,70.6841,70.2585,false
43,87.4265,87.0298,false
44,83.2748,82.8812,false
45,81.092,80.668,false
46,112.5476,112.0917,false
47,90.3975,89.6764,false
48,82.3344,81.8965,false
49,66.1085,65.6734,false
50,94.266,91.1635,false
51,83.2443,82.7855,false
52,110.9385,107.5478,false
53,69.9238,69.3167,false
54,95.8663,93.6589,false
55,84.906,83.9685,false
56,125.0966,124.678,false
57,121.6849,121.3761,false
58,131.5974,131.2491,false
59,111.1287,110.8297,false
60,96.7668,96.3944,false
61,91.2668,90.9172,false
62,82.0066,81.6445,false
63,70.6557,70.2532,false
64,102.1507,101.6658,false
65,79.4812,79.1029,false
66,81.1422,80.7454,false
67,68.4121,68.0329,false
68,71.1133,70.7302,false
69,65.7023,65.3252,false
70,71.8675,71.5114,false
71,106.213,105.8341,false
72,88.4951,88.1124,false
73,79.5496,77.3274,false
74,90.9416,90.3988,false
75,98.6099,98.2183,false
76,72.9805,72.5882,false
77,152.006,151.5953,false
78,109.8289,109.4415,false
79,78.8784,78.452,false
80,91.1774,90.5953,false
81,69.4268,69.0558,false
82,68.4952,68.1248,false
83,100.439,100.0461,false
84,77.8249,77.2916,false
85,63.0801,62.542,false
86,87.6445,87.3098,false
87,87.7252,87.3539,false
88,75.4574,75.0561,false
89,74.4053,74.0243,false
90,83.5005,82.918,false
91,74.9487,74.5665,false
92,81.5487,81.1864,false
93,81.0572,80.683,false
94,78.0372,77.6425,false
95,93.6085,92.9469,false
96,186.4869,186.0879,false
97,85.9989,85.6827,false
98,74.2383,73.8197,false
99,85.5605,85.1924,false
100,109.2293,108.8889,false
101,84.7317,84.3487,false
102,124.1164,123.7691,false
103,58.0261,57.6429,false
104,62.7346,62.3697,false
105,76.2523,75.7449,false
106,69.7782,69.3875,false
107,85.1578,84.0128,false
108,112.2106,111.7724,false
109,69.9301,69.5389,false
110,60.5612,60.1737,false
111,72.483,71.9734,false
112,80.5601,80.1791,false
113,69.8892,69.5324,false
114,59.9263,59.5504,false
115,71.4971,71.0176,false
116,127.2617,126.8679,false
117,72.7507,72.3493,false
118,64.5574,64.2027,false
119,69.2967,68.9292,false
120,64.6458,64.2844,false
121,70.5285,70.1782,false
122,68.7165,68.2301,false
123,65.0403,64.5305,false
124,75.3637,74.7859,false
125,72.8424,72.4651,false
126,85.914,85.547,false
127,99.7066,99.1945,false
128,88.9754,88.5074,false
129,82.9062,82.5006,false
130,62.8323,62.3929,false
131,78.4177,77.9731,false
132,60.9311,60.574,false
133,65.5837,65.2393,false
134,81.7576,81.3234,false
135,71.7384,71.3503,false
136,70.9136,70.4544,false
137,74.4923,74.1154,false
138,62.2022,61.8249,false
139,89.7488,89.3522,false
140,93.9832,93.6232,false
141,82.008,80.9295,false
142,101.2098,100.8055,false
143,85.2174,84.6217,false
144,82.9547,82.5561,false
145,94.0294,93.6214,false
146,86.1552,85.3916,false
147,68.9202,68.57,false
148,70.6443,70.2533,false
149,82.3965,82.0183,false
150,98.5869,98.325,false
151,93.582,93.1608,false
152,109.8335,109.4918,false
153,81.6526,81.2898,false
154,88.5264,88.0489,false
155,75.2455,74.8681,false
156,60.1863,59.7179,false
157,89.9318,89.5335,false
158,102.5879,102.2091,false
159,56.8983,56.5838,false
160,57.6707,57.3303,false
161,72.1624,71.8528,false
162,80.836,80.4035,false
163,87.1997,86.8932,false
164,78.535,78.1818,false
165,136.6938,136.3824,false
