sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:33:58.8369768+00:00,0.3782,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60948480,184066048,36349263872,86,11,1303608,,0,0,0,0,0,0,1299504,60911616,,36349272064,,183861248,,9555968,,45539328,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:01.6447546+00:00,2808.1542,setup,t1-after-model-load,0,0,0,0,0,0,0,939134976,1992474624,38793904128,102,21,1883304,,0,0,0,0,0,0,1877520,939110400,,38793904128,,1992261632,,862928896,,67637248,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:01.8190393+00:00,2982.4391,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944930816,1992605696,38793891840,102,21,1981736,,0,0,0,0,0,0,1975640,944906240,,38793891840,,1992327168,,863698944,,72237056,,8970240,,,,,,,131.2668,67,false
3,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:02.2379159+00:00,3401.3154,warmup,warmup-complete,0,0,0,0,0,5,5,946102272,1993220096,38793908224,104,21,2145448,,0,0,0,0,0,0,2138848,946061312,,38793908224,,1993007104,,864346112,,72327168,,9388032,,,,,,,,,
4,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:02.2411868+00:00,3404.5859,measurement,request-count-0,0,0,0,0,0,5,5,946163712,1993285632,38793904128,104,21,2210984,,0,0,0,0,0,0,2204192,946147328,,38793904128,,1993072640,,864419840,,72327168,,9400320,,,,,,,,,
5,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:03.1489658+00:00,4312.3653,measurement,request-count-10,10,10,10,0,0,5,15,951427072,1997848576,38793908224,104,21,2571560,,0,0,0,0,0,0,2563760,951402496,,38793908224,,1997570048,,868925440,,72454144,,10022912,,83.1341,89.8267,82.9974,114.0696,117.2734,82.7475,67,false
6,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:06.6848180+00:00,7848.2179,measurement,request-count-50,50,50,50,0,0,5,55,953020416,1998897152,38793900032,104,21,3620136,,0,0,0,0,0,0,3609216,952995840,,38793900032,,1998618624,,869986304,,72519680,,10489856,,66.1085,87.9809,86.7067,114.3674,121.8707,65.6734,67,false
7,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:11.2206536+00:00,12384.0532,measurement,request-count-100,100,100,100,0,0,5,105,955240448,2034495488,39095930880,104,21,4906096,,0,0,0,0,0,0,4891360,955224064,,39095930880,,2034282496,,871518208,,73060352,,10645504,,85.5605,90.1476,84.2032,128.672,169.5912,85.1924,67,false
8,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:15.2469958+00:00,16410.3957,measurement,request-count-150,150,150,150,0,0,5,155,956682240,2035867648,39095934976,104,21,6200368,,0,0,0,0,0,0,6181816,956657664,,39095934976,,2035654656,,872931328,,73060352,,10665984,,82.3965,78.8345,73.6673,110.869,125.7205,82.0183,67,false
9,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:19.7574904+00:00,20920.8902,measurement,request-count-200,200,200,200,0,0,5,205,957992960,2037178368,39095934976,104,21,7486672,,0,0,0,0,0,0,7464304,957968384,,39095934976,,2036899840,,874221568,,73060352,,10686464,,116.1242,89.7355,88.5192,132.5616,145.6219,115.7454,67,false
10,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:23.8106220+00:00,24974.0217,measurement,request-count-250,250,250,250,0,0,5,255,959803392,2038751232,39095926784,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-3195872).,4822536,4200568,1,1,0,0,8735256,959803392,,39095926784,,2038538240,,875950080,,73125888,,10727424,,69.0705,79.5031,77.2714,106.2353,128.8557,68.7836,67,false
11,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:27.7629954+00:00,28926.3952,measurement,request-count-300,300,300,300,0,0,5,305,959832064,2038751232,39095934976,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-1906688).,4822536,4200568,1,1,0,0,10020648,959832064,,39095934976,,2038538240,,875954176,,73125888,,10752000,,84.031,78.6924,79.371,101.5557,110.7521,83.7704,67,false
12,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:31.9881121+00:00,33151.5117,measurement,request-count-350,350,350,350,0,0,5,355,959840256,2038751232,39095934976,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-617504).,4822536,4200568,1,1,0,0,11306040,959840256,,39095934976,,2038538240,,875954176,,73125888,,10760192,,75.745,84.0766,80.008,119.5311,130.9229,75.4392,67,false
13,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:35.8319770+00:00,36995.3768,measurement,request-count-400,400,400,400,0,0,5,405,959860736,2038751232,39095934976,102,21,670176,,4822536,4200568,1,1,0,0,12589952,959860736,,39095934976,,2038538240,,875966464,,73125888,,10768384,,81.7614,76.5754,76.3418,98.8793,116.1566,81.4584,67,false
14,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:39.9223665+00:00,41085.7661,measurement,request-count-450,450,450,450,0,0,5,455,959844352,2021974016,39079153664,102,21,1964616,,4822536,4200568,1,1,0,0,13880600,959844352,,39079153664,,2021761024,,875941888,,73125888,,10776576,,75.569,81.4567,78.233,109.8836,135.6717,75.3199,67,false
15,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:44.0353040+00:00,45198.7037,measurement,request-count-500,500,500,500,0,0,5,505,959860736,2021953536,39079129088,104,20,3249936,,4822536,4200568,1,1,0,0,15162128,959860736,,39079129088,,2021740544,,875941888,,73125888,,10792960,,72.765,81.89,81.4312,102.6129,110.8915,72.4175,67,false
16,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:48.4331674+00:00,49596.5674,measurement,request-count-550,550,550,550,0,0,5,555,959881216,2021974016,39079149568,102,21,4538176,,4822536,4200568,1,1,0,0,16446576,959881216,,39079149568,,2021761024,,875945984,,73125888,,10809344,,74.1151,86.5418,86.7039,111.9806,117.6394,73.8584,67,false
17,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:52.4354771+00:00,53598.8767,measurement,request-count-600,600,600,600,0,0,5,605,960471040,2022563840,39079145472,102,21,1638864,,619136,600,2,2,1,0,17739128,960471040,,39079145472,,2022350848,,876539904,,73125888,,10805248,,68.897,79.6896,76.059,109.4571,118.8099,68.5652,67,false
18,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:34:56.5913867+00:00,57754.7865,measurement,request-count-650,650,650,650,0,0,5,655,960471040,2022563840,39079145472,102,21,2932264,,619136,600,2,2,1,0,19028736,960471040,,39079145472,,2022350848,,876539904,,73125888,,10805248,,88.0354,81.3756,75.6962,114.5647,129.5127,87.6735,67,false
19,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:00.3977712+00:00,61561.1709,measurement,request-count-700,700,700,700,0,0,5,705,960471040,2022563840,39079145472,102,21,4217536,,619136,600,2,2,1,0,20310216,960471040,,39079145472,,2022350848,,876539904,,73125888,,10805248,,76.0498,75.7394,75.5348,96.6273,103.4528,75.65,67,false
20,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:04.3441784+00:00,65507.5782,measurement,request-count-750,750,750,750,0,0,5,755,960495616,2022563840,39079153664,102,21,5511520,,619136,600,2,2,1,0,21600432,960495616,,39079153664,,2022350848,,876539904,,73125888,,10829824,,69.4761,78.4177,76.0505,97.9818,112.4273,69.1242,67,false
21,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:08.5013049+00:00,69664.7045,measurement,request-count-800,800,800,800,0,0,5,805,960507904,2022543360,39079129088,104,21,6796200,,619136,600,2,2,1,0,22881320,960507904,,39079129088,,2022330368,,876539904,,73125888,,10842112,,70.2099,82.6834,80.8374,103.2692,127.6769,69.8204,67,false
22,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:12.4791714+00:00,73642.5711,measurement,request-count-850,850,850,850,0,0,5,855,960512000,2022563840,39079153664,102,21,8089712,,619136,600,2,2,1,0,24171040,960512000,,39079153664,,2022350848,,876539904,,73125888,,10846208,,100.6872,79.2615,76.4369,100.9647,120.3653,100.3516,67,false
23,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:16.4490429+00:00,77612.4424,measurement,request-count-900,900,900,900,0,0,5,905,960528384,2022563840,39079153664,102,21,993808,,622104,672,3,3,1,0,25450568,960528384,,39079153664,,2022350848,,876539904,,73125888,,10862592,,100.2393,77.809,75.8848,104.4416,121.1894,99.8906,67,false
24,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:20.6846728+00:00,81848.0724,measurement,request-count-950,950,950,950,0,0,5,955,960528384,2022563840,39079153664,102,21,2279144,,622104,672,3,3,1,0,26732112,960528384,,39079153664,,2022350848,,876539904,,73125888,,10862592,,72.0491,83.7414,77.6872,120.9773,153.5631,71.7054,67,false
25,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:25.0227688+00:00,86186.1687,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,960548864,2022563840,39079153664,104,21,3572536,,622104,672,3,3,1,0,28021712,960548864,,39079153664,,2022350848,,876556288,,73125888,,10866688,,75.7918,84.732,79.7172,114.7814,138.4082,75.4419,67,false
26,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:29.4668348+00:00,90630.2345,measurement,request-count-1050,1050,1050,1050,0,0,5,1055,960552960,2022543360,39079129088,102,20,4855408,,622104,672,3,3,1,0,29300816,960552960,,39079129088,,2022330368,,876556288,,73125888,,10870784,,63.4478,87.1086,86.1038,114.0595,141.6421,63.0977,67,false
27,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:33.4331953+00:00,94596.595,measurement,request-count-1100,1100,1100,1100,0,0,5,1105,960557056,2022563840,39079153664,102,21,6150680,,622104,672,3,3,1,0,30592296,960557056,,39079153664,,2022350848,,876556288,,73125888,,10874880,,79.1714,78.9839,75.9773,104.9446,115.0318,78.8264,67,false
28,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:37.4038382+00:00,98567.2384,measurement,request-count-1150,1150,1150,1150,0,0,5,1155,960557056,2022563840,39079153664,102,21,7436288,,622104,672,3,3,1,0,31874112,960557056,,39079153664,,2022350848,,876556288,,73125888,,10874880,,80.6292,79.0879,73.6594,107.4679,128.1501,80.2271,67,false
29,phase3a-formal-20260925-v3-repro-arena-on-r1,full-pipeline,2026-09-25T00:35:41.6858681+00:00,102849.2679,measurement,request-count-1200,1200,1200,1200,0,0,5,1205,960565248,2022543360,39079129088,102,20,8721768,,622104,672,3,3,1,0,33155824,960565248,,39079129088,,2022330368,,876556288,,73125888,,10883072,,76.4966,84.9954,81.2618,114.1939,124.5329,76.1491,67,false
