request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,65.1061,64.6456,false
1,66.9822,66.5068,false
2,81.0273,80.383,false
3,80.0388,79.5094,false
4,103.8459,103.3846,false
5,71.6124,71.1419,false
6,109.9011,109.404,false
7,72.778,70.5963,false
8,53.6908,53.2096,false
9,78.2224,77.6192,false
10,74.3429,73.4391,false
11,65.9578,65.5587,false
12,71.3301,70.8426,false
13,77.6035,75.8013,false
14,103.9674,103.2057,false
15,86.5892,86.1796,false
16,79.6012,78.8201,false
17,69.5201,69.0761,false
18,71.8496,71.4355,false
19,79.14,78.728,false
20,86.9771,86.5684,false
21,59.8832,59.459,false
22,75.7178,75.2715,false
23,96.1943,94.915,false
24,67.8543,67.3655,false
25,69.9397,69.4825,false
26,61.4861,61.0483,false
27,66.6322,66.2081,false
28,116.0279,115.3989,false
29,53.7481,53.2762,false
30,85.6277,85.2389,false
31,91.0007,90.6232,false
32,74.8379,74.4768,false
33,86.2106,85.8502,false
34,80.6719,80.2805,false
35,88.8799,88.4837,false
36,86.1383,85.2961,false
37,75.7222,75.4039,false
38,95.6911,95.3611,false
39,72.5601,72.0544,false
40,78.1182,77.7833,false
41,79.8617,79.3958,false
42,77.398,76.9688,false
43,71.042,70.3674,false
44,83.787,83.4086,false
45,97.9531,97.5765,false
46,99.311,99.0016,false
47,81.3003,80.9027,false
48,97.4376,96.9662,false
49,87.1041,86.721,false
50,92.5374,92.2031,false
51,98.5407,98.1622,false
52,90.888,90.5235,false
53,90.4047,90.0272,false
54,106.3216,105.9065,false
55,86.1437,85.7404,false
56,64.0472,63.6677,false
57,60.4744,60.0737,false
58,82.5376,82.1162,false
59,68.2903,67.9103,false
60,79.3968,79.0197,false
61,64.5711,64.1687,false
62,74.9946,74.6095,false
63,59.6674,59.3309,false
64,68.1691,67.8668,false
65,69.899,69.5013,false
66,76.6957,76.3746,false
67,137.8266,137.5397,false
68,106.9045,106.6158,false
69,75.8935,75.611,false
70,73.0311,72.7407,false
71,75.5323,75.2455,false
72,67.5039,67.2137,false
73,72.6419,72.3485,false
74,83.1736,82.7082,false
75,64.9162,64.5254,false
76,104.0343,103.7047,false
77,80.6291,80.3052,false
78,88.7285,88.4268,false
79,82.1559,81.8214,false
80,64.825,64.4699,false
81,63.6312,63.3696,false
82,121.5587,121.256,false
83,74.1734,73.8793,false
84,90.3909,90.1019,false
85,70.8652,70.5587,false
86,93.617,93.0905,false
87,74.0794,73.6149,false
88,74.2055,73.7061,false
89,89.8,89.4407,false
90,83.1715,82.2662,false
91,75.2854,74.8013,false
92,59.3009,58.9144,false
93,61.2672,60.8357,false
94,68.8957,68.5563,false
95,78.4354,78.0708,false
96,64.7256,64.3428,false
97,114.6296,114.3245,false
98,65.1275,64.7567,false
99,63.4508,63.1569,false
100,89.4914,89.197,false
101,80.5754,80.2578,false
102,57.3917,57.1026,false
103,68.3083,67.9869,false
104,92.7175,92.3726,false
105,68.2461,67.8982,false
106,71.4616,71.0498,false
107,72.6014,72.2574,false
108,76.3683,75.9817,false
109,60.9359,60.3737,false
110,59.6387,59.3034,false
111,57.0182,56.6619,false
112,95.3994,95.073,false
113,77.0847,76.7356,false
114,56.4209,56.0682,false
115,72.6464,72.3033,false
116,76.0934,75.7846,false
117,62.4509,62.0758,false
118,75.5424,75.2083,false
119,77.2391,76.8735,false
120,68.8075,68.4685,false
121,57.1275,56.767,false
122,81.5344,81.0497,false
123,90.3161,89.6711,false
124,68.2518,67.8306,false
125,70.2479,69.7876,false
126,62.8654,62.487,false
127,58.6468,58.2896,false
128,97.3027,96.9416,false
129,70.0328,69.6809,false
130,76.0365,75.657,false
131,77.4704,76.9437,false
132,83.3819,83.0318,false
133,70.417,70.0146,false
134,75.653,75.1998,false
135,111.1886,110.8407,false
136,96.6639,96.3773,false
137,67.7695,67.4369,false
138,68.072,67.7377,false
139,70.9497,70.5971,false
140,67.0777,66.775,false
141,80.7294,80.3333,false
142,67.8523,67.4994,false
143,69.2292,68.8788,false
144,81.4052,78.2504,false
145,110.6928,109.638,false
146,87.9825,87.4416,false
147,64.9677,64.6607,false
148,53.5295,53.2332,false
149,96.8314,96.4749,false
150,96.2493,95.9668,false
151,58.0405,57.7087,false
152,66.2194,65.8002,false
153,64.6144,64.2977,false
154,76.8669,76.5067,false
155,79.8175,79.5072,false
156,69.9711,69.6577,false
157,97.0344,96.6755,false
158,70.0476,69.6654,false
159,98.9947,98.6227,false
160,68.613,68.3108,false
161,75.3377,74.9972,false
162,62.0274,61.647,false
163,90.557,90.285,false
164,131.8773,131.5748,false
165,57.9907,57.595,false
166,88.3267,88.0549,false
167,102.1057,101.7765,false
168,70.1136,69.7758,false
169,79.3048,78.9915,false
170,67.1745,66.8708,false
171,76.0666,75.7363,false
172,70.8356,70.0341,false
173,66.2838,65.9502,false
174,63.6491,63.4044,false
175,67.9595,67.7004,false
176,69.8288,69.5587,false
177,73.4091,73.1254,false
178,80.4959,80.1537,false
179,71.7535,71.3606,false
180,66.7848,66.4575,false
181,102.0861,101.7889,false
182,48.3293,48.043,false
183,73.9659,73.7008,false
184,78.9066,78.5913,false
185,67.2515,66.9783,false
186,65.5591,65.23,false
187,106.2255,105.8871,false
188,66.3252,64.9657,false
189,67.7889,67.4778,false
190,79.8957,79.6178,false
191,67.4273,67.1363,false
192,67.2243,66.7902,false
193,74.8023,74.4693,false
194,125.9936,125.6356,false
195,68.1149,67.7553,false
196,100.7923,100.4615,false
197,150.7439,149.629,false
198,115.8949,115.5933,false
199,231.4653,231.1228,false
200,253.1566,252.7896,false
201,107.7302,107.4117,false
202,106.1775,105.7351,false
203,115.401,115.0808,false
204,266.3911,265.0146,false
205,175.9005,175.4987,false
206,165.7846,165.4482,false
207,59.1307,58.6246,false
208,136.3512,135.9996,false
209,88.1159,87.7252,false
210,177.4346,177.0565,false
211,114.3405,114.0323,false
212,106.693,106.2642,false
213,139.605,139.2703,false
214,169.3427,168.9787,false
215,357.6828,269.6916,false
216,107.6765,107.1609,false
217,136.3789,136.0449,false
218,366.1518,365.835,false
219,410.6789,410.2962,false
220,102.4114,102.0747,false
221,179.6097,179.1988,false
222,195.8502,195.2955,false
223,133.1643,132.7967,false
224,122.1328,121.7366,false
225,181.2282,180.6672,false
226,128.2843,127.9218,false
227,277.6515,277.1329,false
