sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:25.8275909+00:00,0.4084,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60854272,184201216,36349399040,86,11,1311896,,0,0,0,0,0,0,1307816,60817408,,36349407232,,184061952,,9572352,,45428736,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:28.5245016+00:00,2697.3173,setup,t1-after-model-load,0,0,0,0,0,0,0,939110400,1992486912,38793904128,102,21,1892664,,0,0,0,0,0,0,1886880,939085824,,38793904128,,1992269824,,862949376,,67592192,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:28.6652653+00:00,2838.0809,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944910336,1992617984,38793900032,102,21,1990840,,0,0,0,0,0,0,1984768,944881664,,38793900032,,1992335360,,863711232,,72192000,,8978432,,,,,,,108.8887,67,false
3,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:29.0172754+00:00,3190.091,warmup,warmup-complete,0,0,0,0,0,5,5,945926144,1993199616,38793912320,102,21,2154808,,0,0,0,0,0,0,2148232,945881088,,38793912320,,1992982528,,864333824,,72257536,,9289728,,,,,,,,,
4,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:29.0208125+00:00,3193.6276,measurement,request-count-0,0,0,0,0,0,5,5,945995776,1993265152,38793912320,102,21,2220344,,0,0,0,0,0,0,2213552,945979392,,38793912320,,1993048064,,864407552,,72257536,,9314304,,,,,,,,,
5,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:29.8130007+00:00,3985.816,measurement,request-count-10,10,10,10,0,0,5,15,949395456,1995939840,38793912320,104,21,2574792,,0,0,0,0,0,0,2567016,949374976,,38793912320,,1995657216,,867033088,,72409088,,9932800,,78.2223,78.3205,75.5002,107.1762,109.3561,77.6192,67,false
6,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:33.0603766+00:00,7233.1921,measurement,request-count-50,50,50,50,0,0,5,55,951050240,1996988416,38793908224,104,21,3629240,,0,0,0,0,0,0,3618368,951021568,,38793908224,,1996705792,,868089856,,72474624,,10457088,,87.1041,80.6253,79.3706,99.5438,111.3243,86.721,67,false
7,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:37.0744374+00:00,11247.253,measurement,request-count-100,100,100,100,0,0,5,105,955080704,2034368512,39095939072,104,21,4915400,,0,0,0,0,0,0,4900712,955056128,,39095939072,,2034151424,,871403520,,73015296,,10637312,,63.4508,79.9597,75.4088,111.1533,129.8553,63.1569,67,false
8,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:40.8421711+00:00,15014.987,measurement,request-count-150,150,150,150,0,0,5,155,956391424,2035679232,39095943168,104,21,6201448,,0,0,0,0,0,0,6182992,956375040,,39095943168,,2035462144,,872697856,,73015296,,10661888,,96.8314,75.0132,72.0314,97.0906,110.9456,96.4749,67,false
9,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:44.9943490+00:00,19167.1646,measurement,request-count-200,200,200,200,0,0,5,205,957804544,2020265984,39079161856,104,21,7495720,,0,0,0,0,0,0,7465560,957779968,,39079161856,,2020048896,,874082304,,73015296,,10682368,,231.4653,82.7428,72.5813,129.2296,191.9118,231.1228,67,false
10,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:54.1841834+00:00,28356.999,measurement,request-count-250,250,250,250,0,0,5,255,959643648,2038620160,39095934976,102,21,1003160,,632768,8024,1,1,0,0,8739264,959643648,,39095934976,,2038403072,,875831296,,73080832,,10731520,,161.6497,182.7192,146.5579,390.7529,487.458,161.1273,67,false
11,phase3a-formal-20260925-v3-repro-baseline-r3,full-pipeline,2026-09-25T01:48:59.1604731+00:00,33333.2886,measurement,request-count-300,300,300,300,0,0,5,305,959688704,2038628352,39095943168,102,21,2295208,,632768,8024,1,1,0,0,10027520,959688704,,39095943168,,2038411264,,875851776,,73080832,,10756096,,70.1737,99.1181,75.8994,184.9219,446.431,69.7178,67,false
