request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,64.5844,64.5844,false
1,76.1279,76.1279,false
2,68.5794,68.5794,false
3,75.568,75.568,false
4,107.2396,107.2396,false
5,84.1761,84.1761,false
6,64.1612,64.1612,false
7,71.0901,71.0901,false
8,65.2314,65.2314,false
9,70.9354,70.9354,false
10,57.9095,57.9095,false
11,71.4095,71.4095,false
12,73.6573,73.6573,false
13,81.4703,81.4703,false
14,65.3882,65.3882,false
15,66.7345,66.7345,false
16,89.1002,89.1002,false
17,64.159,64.159,false
18,75.5245,75.5245,false
19,76.7691,76.7691,false
20,62.8075,62.8075,false
21,63.9853,63.9853,false
22,76.1532,76.1532,false
23,70.9565,70.9565,false
24,69.6586,69.6586,false
25,76.5896,76.5896,false
26,62.332,62.332,false
27,93.7072,93.7072,false
28,84.0504,84.0504,false
29,67.4351,67.4351,false
30,78.5789,78.5789,false
31,77.0974,77.0974,false
32,73.0512,73.0512,false
33,113.264,113.264,false
34,69.6105,69.6105,false
35,70.43,70.43,false
36,83.4507,83.4507,false
37,67.8779,67.8779,false
38,63.1436,63.1436,false
39,69.0672,69.0672,false
40,93.5167,93.5167,false
41,121.2313,121.2313,false
42,54.9834,54.9834,false
43,70.803,70.803,false
44,83.6401,83.6401,false
45,80.4055,80.4055,false
46,74.4993,74.4993,false
47,69.4659,69.4659,false
48,80.284,80.284,false
49,116.9223,116.9223,false
50,81.453,81.453,false
51,65.0577,65.0577,false
52,101.7607,101.7607,false
53,124.891,124.891,false
54,101.8575,101.8575,false
55,111.4583,111.4583,false
56,104.797,104.797,false
57,65.7085,65.7085,false
58,76.7636,76.7636,false
59,62.2873,62.2873,false
60,121.3547,121.3547,false
61,51.513,51.513,false
62,66.352,66.352,false
63,60.7517,60.7517,false
64,62.3453,62.3453,false
65,63.4593,63.4593,false
66,81.1381,81.1381,false
67,94.1252,94.1252,false
68,73.3767,73.3767,false
69,72.8514,72.8514,false
70,81.4646,81.4646,false
71,78.3627,78.3627,false
72,82.5861,82.5861,false
73,66.5125,66.5125,false
74,89.8338,89.8338,false
75,82.7803,82.7803,false
76,70.0357,70.0357,false
77,72.4783,72.4783,false
78,70.8566,70.8566,false
79,83.4539,83.4539,false
80,72.0409,72.0409,false
81,79.3061,79.3061,false
82,78.1569,78.1569,false
83,74.7872,74.7872,false
84,73.8577,73.8577,false
85,74.0719,74.0719,false
86,65.94,65.94,false
87,80.2534,80.2534,false
88,83.3712,83.3712,false
89,83.6307,83.6307,false
90,76.0841,76.0841,false
91,84.2051,84.2051,false
92,81.4623,81.4623,false
93,79.584,79.584,false
94,56.2798,56.2798,false
95,64.5405,64.5405,false
96,92.2971,92.2971,false
97,88.5105,88.5105,false
98,68.9158,68.9158,false
99,68.0796,68.0796,false
100,67.2165,67.2165,false
101,63.0959,63.0959,false
