sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:54.9098759+00:00,0.3476,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60878848,184061952,36349259776,86,11,1319072,,0,0,0,0,0,0,1315064,60837888,,36349267968,,183922688,,9515008,,45506560,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:57.5918205+00:00,2682.2908,setup,t1-after-model-load,0,0,0,0,0,0,0,939499520,1992515584,38793871360,102,21,1918608,,0,0,0,0,0,0,1912824,939479040,,38793871360,,1992208384,,862949376,,67756032,,8773632,,,,,,,,,
2,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:57.6952051+00:00,2785.6751,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944893952,1992581120,38793871360,102,21,1992112,,0,0,0,0,0,0,1986088,944869376,,38793871360,,1992339456,,863686656,,72355840,,8826880,,,,,,,99.7341,67,false
3,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:57.9707901+00:00,3061.2601,warmup,warmup-complete,0,0,0,0,0,5,5,945348608,1992781824,38793875456,102,21,2065872,,0,0,0,0,0,0,2059632,945319936,,38793875456,,1992540160,,863887360,,72421376,,9011200,,,,,,,,,
4,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:57.9738746+00:00,3064.3448,measurement,request-count-0,0,0,0,0,0,5,5,945422336,1992847360,38793875456,102,21,2131408,,0,0,0,0,0,0,2124952,945397760,,38793875456,,1992605696,,863956992,,72421376,,9019392,,,,,,,,,
5,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:01:58.8053591+00:00,3895.8298,measurement,request-count-10,10,10,10,0,0,5,15,946180096,1993302016,38793875456,104,21,2254256,,0,0,0,0,0,0,2247512,946155520,,38793875456,,1993060352,,864411648,,72445952,,9297920,,94.2221,82.2529,81.9634,94.6652,94.9553,94.2221,67,false
6,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:02:01.9759259+00:00,7066.3962,measurement,request-count-50,50,50,50,0,0,5,55,947904512,1994612736,38793875456,104,21,2369136,,0,0,0,0,0,0,2362008,947884032,,38793875456,,1994305536,,865705984,,72511488,,9666560,,55.3738,77.2539,72.8561,119.0088,137.5361,55.3738,67,false
7,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:02:06.1452079+00:00,11235.6782,measurement,request-count-100,100,100,100,0,0,5,105,951730176,2031714304,39095906304,104,21,2491984,,0,0,0,0,0,0,2484448,951709696,,39095906304,,2031472640,,868827136,,73052160,,9830400,,63.6688,83.0484,82.2384,114.5598,124.9744,63.6688,67,false
8,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:02:10.0022293+00:00,15092.6997,measurement,request-count-150,150,150,150,0,0,5,155,951992320,2031906816,39095906304,104,21,2614832,,0,0,0,0,0,0,2606888,951967744,,39095906304,,2031665152,,869076992,,73052160,,9838592,,62.7825,76.7434,75.164,96.3234,105.7644,62.7825,67,false
9,phase3a-formal-20260925-v3-repro-run-only-r3,run-only,2026-09-25T02:02:13.8967516+00:00,18987.2219,measurement,request-count-200,200,200,200,0,0,5,205,952143872,2032037888,39095906304,104,21,2737680,,0,0,0,0,0,0,2729352,952115200,,39095906304,,2031796224,,869199872,,73052160,,9863168,,115.2598,77.6065,71.6641,110.4847,130.7554,115.2598,67,false
