request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,1672.4747,122.2846,false
1,1477.2003,116.1322,false
2,1591.8653,115.1765,false
3,1596.9508,132.4548,false
4,1584.7189,78.5214,false
5,1548.0853,75.5807,false
6,1624.3799,118.2557,false
7,1627.3389,127.4747,false
8,1611.7796,107.5822,false
9,1608.3423,78.5519,false
10,1610.3969,105.0809,false
11,1583.8821,95.1033,false
12,1557.0034,72.6405,false
13,1460.341,104.7995,false
14,1464.0661,96.3182,false
15,1434.7798,79.4383,false
16,1449.7133,92.3196,false
17,1444.5066,83.4998,false
18,1440.7897,81.565,false
19,1470.5833,95.5617,false
20,1475.6013,100.1277,false
21,1546.9733,174.6397,false
22,1411.9196,65.5174,false
23,1457.1882,115.1629,false
24,1450.0789,117.6704,false
25,1428.8452,89.3918,false
26,1425.1215,78.5148,false
27,1485.4372,136.7427,false
28,1436.0301,84.1967,false
29,1438.0007,90.5848,false
30,1422.8889,98.7207,false
31,1423.4502,95.8935,false
32,1461.7412,111.5298,false
33,1428.3353,76.7675,false
34,1440.5474,109.5481,false
35,1417.203,76.444,false
36,1407.7513,69.8958,false
37,1444.3829,102.6883,false
38,1448.5066,108.5882,false
39,1454.4716,87.4785,false
40,1467.1898,107.1825,false
41,1485.3438,118.564,false
42,1447.5188,84.7439,false
43,1423.1805,73.1819,false
44,1470.9379,118.1198,false
45,1471.6656,121.1654,false
46,1477.0926,72.7235,false
47,1465.6015,97.382,false
48,1495.4199,115.2701,false
49,1475.7212,88.5983,false
50,1531.5206,125.727,false
51,1480.0539,90.6403,false
52,1450.9093,101.3556,false
53,1440.2464,111.4889,false
54,1437.9395,118.7677,false
55,1402.777,64.7005,false
56,1430.0983,71.4191,false
57,1422.3751,75.9126,false
58,1438.7512,72.3483,false
59,1432.8202,106.8032,false
60,1452.8948,105.5128,false
61,1449.4504,101.8977,false
62,1479.5195,129.4881,false
63,1462.7491,84.1581,false
64,1461.5253,111.0593,false
65,1483.1708,119.2179,false
66,1452.6915,118.1866,false
67,1463.075,83.37,false
68,1510.7767,102.1169,false
69,1449.0385,72.1189,false
70,1508.0486,88.6523,false
71,1467.4515,89.111,false
72,1470.216,82.2554,false
73,1467.3057,100.9503,false
74,1459.1332,102.2016,false
75,1431.2836,87.2184,false
76,1481.252,105.4622,false
77,1458.9753,113.7689,false
78,1452.5353,109.7914,false
79,1495.6505,139.9891,false
80,1490.7876,88.6828,false
81,1549.767,125.7472,false
82,1443.2637,91.3033,false
83,1429.8394,84.2924,false
84,1494.1597,119.9346,false
85,1476.8621,117.351,false
86,1460.3998,97.5686,false
87,1490.3709,113.2852,false
88,1415.8632,71.9668,false
89,1414.8142,66.9985,false
90,1440.5554,85.2045,false
91,1483.4104,121.0232,false
92,1468.5833,99.1492,false
93,1479.571,95.1796,false
94,1480.467,132.5751,false
95,1466.2815,89.512,false
96,1500.6537,104.5894,false
97,1515.6421,120.3242,false
98,1487.8688,91.0206,false
99,1467.6911,78.354,false
