request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,447.0433,446.2896,false
1,461.4778,460.5709,false
2,461.6516,460.8664,false
3,407.3623,406.5667,false
4,484.1394,483.3655,false
5,491.0131,489.8971,false
6,408.441,407.7079,false
7,448.7927,448.097,false
8,484.2362,483.5973,false
9,455.7958,455.0494,false
10,586.3063,585.4024,false
11,485.5195,484.7741,false
12,395.1517,394.4153,false
13,478.4754,477.8241,false
14,456.2925,455.6231,false
15,415.3689,414.8355,false
16,457.8795,457.1501,false
17,484.6133,483.9585,false
18,430.9652,430.3064,false
19,461.7875,461.1148,false
20,451.2109,450.5316,false
21,460.311,459.7258,false
22,441.0111,440.3476,false
23,479.4763,478.9037,false
24,491.507,490.6676,false
25,477.5611,476.8024,false
26,465.4693,464.7872,false
27,465.4799,464.9539,false
28,409.9032,409.4205,false
29,426.8969,426.4408,false
30,462.1766,461.6967,false
31,465.7364,465.2324,false
32,406.7927,406.2152,false
33,396.7072,396.0834,false
34,418.7852,418.185,false
35,497.7024,497.0392,false
36,440.3425,439.7789,false
37,425.2673,424.3285,false
38,427.4769,426.8397,false
39,511.5313,510.8383,false
40,459.994,459.4021,false
41,433.9858,433.5074,false
42,399.3671,398.8703,false
43,446.4999,446.0117,false
44,441.0973,440.5652,false
45,467.6195,466.2321,false
46,389.968,389.3955,false
47,441.1267,440.6238,false
48,434.793,434.2899,false
49,481.0563,480.5059,false
50,472.6778,472.0187,false
51,413.503,412.6509,false
52,461.6184,460.9958,false
53,452.5105,451.6677,false
54,437.8517,437.1885,false
55,494.3633,493.7058,false
56,475.5129,474.7751,false
57,457.1163,456.6499,false
58,555.3111,554.6706,false
59,399.946,397.8262,false
60,430.2948,429.7519,false
61,438.0679,437.5106,false
62,448.5977,448.1118,false
63,451.0309,450.3835,false
64,466.2335,465.7602,false
65,429.0053,428.5277,false
66,370.0641,369.638,false
67,402.5194,402.0947,false
68,416.8639,416.4058,false
69,415.2125,414.6007,false
70,421.3646,420.7292,false
71,454.1834,453.4164,false
72,439.4146,438.9308,false
73,408.3114,407.722,false
74,431.9702,431.5433,false
75,417.9615,417.3497,false
76,387.1336,386.5345,false
77,467.9999,467.5415,false
78,437.6308,436.8528,false
79,420.0801,419.2647,false
80,436.7968,436.2512,false
81,463.2719,462.7695,false
82,552.6308,552.0935,false
83,403.6265,401.4418,false
84,390.3155,389.7742,false
85,464.2974,463.7219,false
86,427.8027,427.226,false
87,401.612,401.0468,false
88,428.9672,428.4043,false
89,410.5142,409.9531,false
90,406.4803,405.8403,false
91,384.309,383.7655,false
92,488.2761,487.6712,false
93,482.9926,482.2019,false
94,422.7149,422.1041,false
95,373.819,373.1118,false
96,451.1595,450.6163,false
97,476.1817,475.7707,false
98,430.2804,429.6481,false
99,380.2198,379.6585,false
100,436.045,435.5255,false
101,401.882,401.3215,false
102,413.6644,413.16,false
103,402.9582,402.1524,false
104,431.4065,430.6935,false
105,415.8296,415.1607,false
106,422.0044,421.5306,false
107,422.6443,422.1786,false
108,415.6334,415.1998,false
109,411.8235,411.2461,false
110,417.2822,416.6778,false
111,398.0747,397.2821,false
112,433.5356,433.1046,false
113,451.5206,451.0225,false
114,445.7526,445.1298,false
115,378.0227,377.4658,false
116,429.1822,428.5199,false
117,429.4775,428.5215,false
118,441.0043,440.2811,false
119,463.8881,463.3241,false
120,435.5478,434.6601,false
121,467.1572,463.8754,false
122,433.3329,432.8171,false
123,433.9831,433.4788,false
124,372.5865,372.0997,false
125,399.1787,398.6959,false
126,421.5192,420.8316,false
127,406.3187,405.9116,false
128,415.7907,415.3654,false
129,431.2404,430.8377,false
130,414.7495,414.3326,false
131,429.4335,428.8562,false
132,435.2856,434.6109,false
133,408.6317,408.2222,false
134,451.7279,451.3757,false
135,467.2,466.6847,false
136,444.5834,444.1366,false
137,442.5236,442.0193,false
138,422.908,422.4713,false
139,453.5787,453.1784,false
140,397.4034,396.9896,false
141,418.3931,417.5567,false
142,445.1593,444.5638,false
143,443.4957,442.9748,false
144,389.416,389.0103,false
145,529.1754,528.7537,false
146,505.9257,505.3158,false
147,446.3468,445.5027,false
148,478.1136,477.5874,false
149,434.7821,434.2533,false
150,413.2833,412.6881,false
151,517.6572,517.1437,false
152,545.0226,544.4854,false
153,413.1359,412.6433,false
154,381.5679,381.1705,false
155,433.4942,433.1015,false
156,385.6668,385.1299,false
157,436.3932,435.9895,false
158,461.6671,461.252,false
159,438.7779,438.3769,false
160,483.8038,483.3862,false
161,452.0184,451.615,false
162,456.9,456.4837,false
163,427.7135,427.3027,false
164,443.0273,442.6052,false
165,416.3359,412.9355,false
166,430.4217,430.0333,false
167,449.5785,449.1583,false
168,387.8622,387.4368,false
169,463.3998,462.8967,false
170,452.9846,452.5734,false
171,459.6122,459.0948,false
172,446.4441,445.9905,false
173,402.0816,401.5768,false
174,434.2592,433.7424,false
175,427.1828,426.7836,false
176,493.8501,493.4407,false
177,392.5867,392.056,false
178,453.4329,452.7997,false
179,432.0449,431.5424,false
180,485.6448,485.218,false
181,461.5309,461.033,false
182,392.3472,391.8788,false
183,428.5505,428.1218,false
184,433.699,433.2515,false
185,447.9719,447.5618,false
186,433.6988,433.2873,false
187,420.6474,420.2242,false
188,410.7065,410.3129,false
189,460.7388,460.3285,false
190,402.9644,401.9769,false
191,381.7758,381.2515,false
192,438.1081,437.3334,false
193,487.4159,486.741,false
194,458.6272,458.1154,false
195,438.6282,438.1057,false
196,500.463,499.9391,false
197,444.6993,444.1829,false
198,413.4812,412.8973,false
199,381.531,381.0448,false
200,408.3472,407.8951,false
201,478.5756,478.0252,false
202,454.5543,454.1477,false
203,422.7286,422.2046,false
204,404.0044,403.5811,false
205,441.9357,441.4691,false
206,487.4406,487.01,false
207,437.4709,436.9539,false
208,373.3979,372.6108,false
209,436.2812,435.7549,false
210,460.8807,460.4185,false
211,444.5227,443.9798,false
212,451.9815,451.2178,false
213,441.5043,440.9876,false
214,439.5678,439.0796,false
215,416.3924,415.8768,false
216,416.1601,415.6639,false
217,440.1583,439.4732,false
218,469.7167,468.9813,false
219,558.5992,558.1514,false
220,536.3159,535.8718,false
221,472.0714,471.3986,false
222,459.1335,458.6962,false
223,411.8482,411.402,false
224,486.2822,485.6677,false
225,464.6386,464.1298,false
226,464.493,463.7998,false
227,441.5951,441.074,false
228,388.0161,387.5738,false
229,414.0141,413.5322,false
230,435.097,434.6668,false
231,440.7455,440.3287,false
232,414.7723,414.3641,false
233,430.8628,430.4444,false
234,472.332,471.8492,false
235,451.9401,451.388,false
236,379.4206,379.0187,false
237,425.3106,424.8954,false
238,436.9474,436.4237,false
239,417.2706,416.8348,false
240,453.7066,453.1946,false
241,467.7525,467.2537,false
242,440.3537,439.7421,false
243,468.8861,468.461,false
244,454.7671,454.2488,false
245,391.2198,390.6911,false
246,412.5405,411.9718,false
247,468.8682,468.365,false
248,420.4543,419.9337,false
249,422.5395,422.0523,false
250,448.8117,448.3188,false
251,457.8359,457.3538,false
252,570.775,570.2496,false
253,454.5772,453.6796,false
254,444.0142,443.5296,false
255,403.7213,403.329,false
256,436.9276,436.4249,false
257,402.8041,402.2882,false
258,430.8971,430.1241,false
259,389.3325,388.5502,false
260,358.8975,358.2812,false
261,427.8381,427.308,false
262,371.8513,371.4313,false
263,408.7517,408.3284,false
264,423.0638,422.2204,false
265,425.1019,424.5832,false
266,383.0209,382.6098,false
267,429.4679,429.0694,false
268,424.4408,423.9902,false
269,472.1836,471.6789,false
270,411.7254,411.2134,false
271,419.5221,418.9854,false
272,430.8839,430.3785,false
273,409.7608,409.2926,false
274,383.2383,382.8303,false
275,421.012,420.3694,false
276,431.8429,431.3276,false
277,410.7045,410.1691,false
278,456.9433,456.4309,false
279,415.5621,415.0786,false
280,489.167,488.7057,false
281,430.8105,430.3396,false
282,425.2666,424.6078,false
283,416.3503,415.9669,false
284,481.4713,481.0215,false
285,412.7461,412.1042,false
286,456.1722,455.7443,false
287,464.3294,463.7522,false
288,448.3082,447.8797,false
289,394.649,394.1233,false
290,398.6165,398.1586,false
291,506.6898,504.337,false
292,441.2819,440.6624,false
293,439.9899,439.5523,false
294,469.7256,469.2305,false
295,399.9356,399.4412,false
296,421.8576,421.3232,false
297,493.0926,492.3577,false
298,458.1458,457.5927,false
299,457.2835,456.8709,false
300,465.7552,465.3212,false
301,445.9952,445.4668,false
302,436.6881,436.2762,false
303,447.2628,446.8279,false
304,428.6707,428.1848,false
305,398.6892,398.1552,false
306,431.8402,431.2574,false
307,464.381,463.7194,false
308,468.6452,468.1379,false
309,394.7303,394.3295,false
310,362.8169,362.3967,false
311,441.9929,441.5806,false
312,442.5681,442.0727,false
313,393.9086,393.3955,false
314,461.0882,460.6672,false
315,426.3318,425.9005,false
316,405.4734,405.036,false
317,503.4115,502.9939,false
318,443.7479,443.3032,false
319,446.5246,446.0166,false
320,427.8019,427.2462,false
321,433.8609,433.4025,false
322,361.1494,360.63,false
323,478.7528,478.3221,false
324,436.9036,436.4313,false
325,425.3555,424.4958,false
326,436.0843,435.5263,false
327,439.1893,438.7407,false
328,466.7501,466.2023,false
329,458.9045,458.4014,false
330,429.9163,429.4073,false
331,377.1182,376.4616,false
332,422.2324,421.5327,false
333,401.0862,400.5902,false
334,462.3841,461.8477,false
335,431.2197,430.7324,false
336,439.2361,438.7299,false
337,399.059,398.6445,false
338,422.3421,421.9292,false
339,394.8955,394.3501,false
340,505.5243,505.0513,false
341,473.6369,473.0024,false
342,458.5669,458.0627,false
343,432.7838,432.2701,false
344,416.0407,415.5345,false
345,420.2535,419.7383,false
346,442.5554,441.742,false
347,463.9187,463.5157,false
348,383.2998,382.7889,false
349,408.7209,408.3104,false
350,425.7811,425.2546,false
351,425.8718,425.3106,false
352,391.405,390.9728,false
353,420.4764,420.0644,false
354,442.6711,442.2715,false
355,444.3276,443.9151,false
356,401.789,401.3827,false
357,422.032,421.528,false
358,477.2219,476.6051,false
359,406.9131,406.4852,false
360,387.957,387.5234,false
361,492.1759,491.767,false
362,459.9666,459.5716,false
363,474.845,474.3876,false
364,438.1409,437.7158,false
365,402.1087,401.6786,false
366,456.9722,456.3998,false
367,476.5144,475.8791,false
368,459.1813,458.7635,false
369,471.5098,471.0996,false
370,429.8827,429.4327,false
371,500.9817,497.4846,false
372,422.9096,422.2947,false
373,488.6232,488.2009,false
374,395.5383,395.1004,false
375,448.0084,447.31,false
376,389.6917,389.2363,false
377,423.3066,422.8704,false
378,412.9185,411.3946,false
379,368.7593,368.3443,false
380,465.8681,465.4608,false
381,501.6691,501.1339,false
382,478.543,477.7127,false
383,465.7573,464.9938,false
384,392.5935,391.9498,false
385,453.5547,453.0538,false
386,424.2061,423.6652,false
387,455.6455,455.1782,false
388,523.4555,523.017,false
389,388.496,387.9436,false
390,439.8671,439.3693,false
391,440.3494,439.8578,false
392,447.7374,447.2087,false
393,471.5481,470.9924,false
394,403.4503,402.9452,false
395,465.0079,464.4737,false
396,443.3123,442.7216,false
397,450.0236,449.5255,false
398,409.304,408.5176,false
399,510.2765,509.7986,false
400,438.5527,438.0377,false
401,401.7899,401.2985,false
402,456.2747,455.7802,false
403,365.1527,364.6443,false
404,409.0853,408.5914,false
405,455.4179,454.9119,false
406,367.5279,366.9804,false
407,432.6233,431.9737,false
408,435.314,434.7669,false
409,453.979,453.5162,false
410,449.6376,449.1988,false
411,471.8161,471.2,false
412,428.7295,428.0732,false
413,393.9422,393.3293,false
414,460.7018,460.2663,false
415,406.1295,405.725,false
416,439.7792,439.3665,false
417,414.4351,414.0082,false
418,433.4403,433.0075,false
419,439.9505,439.513,false
420,479.6699,479.2454,false
421,401.8645,401.4551,false
422,455.8982,455.4376,false
423,392.1729,391.7664,false
424,441.8668,441.063,false
425,457.8806,457.3556,false
426,470.7518,470.2152,false
427,438.8515,438.4138,false
428,449.1977,448.7852,false
429,423.4646,423.0054,false
430,568.2052,567.767,false
431,451.5698,451.0623,false
432,465.0516,464.3024,false
433,429.7207,429.1262,false
434,392.4283,391.8668,false
435,484.0683,483.5547,false
436,434.1402,433.4227,false
437,521.375,520.7898,false
438,463.6339,463.1244,false
439,435.2471,434.7234,false
440,421.1153,420.621,false
441,434.0231,433.4674,false
442,436.5919,436.1412,false
443,478.8689,478.406,false
444,405.9826,405.5113,false
445,411.3469,410.9058,false
446,444.7734,444.3442,false
447,373.2454,372.8246,false
448,413.7221,413.3002,false
449,456.2856,455.8769,false
450,501.9482,501.4747,false
451,502.5235,502.0029,false
452,479.3394,478.5507,false
453,427.7958,427.2533,false
454,485.5911,485.0475,false
455,403.5084,402.9961,false
456,483.3259,482.8196,false
457,473.4885,472.8183,false
458,431.5258,431.007,false
459,434.9317,432.586,false
460,443.0532,442.5994,false
461,457.7104,457.1903,false
462,383.3717,382.8078,false
463,423.3179,422.9066,false
464,431.7969,431.1989,false
465,449.9241,449.301,false
466,386.4833,385.9674,false
467,433.1645,432.5058,false
468,434.7147,434.1556,false
469,455.4738,455.0194,false
470,448.0333,447.1223,false
471,411.3965,410.9596,false
472,445.2739,444.8133,false
473,441.905,441.4701,false
474,431.3892,430.9184,false
475,397.1441,396.7425,false
476,454.756,454.3278,false
477,453.1984,452.55,false
478,436.4479,436.0187,false
479,406.0057,405.4488,false
480,491.1943,490.6648,false
481,452.5574,452.0358,false
482,434.5148,433.9982,false
483,499.2774,498.5805,false
484,420.6863,420.1832,false
485,437.6821,437.1614,false
486,437.9968,437.1685,false
487,434.1464,433.4441,false
488,411.628,411.0422,false
489,433.0312,432.6203,false
490,434.5776,434.1621,false
491,415.3874,414.9014,false
492,414.5158,414.003,false
493,425.74,425.0267,false
494,438.099,437.5921,false
495,403.374,402.8754,false
496,498.9961,498.403,false
497,394.6082,394.0562,false
498,463.3133,462.7654,false
499,473.7454,473.0228,false
500,496.1433,495.6937,false
501,541.2712,540.7924,false
502,429.9132,429.381,false
503,381.0627,380.6185,false
504,395.4491,395.0096,false
505,454.2542,453.7704,false
506,475.1466,474.7084,false
507,440.9647,439.9616,false
508,451.1676,450.7143,false
509,439.4645,438.8612,false
510,449.7165,449.2015,false
511,408.3311,407.8112,false
512,393.9052,393.1581,false
513,412.7609,412.2455,false
514,360.6959,360.1452,false
515,452.2381,451.714,false
516,418.7024,418.2871,false
517,486.2188,485.7084,false
518,438.9594,438.5419,false
519,378.9948,378.5784,false
520,419.9309,419.287,false
521,399.9477,399.46,false
522,429.0492,428.6178,false
523,396.6202,396.1861,false
524,489.0909,488.6614,false
525,403.3953,403.0023,false
526,368.588,367.8409,false
527,438.527,437.8617,false
528,434.3435,433.8875,false
529,422.9946,422.4231,false
530,465.4027,464.5735,false
531,423.7949,423.3851,false
532,443.3708,442.9548,false
533,458.475,458.0048,false
534,436.7912,436.3935,false
