sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:21.1146735+00:00,0.4074,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,61038592,184066048,36483481600,86,11,1311848,,0,0,0,0,0,0,1307792,60997632,,36483489792,,183926784,,9568256,,45613056,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:23.9933171+00:00,2879.049,setup,t1-after-model-load,0,0,0,0,0,0,0,939204608,1992507392,38928150528,102,21,1892504,,0,0,0,0,0,0,1886720,939180032,,38928150528,,1992261632,,862969856,,67670016,,8540160,,,,,,,,,
2,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:24.5273260+00:00,3413.0578,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945889280,1993072640,38928142336,102,21,2015352,,0,0,0,0,0,0,2009208,945864704,,38928142336,,1992826880,,864198656,,72400896,,9265152,,,,,,,487.7565,445,false
3,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:26.2913060+00:00,5177.0375,warmup,warmup-complete,0,0,0,0,0,5,5,948961280,1995468800,38928158720,104,21,2269272,,0,0,0,0,0,0,2262360,948944896,,38928158720,,1995223040,,866619392,,72617984,,9707520,,,,,,,,,
4,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:26.2939620+00:00,5179.6933,measurement,request-count-0,0,0,0,0,0,5,5,949035008,1995534336,38928158720,104,21,2343032,,0,0,0,0,0,0,2335880,949010432,,38928158720,,1995288576,,866684928,,72617984,,9707520,,,,,,,,,
5,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:30.8555863+00:00,9741.3181,measurement,request-count-10,10,10,10,0,0,5,15,951750656,1997955072,38928162816,104,21,2900216,,0,0,0,0,0,0,2891408,951726080,,38928162816,,1997643776,,869076992,,72617984,,10031104,,455.7958,454.9953,458.6368,487.9634,490.4031,455.0494,445,false
6,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:37:49.0012602+00:00,27886.9925,measurement,request-count-50,50,50,50,0,0,5,55,956870656,2035539968,39230398464,104,21,4898832,,0,0,0,0,0,0,4884144,956846080,,39230398464,,2035294208,,872824832,,73535488,,10485760,,481.0563,451.7303,453.7517,498.3938,557.144,480.5059,445,false
7,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:38:10.8716768+00:00,49757.4088,measurement,request-count-100,100,100,100,0,0,5,105,959787008,2021548032,39213625344,104,21,7372752,,0,0,0,0,0,0,7342880,959770624,,39213625344,,2021302272,,875597824,,73535488,,10637312,,380.2198,437.0123,431.1325,491.624,553.9977,379.6585,445,false
8,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:38:32.4273771+00:00,71313.1092,measurement,request-count-150,150,150,150,0,0,5,155,961695744,2023186432,39213621248,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-2148728).,4793064,4198528,1,1,0,0,9806568,961695744,,39213621248,,2022940672,,877404160,,73601024,,10690560,,434.7821,430.7424,430.3589,473.2024,517.783,434.2533,445,false
9,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:38:54.4011977+00:00,93286.9295,measurement,request-count-200,200,200,200,0,0,5,205,962695168,2024132608,39213604864,102,20,322616,,4793064,4198528,1,1,0,0,12270688,962695168,,39213604864,,2023886848,,878366720,,73601024,,10727424,,381.531,439.1087,437.2506,497.4871,531.6135,381.0448,445,false
10,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:39:16.5473407+00:00,115433.0727,measurement,request-count-250,250,250,250,0,0,5,255,962711552,2024153088,39213629440,102,21,2796080,,4793064,4198528,1,1,0,0,14736952,962711552,,39213629440,,2023907328,,878379008,,73601024,,10731520,,422.5395,442.5683,440.5496,486.9193,547.6803,422.0523,445,false
11,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:39:38.2336775+00:00,137119.41,measurement,request-count-300,300,300,300,0,0,5,305,963264512,2024742912,39213621248,102,21,1091736,,775136,181000,2,2,1,0,17218872,963264512,,39213621248,,2024497152,,878923776,,73601024,,10739712,,457.2835,433.2279,428.653,491.326,539.3732,456.8709,445,false
12,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:39:59.9158948+00:00,158801.6269,measurement,request-count-350,350,350,350,0,0,5,355,963276800,2024742912,39213621248,102,21,3559632,,775136,181000,2,2,1,0,19679544,963276800,,39213621248,,2024497152,,878927872,,73601024,,10747904,,408.7208,433.2012,434.9726,476.4506,504.489,408.3104,445,false
13,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:40:22.0242235+00:00,180909.9557,measurement,request-count-400,400,400,400,0,0,5,405,963289088,2024742912,39213625344,104,21,6038472,,775136,181000,2,2,1,0,22151136,963289088,,39213625344,,2024497152,,878927872,,73601024,,10760192,,510.2765,441.7829,442.9917,501.3597,516.9977,509.7986,445,false
14,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:40:43.9273127+00:00,202813.0447,measurement,request-count-450,450,450,450,0,0,5,455,963313664,2024742912,39213629440,104,21,8514008,,775136,181000,2,2,1,0,24619424,963313664,,39213629440,,2024497152,,878940160,,73601024,,10772480,,456.2856,437.7458,437.5723,482.089,545.2584,455.8769,445,false
15,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:41:06.0113541+00:00,224897.086,measurement,request-count-500,500,500,500,0,0,5,505,963313664,2023919616,39212806144,102,21,2606632,,598600,10336,3,3,2,1,27093896,963313664,,39212806144,,2023673856,,878923776,,73601024,,10788864,,473.7454,441.2722,435.6898,499.1508,502.2416,473.0228,445,false
16,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:41:27.5030796+00:00,246388.8118,measurement,request-count-550,550,550,550,0,0,5,555,963330048,2023919616,39212802048,102,21,5077992,,598600,10336,3,3,2,1,29558008,963330048,,39212802048,,2023673856,,878923776,,73601024,,10805248,,439.8003,428.3174,426.422,487.7984,519.1585,439.3389,445,false
17,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:41:50.1582474+00:00,269043.9794,measurement,request-count-600,600,600,600,0,0,5,605,963383296,2023919616,39212802048,104,21,7557424,,598600,10336,3,3,2,1,32030192,963383296,,39212802048,,2023673856,,878977024,,73601024,,10805248,,428.8269,452.5787,440.4199,552.9395,567.7452,428.4067,445,false
18,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:42:11.8933449+00:00,290779.0768,measurement,request-count-650,650,650,650,0,0,5,655,963379200,2023919616,39212802048,102,21,1651488,,606288,10456,4,4,2,1,34492432,963379200,,39212802048,,2023673856,,878972928,,73601024,,10805248,,382.6977,433.127,432.059,486.5586,500.7078,382.2739,445,false
19,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:42:33.7541201+00:00,312639.852,measurement,request-count-700,700,700,700,0,0,5,705,963387392,2023919616,39212802048,102,21,4119384,,606288,10456,4,4,2,1,36953104,963387392,,39212777472,,2023653376,,878981120,,73601024,,10805248,,468.1696,436.8459,433.2136,483.5803,495.2719,467.7349,445,false
20,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:42:55.3008380+00:00,334186.5703,measurement,request-count-750,750,750,750,0,0,5,755,963416064,2023919616,39212806144,102,21,6596064,,606288,10456,4,4,2,1,39422560,963416064,,39212806144,,2023673856,,878985216,,73601024,,10829824,,404.5793,430.4789,423.689,493.2403,562.1964,404.025,445,false
21,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:43:17.3182751+00:00,356204.007,measurement,request-count-800,800,800,800,0,0,5,805,963440640,2023899136,39212781568,102,21,698416,,617528,10600,5,5,2,1,41893080,963440640,,39212781568,,2023653376,,878985216,,73601024,,10854400,,428.6879,439.0212,434.3257,477.2911,497.9348,427.8648,445,false
22,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:43:38.9531729+00:00,377838.9057,measurement,request-count-850,850,850,850,0,0,5,855,963440640,2023919616,39212806144,102,21,3174072,,617528,10600,5,5,2,1,44361488,963440640,,39212806144,,2023673856,,878985216,,73601024,,10854400,,421.1339,432.3177,430.474,484.3347,495.3413,420.7103,445,false
23,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:44:00.9111593+00:00,399796.8913,measurement,request-count-900,900,900,900,0,0,5,905,963448832,2023919616,39212806144,102,21,5653512,,617528,10600,5,5,2,1,46833680,963448832,,39212806144,,2023673856,,878985216,,73601024,,10862592,,490.6963,438.8024,439.1945,486.952,495.2123,490.2071,445,false
24,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:44:22.8214732+00:00,421707.2052,measurement,request-count-950,950,950,950,0,0,5,955,963448832,2023919616,39212806144,102,21,8121424,,617528,10600,5,5,2,1,49294368,963448832,,39212806144,,2023673856,,878985216,,73601024,,10862592,,433.6972,437.6794,438.6892,504.081,531.3662,433.1497,445,false
25,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:44:44.6416764+00:00,443527.4084,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,963452928,2023919616,39212806144,102,21,2233136,,631584,10744,6,6,2,1,51770504,963452928,,39212806144,,2023673856,,878985216,,73601024,,10866688,,436.1524,436.0063,430.769,505.9633,523.972,435.7391,445,false
26,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:44:44.7163066+00:00,443602.0388,idle,idle-0-seconds,1000,1000,1000,0,0,5,1005,963469312,2023919616,39212797952,102,21,2316848,,631584,10744,6,6,2,1,51853928,963469312,,39212797952,,2023673856,,878985216,,73601024,,10883072,,,,,,,,,
27,phase3a-formal-20260925-v3-shape-long-q1,full-pipeline,2026-09-24T22:44:44.8505363+00:00,443736.2689,lifecycle,post-dispose,1000,1000,1000,0,0,5,1005,517959680,661344256,37850189824,102,12,2369464,,631584,10744,6,6,2,1,51906376,517959680,,37850189824,,661098496,,436793344,,70275072,,10891264,,,,,,,,,
