request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,112.9167,112.3847,false
1,123.1596,122.6091,false
2,165.6405,165.08,false
3,201.6232,200.845,false
4,222.3656,221.2339,false
5,146.7228,143.9558,false
6,161.2199,160.5945,false
7,175.7765,175.2931,false
8,145.9991,145.5365,false
9,169.2967,168.8294,false
10,165.7861,162.6706,false
11,180.2206,179.6897,false
12,135.08,134.4956,false
13,153.2348,152.6887,false
14,132.3811,131.7311,false
15,141.9656,141.58,false
16,117.6191,117.1931,false
17,136.9656,136.5407,false
18,137.621,137.1975,false
19,133.4764,133.0196,false
20,117.6509,117.1252,false
21,143.2952,142.8003,false
22,129.4655,128.8507,false
23,132.9518,132.5265,false
24,124.842,124.299,false
25,161.4964,160.9825,false
26,175.4462,174.9397,false
27,121.884,121.2829,false
28,123.2688,122.4682,false
29,134.0658,133.5495,false
30,124.3805,123.8007,false
31,131.1995,130.5378,false
32,145.1311,144.7362,false
33,131.7431,131.2779,false
34,148.3404,147.8766,false
35,137.7006,137.0894,false
36,124.2661,123.8494,false
37,110.1791,109.6604,false
38,187.0268,186.5978,false
39,118.3613,117.8887,false
40,138.0053,137.5523,false
41,143.7832,143.3511,false
42,161.5586,161.0073,false
43,142.5465,142.0813,false
44,122.0772,119.3566,false
45,151.369,150.8416,false
46,135.4406,134.9659,false
47,153.3954,152.9544,false
48,133.4969,133.0912,false
49,151.1879,150.7508,false
50,169.6201,169.2178,false
51,161.4959,161.1115,false
52,119.8138,119.4377,false
53,137.2401,136.752,false
54,150.2319,149.8396,false
55,125.5624,125.2125,false
56,153.9662,153.5923,false
57,145.8297,145.4953,false
58,166.5868,166.1629,false
59,128.3711,127.8588,false
60,153.2602,152.822,false
61,170.4359,169.8764,false
62,116.0036,115.4775,false
63,123.3389,122.9378,false
64,114.782,114.3666,false
65,119.1978,118.8033,false
66,147.7506,147.3547,false
67,131.4834,131.0558,false
68,141.4817,141.0823,false
69,132.6343,132.1792,false
70,155.7461,155.3188,false
71,144.0212,143.5768,false
72,144.658,144.2253,false
73,162.6955,162.2646,false
74,152.732,152.2711,false
75,152.2342,151.5385,false
76,146.7697,146.3354,false
77,156.6176,156.0425,false
78,145.6429,145.2436,false
79,152.3044,151.8867,false
80,140.8835,140.5381,false
81,193.2107,192.7605,false
82,122.0972,121.7825,false
83,153.2502,152.8464,false
84,143.9812,143.6353,false
85,224.6594,224.3081,false
86,137.1772,136.8191,false
87,149.2226,148.8961,false
88,128.1057,127.7402,false
89,131.0081,130.6768,false
90,137.6639,137.2528,false
91,146.3361,145.9557,false
92,206.0989,205.7092,false
93,144.1717,143.7939,false
94,126.357,125.9066,false
95,132.9902,132.5901,false
96,125.1305,121.2741,false
97,147.0979,146.5112,false
98,102.4928,102.096,false
99,108.9285,108.5724,false
100,185.9734,185.5945,false
101,175.605,175.2118,false
102,129.9422,129.3753,false
103,201.5733,201.0903,false
104,124.1257,123.6843,false
105,112.3343,111.9504,false
106,116.2655,115.9529,false
107,110.1784,109.805,false
108,174.5777,174.225,false
109,132.3094,131.9386,false
110,122.0019,121.6413,false
111,129.3554,129.0233,false
112,141.4077,141.0806,false
113,114.5377,114.179,false
114,118.9774,118.6204,false
115,105.2407,104.859,false
116,144.3247,143.9641,false
117,108.4177,108.0348,false
118,114.7858,114.4245,false
119,117.8374,116.3797,false
120,132.409,132.0379,false
121,175.5923,175.2354,false
122,147.1525,146.7957,false
123,132.462,132.0975,false
124,131.2684,130.8326,false
125,151.003,150.6428,false
126,129.6932,129.2598,false
127,138.3092,137.1573,false
128,150.5215,150.0321,false
129,139.3412,138.8151,false
130,146.3732,145.937,false
131,138.8637,138.4836,false
132,218.5527,218.1245,false
133,114.081,113.7294,false
134,153.6876,153.3412,false
135,110.9363,110.5773,false
136,133.765,133.4012,false
137,137.0105,136.6292,false
138,136.2457,135.8409,false
139,125.7785,125.4065,false
140,111.4048,111.0254,false
141,130.3612,129.9694,false
142,125.0437,124.6165,false
143,110.072,109.7281,false
144,122.6337,122.253,false
145,113.4522,113.1077,false
146,143.5503,143.1312,false
147,120.6795,120.2428,false
148,126.337,125.8936,false
149,112.0787,111.7416,false
150,162.6523,162.2212,false
151,144.0929,143.668,false
152,126.0302,125.4693,false
153,114.2082,113.7723,false
154,153.8076,153.3979,false
155,125.8912,125.4306,false
156,105.4162,105.0037,false
157,118.464,117.975,false
158,102.8425,102.2907,false
159,152.3771,151.884,false
160,159.025,158.6409,false
161,143.3265,142.9453,false
162,138.5128,138.1014,false
163,154.8865,154.5653,false
164,123.3067,122.9849,false
165,121.4733,121.141,false
166,125.2386,124.9238,false
167,125.9246,125.5821,false
168,151.5512,151.2477,false
169,138.0522,137.6591,false
170,115.0327,114.6268,false
171,128.7842,128.4706,false
172,108.3797,108.0475,false
173,113.6053,113.275,false
174,113.4006,113.077,false
175,122.9949,122.6606,false
176,162.744,162.4144,false
177,135.325,135.0088,false
178,121.3427,121.0241,false
179,154.712,154.3083,false
180,189.2145,188.8866,false
181,178.081,177.5814,false
182,154.1932,151.3319,false
183,186.4294,185.7559,false
184,156.5335,156.192,false
185,116.1295,115.8169,false
186,107.4497,107.0913,false
187,148.3238,147.0051,false
188,129.8094,129.4819,false
189,151.1195,150.7869,false
190,126.4583,126.1496,false
191,112.0082,111.6825,false
192,152.0795,151.6614,false
193,105.7449,105.3655,false
194,110.5868,109.4587,false
195,131.7083,129.4203,false
196,122.0452,121.5113,false
197,137.005,136.7287,false
198,152.8035,152.4264,false
199,136.3184,135.9645,false
200,147.9312,145.2986,false
201,127.0252,126.5089,false
202,158.4928,158.1745,false
203,133.497,133.0189,false
204,155.522,155.2097,false
205,116.0673,115.78,false
206,136.9595,136.6448,false
207,157.8798,157.5853,false
208,178.2496,177.9466,false
209,145.8181,145.4079,false
210,141.7822,141.3629,false
211,160.6265,160.2927,false
212,180.1022,179.7738,false
213,149.5362,149.2504,false
214,155.3001,155.0038,false
215,192.569,192.2471,false
216,153.1219,152.7743,false
217,121.5719,121.2429,false
218,150.9091,150.5662,false
219,224.7939,224.4106,false
220,222.1259,220.458,false
221,103.521,103.1899,false
222,140.8048,140.4219,false
223,123.9548,123.5728,false
224,121.2803,120.91,false
225,132.1974,131.843,false
226,149.6276,149.344,false
227,192.1315,191.7977,false
228,113.5612,113.167,false
229,98.6764,98.2451,false
230,141.6643,141.263,false
231,118.4735,118.1565,false
232,141.4722,141.148,false
233,124.0346,123.7086,false
234,135.503,134.2696,false
235,156.1515,155.8591,false
236,104.9607,104.66,false
237,111.5168,111.2138,false
238,116.9325,116.6458,false
239,152.5598,152.2342,false
240,131.6257,131.3156,false
241,132.3652,132.0243,false
242,164.6155,164.2785,false
243,174.6851,174.391,false
244,128.7458,128.4425,false
245,158.6118,158.3264,false
246,161.917,161.6241,false
247,179.6656,179.353,false
248,192.6312,192.092,false
249,182.7894,182.3805,false
250,139.6583,139.3226,false
251,166.5241,165.826,false
252,111.4884,111.0513,false
253,163.7416,163.3527,false
254,116.7887,116.2282,false
255,115.1879,114.8212,false
256,133.9518,133.5984,false
257,116.8297,116.4181,false
258,181.2896,180.9344,false
259,134.6591,133.6737,false
260,126.4485,125.9498,false
261,195.9374,195.5685,false
262,115.5039,115.2258,false
263,140.5831,140.2756,false
264,135.5963,135.3169,false
265,131.5711,131.2843,false
266,137.7423,137.4498,false
267,154.2231,153.9199,false
268,148.6442,148.3587,false
269,159.8534,159.5705,false
270,146.1094,145.8023,false
271,130.2405,129.9678,false
272,110.9021,110.6229,false
273,131.9223,131.562,false
274,148.2522,147.9639,false
275,146.6615,146.3882,false
276,129.0617,128.772,false
277,111.1652,110.8826,false
278,156.7099,156.4052,false
279,121.9808,121.7097,false
280,127.6084,127.3019,false
281,116.4192,116.047,false
282,152.1506,151.8589,false
283,137.4998,137.1192,false
284,121.3609,121.0187,false
285,132.0549,131.7003,false
286,144.7355,144.3595,false
287,146.8669,146.5039,false
288,128.8273,128.4514,false
289,162.4972,162.1506,false
290,190.0076,189.6607,false
291,126.8427,126.2963,false
292,123.5344,123.1694,false
293,139.9715,139.6831,false
294,142.5028,141.944,false
295,149.575,149.2626,false
296,144.4052,144.0981,false
297,132.6328,132.3006,false
298,147.8339,147.5555,false
299,140.4216,140.1437,false
300,161.5978,161.2315,false
301,234.7253,234.3765,false
302,154.6539,154.3096,false
303,121.992,121.7134,false
304,124.0244,123.7485,false
