sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:34:56.6364702+00:00,0.4268,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60923904,184242176,36483477504,86,11,1310544,,0,0,0,0,0,0,1306488,60887040,,36483485696,,184102912,,9551872,,45518848,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:34:59.5038801+00:00,2867.8351,setup,t1-after-model-load,0,0,0,0,0,0,0,939167744,1992474624,38927929344,102,21,1891256,,0,0,0,0,0,0,1885544,939143168,,38927929344,,1992232960,,862941184,,67665920,,8536064,,,,,,,,,
2,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:34:59.6864234+00:00,3050.3783,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945094656,1992605696,38927925248,102,21,1989432,,0,0,0,0,0,0,1983408,945074176,,38927925248,,1992364032,,863711232,,72396800,,8966144,,,,,,,147.1161,133,false
3,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:00.3259976+00:00,3689.9523,warmup,warmup-complete,0,0,0,0,0,5,5,946511872,1993302016,38927941632,104,21,2178072,,0,0,0,0,0,0,2171496,946470912,,38927941632,,1992994816,,864411648,,72548352,,9510912,,,,,,,,,
4,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:00.3294193+00:00,3693.3737,measurement,request-count-0,0,0,0,0,0,5,5,946577408,1993367552,38927933440,104,21,2243608,,0,0,0,0,0,0,2236816,946552832,,38927933440,,1993060352,,864477184,,72548352,,9527296,,,,,,,,,
5,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:01.9662946+00:00,5330.2497,measurement,request-count-10,10,10,10,0,0,5,15,951726080,1997938688,38927941632,104,21,2710504,,0,0,0,0,0,0,2702608,951701504,,38927941632,,1997697024,,869060608,,72613888,,10027008,,169.2966,162.472,163.4302,213.0315,220.4987,168.8294,133,false
6,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:07.5747005+00:00,10938.6555,measurement,request-count-50,50,50,50,0,0,5,55,955695104,2051141632,39246966784,107,22,3939240,,0,0,0,0,0,0,3927696,955678720,,39246966784,,2050899968,,871645184,,73531392,,10502144,,151.1879,139.7476,136.2031,175.6849,184.3723,150.7508,133,false
7,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:14.8178776+00:00,18181.8328,measurement,request-count-100,100,100,100,0,0,5,105,957607936,2019409920,39213408256,104,21,5454544,,0,0,0,0,0,0,5430672,957583360,,39213408256,,2019168256,,873402368,,73531392,,10649600,,108.9285,144.4674,144.4148,182.962,215.5647,108.5724,133,false
8,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:21.6383247+00:00,25002.2798,measurement,request-count-150,150,150,150,0,0,5,155,959217664,2020982784,39213412352,104,21,6978320,,0,0,0,0,0,0,6949984,959197184,,39213412352,,2020741120,,874995712,,73531392,,10670080,,112.0787,134.7686,130.1517,181.3076,210.2327,111.7416,133,false
9,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:28.4340985+00:00,31798.0534,measurement,request-count-200,200,200,200,0,0,5,205,960765952,2022551552,39213412352,104,21,8493872,,0,0,0,0,0,0,8461072,960745472,,39213412352,,2022248448,,876519424,,73531392,,10694656,,136.3184,135.3488,130.7588,171.1793,187.8498,135.9645,133,false
10,phase3a-formal-20260925-v3-shape-medium-q1,full-pipeline,2026-09-24T22:35:35.8561918+00:00,39220.1565,measurement,request-count-250,250,250,250,0,0,5,255,962428928,2023907328,39213404160,104,21,2148088,,648528,7448,1,1,0,0,9961168,962428928,,39213404160,,2023665664,,878092288,,73596928,,10739712,,182.7894,147.9311,146.8746,192.6032,223.4865,182.3805,133,false
