request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,128.9994,128.4036,false
1,183.2088,182.6138,false
2,162.3177,161.6437,false
3,135.7851,135.2094,false
4,195.8432,194.9338,false
5,168.6796,168.0138,false
6,183.986,183.4061,false
7,168.3331,167.7476,false
8,133.728,133.2765,false
9,142.2708,141.6815,false
10,116.6915,116.1533,false
11,203.3363,202.8312,false
12,120.4194,119.558,false
13,119.1762,118.4021,false
14,120.1872,119.5862,false
15,151.0715,150.6034,false
16,130.9597,130.5038,false
17,154.6909,154.1887,false
18,143.4649,143.0477,false
19,150.7531,150.3207,false
20,114.8764,114.4204,false
21,138.2983,137.802,false
22,143.7326,143.316,false
23,138.9143,138.5307,false
24,133.1687,132.7718,false
25,155.2489,154.5845,false
26,153.6221,153.129,false
27,165.4656,164.6337,false
28,126.0926,125.6923,false
29,100.7961,100.207,false
30,105.0011,104.5284,false
31,124.1221,123.7526,false
32,152.4828,152.0981,false
33,119.8223,119.4166,false
34,106.8299,106.4294,false
35,124.0396,123.6684,false
36,108.3915,107.9018,false
37,109.4314,109.0549,false
38,128.4578,127.9822,false
39,115.8357,115.3119,false
40,133.4976,133.0872,false
41,144.2705,143.9082,false
42,130.2037,129.7625,false
43,132.985,132.5586,false
44,127.8198,127.4042,false
45,169.9064,169.5357,false
46,124.0253,123.6021,false
47,126.2079,125.8064,false
48,124.8212,124.461,false
49,163.1804,162.7129,false
50,125.801,125.303,false
51,150.8547,150.2021,false
52,134.6447,134.1599,false
53,144.725,144.1859,false
54,140.8047,140.2411,false
55,124.9378,124.4684,false
56,111.7514,111.2849,false
57,160.8239,160.2271,false
58,119.1211,118.7135,false
59,115.2248,114.8411,false
60,133.3115,132.8828,false
61,116.0706,115.5621,false
62,166.4245,165.963,false
63,140.8525,140.4481,false
64,135.9596,135.2995,false
65,200.7803,200.3604,false
66,97.6119,97.182,false
67,118.954,118.5481,false
68,108.361,107.9312,false
69,138.1313,137.7155,false
70,163.4279,163.0513,false
71,117.795,117.4277,false
72,140.8598,140.4682,false
73,127.1276,126.7531,false
74,152.134,151.7218,false
75,149.2986,148.9263,false
76,117.8525,117.5079,false
77,124.6353,124.278,false
78,172.1343,171.7723,false
79,117.5687,117.1921,false
80,124.7128,124.3795,false
81,108.0434,107.6734,false
82,116.3938,116.0479,false
83,146.5181,146.1233,false
84,100.1,99.7133,false
85,113.3457,112.8448,false
86,153.9705,153.3719,false
87,158.9618,158.442,false
88,145.3324,144.9039,false
89,121.2699,120.8163,false
90,128.5751,128.1357,false
91,154.8907,154.3767,false
92,147.5704,147.1204,false
93,129.8058,129.3535,false
94,119.7593,119.2225,false
95,138.7363,138.296,false
96,139.1399,138.3194,false
97,119.4368,118.9485,false
98,150.2721,149.7555,false
99,140.9509,140.473,false
100,153.5734,153.2003,false
101,137.8589,137.4338,false
102,130.4404,129.9584,false
103,155.1873,154.8094,false
104,121.9505,121.5807,false
105,117.1272,116.7493,false
106,100.7977,100.3893,false
107,111.6979,111.303,false
108,146.6868,146.3047,false
109,120.7553,120.3589,false
110,129.3595,129.0085,false
111,144.775,144.3175,false
112,139.9613,139.5529,false
113,121.0375,120.5954,false
114,127.0167,126.4743,false
115,111.0041,110.5955,false
116,120.1508,119.7919,false
