sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:12.8968571+00:00,0.5175,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60796928,184061952,36483477504,86,11,1311864,,0,0,0,0,0,0,1307784,60755968,,36483485696,,183922688,,9502720,,45436928,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:15.5800079+00:00,2683.6646,setup,t1-after-model-load,0,0,0,0,0,0,0,939069440,1992441856,38928084992,102,21,1892640,,0,0,0,0,0,0,1886856,939044864,,38928084992,,1992196096,,862904320,,67600384,,8540160,,,,,,,,,
2,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:15.7371114+00:00,2840.7681,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945864704,1992572928,38928080896,102,21,1999040,,0,0,0,0,0,0,1992920,945840128,,38928080896,,1992327168,,863682560,,73183232,,8974336,,,,,,,125.413,67,false
3,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:16.2962651+00:00,3399.9214,warmup,warmup-complete,0,0,0,0,0,5,5,947183616,1993265152,38928093184,104,21,2203872,,0,0,0,0,0,0,2197128,947167232,,38928093184,,1993019392,,864391168,,73334784,,9441280,,,,,,,,,
4,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:16.3000586+00:00,3403.7148,measurement,request-count-0,0,0,0,0,0,5,5,947257344,1993330688,38928089088,104,21,2277632,,0,0,0,0,0,0,2270648,947232768,,38928089088,,1993084928,,864456704,,73334784,,9441280,,,,,,,,,
5,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:17.9183055+00:00,5021.9623,measurement,request-count-10,10,10,10,0,0,5,15,952500224,1997946880,38928093184,104,21,2703744,,0,0,0,0,0,0,2695488,952475648,,38928093184,,1997635584,,869027840,,73400320,,10047488,,142.2708,160.3151,165.3254,190.5074,194.776,141.6815,67,false
6,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:23.2873897+00:00,10391.0465,measurement,request-count-50,50,50,50,0,0,5,55,956260352,2050887680,39247114240,106,22,4169952,,0,0,0,0,0,0,4157376,956235776,,39247114240,,2050641920,,871366656,,74317824,,10551296,,163.1804,133.8074,129.3307,165.6876,190.2986,162.7129,67,false
7,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:30.0332266+00:00,17136.8845,measurement,request-count-100,100,100,100,0,0,5,105,958873600,2019942400,39213559808,104,21,5980440,,0,0,0,0,0,0,5954624,958849024,,39213559808,,2019631104,,873873408,,74317824,,10657792,,140.9509,134.5153,133.978,165.076,186.7437,140.473,67,false
8,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:36.7963495+00:00,23900.0064,measurement,request-count-150,150,150,150,0,0,5,155,961572864,2056093696,39247122432,107,22,7790776,,0,0,0,0,0,0,7759632,961548288,,39247122432,,2055847936,,876560384,,74317824,,10670080,,136.8552,134.5597,129.8999,168.5928,191.9709,136.3696,67,false
9,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:43.8413682+00:00,30945.0251,measurement,request-count-200,200,200,200,0,0,5,205,963010560,2023784448,39213551616,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-2407520).,4793816,4200424,1,1,0,0,9553928,963010560,,39213551616,,2023538688,,877903872,,74383360,,10723328,,142.3055,140.557,138.3852,172.6151,199.391,141.8326,67,false
10,phase3a-formal-20260925-v3-shape-question-short-q2,full-pipeline,2026-09-24T22:46:50.7823510+00:00,37886.0079,measurement,request-count-250,250,250,250,0,0,5,255,963182592,2023931904,39213555712,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-594096).,4793816,4200424,1,1,0,0,11362048,963182592,,39213555712,,2023686144,,878059520,,74383360,,10739712,,117.9403,136.946,126.2454,182.6679,259.287,117.6188,67,false
