request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,81.2767,80.6587,false
1,74.452,73.9067,false
2,101.075,100.5278,false
3,122.3311,121.7137,false
4,92.3042,91.6609,false
5,102.9769,102.4444,false
6,109.7371,109.1099,false
7,84.3678,83.4817,false
8,86.5079,85.9543,false
9,80.7731,80.1294,false
10,82.1679,81.7027,false
11,73.123,72.5757,false
12,88.3276,87.7299,false
13,94.7791,94.2693,false
14,87.688,87.2649,false
15,112.9274,112.4508,false
16,78.0351,77.6143,false
17,80.3497,79.847,false
18,83.9316,83.4598,false
19,85.3034,84.8889,false
20,90.0214,89.5349,false
21,90.4811,89.9208,false
22,84.8588,84.4332,false
23,94.3828,93.9226,false
24,76.4583,76.0296,false
25,103.0957,102.6031,false
26,78.3496,77.846,false
27,89.6185,89.1914,false
28,122.8361,122.3986,false
29,105.3283,104.9128,false
30,110.3817,109.9958,false
31,101.9635,101.4548,false
32,96.2555,95.8792,false
33,101.8102,101.314,false
34,115.4633,115.0299,false
35,100.1215,99.2888,false
36,92.5809,92.1506,false
37,80.655,80.2585,false
38,95.9082,95.5229,false
39,67.4634,67.153,false
40,81.5184,81.1928,false
41,75.8782,75.4143,false
42,82.1528,81.8385,false
43,84.6162,84.3088,false
44,73.0684,72.7136,false
45,79.3206,79.0122,false
46,75.0729,74.6674,false
47,86.2274,85.8109,false
48,86.4551,86.0619,false
49,75.0077,74.644,false
50,54.7082,54.4076,false
51,75.768,75.4154,false
52,89.1892,88.8492,false
53,162.5481,162.0735,false
54,119.9137,119.4395,false
55,123.771,123.4101,false
56,59.0555,58.7344,false
57,79.0501,78.7231,false
58,83.2876,82.9856,false
59,87.2403,86.9361,false
60,86.7872,86.4552,false
61,50.0965,49.7746,false
62,80.0943,79.7095,false
63,84.6194,84.3221,false
64,77.8336,77.5299,false
65,63.3494,63.0265,false
66,117.1018,116.8117,false
67,74.985,74.6138,false
68,72.8906,72.491,false
69,78.0482,77.6806,false
70,70.1335,69.7602,false
71,84.8184,84.4599,false
72,93.4075,93.0568,false
73,79.0557,78.532,false
74,85.5273,85.1732,false
75,101.4375,100.6481,false
76,79.2834,78.9159,false
77,67.6251,67.2658,false
78,72.6941,72.3449,false
79,73.24,72.8712,false
80,77.0665,76.5837,false
81,87.2504,86.7855,false
82,91.6291,91.1262,false
83,93.7144,93.3439,false
84,83.2071,82.8381,false
85,97.1669,96.8018,false
86,74.7735,74.4152,false
87,100.0427,99.6592,false
88,76.6163,76.3074,false
89,68.299,67.8387,false
90,71.269,70.9585,false
91,81.3315,79.8116,false
92,68.6681,68.2616,false
93,74.2019,73.8812,false
94,81.9373,81.4449,false
95,81.4433,81.0445,false
96,83.6184,83.3352,false
97,69.9498,69.695,false
98,61.2765,60.9821,false
99,61.6516,61.3632,false
100,71.4637,71.1957,false
101,90.0749,89.7629,false
102,68.7036,68.37,false
103,71.1291,70.7748,false
104,66.392,66.0849,false
105,74.4131,74.0879,false
106,75.7405,75.4323,false
107,61.2105,60.8664,false
108,75.0885,74.7679,false
109,94.0467,93.5808,false
110,63.6383,63.3245,false
111,63.2571,62.9184,false
112,69.9891,69.6986,false
113,90.8909,90.5525,false
