sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:41.2154876+00:00,0.372,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60952576,184242176,36349259776,86,11,1317912,,0,0,0,0,0,0,1313976,60919808,,36349267968,,184102912,,9564160,,45518848,,5836800,,,,,,,,,
1,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:44.0054408+00:00,2790.3238,setup,t1-after-model-load,0,0,0,0,0,0,0,939147264,1992552448,38793736192,102,21,1920424,,0,0,0,0,0,0,1914688,939122688,,38793736192,,1992228864,,862978048,,67596288,,8548352,,,,,,,,,
2,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:44.2856644+00:00,3070.5471,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,945106944,1992728576,38793728000,102,21,2018600,,0,0,0,0,0,0,2012552,945082368,,38793728000,,1992470528,,863842304,,72196096,,9043968,,,,,,,243.1754,67,false
3,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:44.6647730+00:00,3449.6555,warmup,warmup-complete,0,0,0,0,0,5,5,945958912,1993277440,38793732096,102,21,2183392,,0,0,0,0,0,0,2176840,945922048,,38793732096,,1992953856,,864378880,,72261632,,9281536,,,,,,,,,
4,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:44.6683489+00:00,3453.2313,measurement,request-count-0,0,0,0,0,0,5,5,946032640,1993342976,38793732096,102,21,2256072,,0,0,0,0,0,0,2249304,946003968,,38793732096,,1993019392,,864444416,,72261632,,9297920,,,,,,,,,
5,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:45.6171644+00:00,4402.0468,measurement,request-count-10,10,10,10,0,0,5,15,949428224,1995968512,38793740288,104,21,2591976,,0,0,0,0,0,0,2584224,949403648,,38793740288,,1995710464,,867078144,,72413184,,9912320,,80.7731,93.5801,89.406,116.6638,121.1976,80.1294,67,false
6,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:49.2082293+00:00,7993.1118,measurement,request-count-50,50,50,50,0,0,5,55,951119872,1997017088,38793732096,104,21,3640552,,0,0,0,0,0,0,3629704,951103488,,38793732096,,1996759040,,868139008,,72478720,,10485760,,75.0077,89.0996,86.3412,113.0541,119.9607,74.644,67,false
7,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:53.3385834+00:00,12123.4663,measurement,request-count-100,100,100,100,0,0,5,105,956817408,2052358144,39112769536,106,22,4934976,,0,0,0,0,0,0,4920312,956792832,,39112769536,,2052034560,,872787968,,73330688,,10674176,,61.6516,82.2534,79.1695,118.6483,143.5473,61.3632,67,false
8,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:53:57.3310200+00:00,16115.9028,measurement,request-count-150,150,150,150,0,0,5,155,958099456,2036826112,39095992320,104,21,6229248,,0,0,0,0,0,0,6210768,958078976,,39095992320,,2036568064,,874061824,,73330688,,10686464,,80.9718,79.4827,75.4145,104.5936,123.5084,80.5731,67,false
9,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:01.8427940+00:00,20627.6767,measurement,request-count-200,200,200,200,0,0,5,205,959397888,2021343232,39079186432,104,20,7515296,,0,0,0,0,0,0,7484880,959373312,,39079186432,,2021085184,,875331584,,73330688,,10711040,,71.5669,89.8213,83.0419,128.2868,201.4714,71.1794,67,false
10,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:05.9921466+00:00,24777.0294,measurement,request-count-250,250,250,250,0,0,5,255,961273856,2039787520,39095984128,102,21,1025296,,628760,7656,1,1,0,0,8763424,961273856,,39095984128,,2039529472,,877125632,,73396224,,10752000,,118.2345,82.6508,78.915,108.7849,118.3716,117.9699,67,false
11,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:10.1413652+00:00,28926.2482,measurement,request-count-300,300,300,300,0,0,5,305,961306624,2023026688,39079206912,102,21,2316584,,628760,7656,1,1,0,0,10050920,961306624,,39079206912,,2022768640,,877129728,,73396224,,10780672,,73.5893,82.5669,78.499,116.812,136.59,73.3384,67,false
12,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:14.1420427+00:00,32926.9254,measurement,request-count-350,350,350,350,0,0,5,355,961355776,2056581120,39112769536,105,22,3607952,,628760,7656,1,1,0,0,11338496,961355776,,39112769536,,2056323072,,877178880,,73396224,,10780672,,84.0778,78.3655,75.566,100.0493,104.5287,83.826,67,false
13,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:18.3428908+00:00,37127.7741,measurement,request-count-400,400,400,400,0,0,5,405,961331200,2023026688,39079211008,104,21,4905592,,628760,7656,1,1,0,0,12632368,961331200,,39079211008,,2022768640,,877137920,,73396224,,10797056,,82.5735,82.166,75.9494,118.9752,135.2712,82.2806,67,false
14,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:22.5083350+00:00,41293.218,measurement,request-count-450,450,450,450,0,0,5,455,961335296,2023026688,39079211008,104,21,6197072,,628760,7656,1,1,0,0,13920056,961335296,,39079211008,,2022768640,,877137920,,73396224,,10801152,,109.2015,82.9425,81.2366,113.9813,121.0093,108.9458,67,false
15,phase3a-formal-20260925-v3-shape-retention-short-long-short,full-pipeline,2026-09-24T22:54:26.5342988+00:00,45319.1816,measurement,request-count-500,500,500,500,0,0,5,505,961605632,2039984128,39095996416,102,21,7488616,,628760,7656,1,1,0,0,15207808,961605632,,39095996416,,2039726080,,877391872,,73396224,,10817536,,77.0979,80.2271,79.8777,105.7409,119.1796,76.8259,67,false
