request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,63.2297,62.8077,false
1,81.3553,80.8591,false
2,67.4809,66.9561,false
3,78.4909,77.9323,false
4,77.5913,77.0473,false
5,130.8215,130.206,false
6,101.9218,101.381,false
7,92.9533,91.9037,false
8,85.8144,85.3326,false
9,88.5458,87.9113,false
10,110.1645,109.7288,false
11,86.1422,85.6864,false
12,77.5308,76.9017,false
13,69.5057,69.0205,false
14,66.195,65.7357,false
15,69.9716,69.5471,false
16,143.9126,143.4887,false
17,77.4682,77.0337,false
18,62.3579,61.5965,false
19,65.2266,64.6632,false
20,80.2467,79.5032,false
21,78.0579,77.6083,false
22,70.9429,70.4734,false
23,72.3984,71.8522,false
24,83.9303,83.4866,false
25,64.9287,64.4897,false
26,81.4787,80.3819,false
27,99.1235,98.3013,false
28,116.8358,116.2267,false
29,77.1206,76.7226,false
30,109.9122,109.5774,false
31,61.6966,61.2555,false
32,100.3341,99.8231,false
33,67.8246,67.2693,false
34,54.6478,54.1616,false
35,61.3151,60.8483,false
36,72.4794,72.0726,false
37,90.6253,90.2028,false
38,75.8002,75.4285,false
39,61.2836,60.9301,false
40,80.9245,80.5089,false
41,83.2155,82.7685,false
42,71.9264,71.4833,false
43,66.3196,65.8942,false
44,63.5733,63.2327,false
45,77.8518,77.4695,false
46,82.0025,81.6375,false
47,94.5084,94.1129,false
48,72.3659,71.9451,false
49,59.833,59.4131,false
50,76.2648,75.8709,false
51,67.1921,66.7841,false
52,96.9544,96.5934,false
53,104.8678,104.4599,false
54,102.7023,102.2825,false
55,56.43,56.031,false
56,87.9372,87.4799,false
57,87.1269,86.6919,false
58,117.2353,116.8081,false
59,94.4028,94.0031,false
60,77.631,76.9282,false
61,75.8684,75.5044,false
62,92.5965,92.1701,false
63,58.9033,58.5332,false
64,65.6804,65.3295,false
65,74.7079,74.3607,false
66,74.9494,74.5948,false
67,89.137,88.7892,false
68,65.2427,64.8945,false
69,71.7108,71.3226,false
70,68.29,67.9301,false
71,72.4473,72.0628,false
72,71.8735,71.4985,false
73,72.8183,72.4335,false
74,79.2262,78.6584,false
75,81.4335,81.0778,false
76,103.7039,103.3182,false
77,90.9481,90.5148,false
78,90.1184,89.7876,false
79,101.6106,101.0855,false
80,83.641,83.2756,false
81,64.1358,63.6173,false
82,71.3591,70.9253,false
83,74.1505,73.7878,false
84,79.3959,79.0553,false
85,85.4537,84.9389,false
86,84.7777,84.3231,false
87,81.3595,81.0029,false
88,81.5536,81.1532,false
89,84.6012,84.2053,false
90,81.0541,80.5095,false
91,91.8225,91.4595,false
92,76.259,75.8635,false
93,146.6413,146.2718,false
94,72.2983,71.919,false
95,80.4257,79.6314,false
96,94.6809,94.2762,false
97,63.7442,63.4518,false
98,48.921,48.5517,false
99,80.2644,79.8978,false
100,96.864,96.5,false
101,101.1646,100.7902,false
102,80.2141,79.7014,false
103,79.0221,78.5401,false
104,93.873,93.4486,false
105,101.334,97.7471,false
106,102.3179,101.7199,false
107,66.9719,66.5958,false
108,69.0168,68.6647,false
109,84.1937,83.7058,false
110,75.2204,74.8713,false
111,86.86,86.4675,false
112,98.52,98.112,false
