sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:31.5923437+00:00,0.4404,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60858368,184061952,36349259776,86,11,1315928,,0,0,0,0,0,0,1311920,60825600,,36349267968,,183922688,,9502720,,45506560,,5816320,,,,,,,,,
1,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:34.3225699+00:00,2730.6646,setup,t1-after-model-load,0,0,0,0,0,0,0,939118592,1992515584,38793871360,102,21,1909528,,0,0,0,0,0,0,1903720,939106304,,38793871360,,1992204288,,862941184,,67620864,,8544256,,,,,,,,,
2,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:34.4624378+00:00,2870.5326,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944914432,1992581120,38793863168,102,21,2007704,,0,0,0,0,0,0,2001584,944898048,,38793863168,,1992335360,,863707136,,72220672,,8970240,,,,,,,108.7,67,false
3,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:34.7956326+00:00,3203.7273,warmup,warmup-complete,0,0,0,0,0,5,5,945917952,1993224192,38793867264,102,21,2171672,,0,0,0,0,0,0,2165072,945876992,,38793867264,,1992912896,,864321536,,72286208,,9269248,,,,,,,,,
4,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:34.7983255+00:00,3206.4196,measurement,request-count-0,0,0,0,0,0,5,5,945991680,1993289728,38793871360,102,21,2245432,,0,0,0,0,0,0,2238592,945967104,,38793871360,,1992978432,,864387072,,72286208,,9293824,,,,,,,,,
5,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:35.6768257+00:00,4084.9205,measurement,request-count-10,10,10,10,0,0,5,15,949420032,1995911168,38793879552,104,21,2564888,,0,0,0,0,0,0,2557088,949407744,,38793879552,,1995599872,,867004416,,72437760,,9965568,,88.5458,86.8204,83.5848,117.8166,128.2205,87.9113,67,false
6,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:38.9205758+00:00,7328.6704,measurement,request-count-50,50,50,50,0,0,5,55,951042048,1996959744,38793871360,104,21,3613464,,0,0,0,0,0,0,3602592,951029760,,38793871360,,1996648448,,868057088,,72503296,,10469376,,59.833,79.0494,76.4603,110.498,133.3526,59.4131,67,false
7,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:43.0362636+00:00,11444.3586,measurement,request-count-100,100,100,100,0,0,5,105,956469248,2052034560,39112908800,107,22,4907624,,0,0,0,0,0,0,4892936,956444672,,39112908800,,2051788800,,872439808,,73347072,,10657792,,80.2644,81.931,80.345,104.344,132.2323,79.8978,67,false
8,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:47.2133372+00:00,15621.4322,measurement,request-count-150,150,150,150,0,0,5,155,958005248,2020003840,39079346176,104,21,6193672,,0,0,0,0,0,0,6167072,957980672,,39079346176,,2019758080,,873963520,,73347072,,10670080,,64.9843,83.1201,81.0742,101.8751,105.2344,64.5906,67,false
9,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:51.3843405+00:00,19792.4354,measurement,request-count-200,200,200,200,0,0,5,205,959315968,2021314560,39079350272,106,21,7488200,,0,0,0,0,0,0,7457784,959291392,,39079350272,,2021003264,,875249664,,73347072,,10694656,,69.7932,83.1186,80.0514,120.5014,142.33,67.295,67,false
10,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:55.4087180+00:00,23816.8128,measurement,request-count-250,250,250,250,0,0,5,255,961196032,2039664640,39096123392,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-3221560).,4800416,4199224,1,1,0,0,8726920,961196032,,39096123392,,2039418880,,877043712,,73412608,,10739712,,62.5666,78.74,73.4654,109.3317,167.2419,62.2657,67,false
11,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:33:59.2722829+00:00,27680.3779,measurement,request-count-300,300,300,300,0,0,5,305,961232896,2039672832,39096131584,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-1928232).,4800416,4199224,1,1,0,0,10016432,961232896,,39096131584,,2039427072,,877051904,,73412608,,10768384,,103.9573,75.6713,71.7394,102.5857,119.9989,103.6749,67,false
12,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:34:03.3419359+00:00,31750.0306,measurement,request-count-350,350,350,350,0,0,5,355,961232896,2039672832,39096131584,102,21,,GC.GetTotalMemory(false) reported a negative byte count (-639048).,4800416,4199224,1,1,0,0,11301824,961232896,,39096131584,,2039427072,,877051904,,73412608,,10768384,,75.8109,79.7485,75.9425,118.2059,132.3319,75.5144,67,false
13,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:34:07.1888007+00:00,35596.8958,measurement,request-count-400,400,400,400,0,0,5,405,961253376,2039672832,39096131584,102,21,649384,,4800416,4199224,1,1,0,0,12586488,961253376,,39096131584,,2039427072,,877060096,,73412608,,10780672,,66.2517,76.5224,72.9735,103.4893,120.3607,65.9623,67,false
14,phase3a-formal-20260925-v3-shape-short-q1,full-pipeline,2026-09-24T22:34:10.9371670+00:00,39345.2616,measurement,request-count-450,450,450,450,0,0,5,455,961273856,2039672832,39096131584,102,21,1943568,,4800416,4199224,1,1,0,0,13876880,961273856,,39096131584,,2039427072,,877072384,,73412608,,10788864,,78.3887,73.3837,72.0502,93.6812,96.7851,78.0927,67,false
