sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:17.7101181+00:00,0.4448,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60186624,183930880,36349370368,86,11,1253968,0,0,0,0,0,0,1250080,60137472,,36349370368,,183791616,,9334784,,45309952,,5492736,,,,,,,,,
1,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:20.3818850+00:00,2672.2101,setup,t1-after-model-load,0,0,0,0,0,0,0,938668032,1992265728,38793809920,102,21,1828920,0,0,0,0,0,0,1823328,938651648,,38793809920,,1992081408,,862732288,,67616768,,8302592,,,,,,,,,
2,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:20.5408919+00:00,2831.2169,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,946483200,1992396800,38793809920,102,21,1927096,0,0,0,0,0,0,1921192,946462720,,38793809920,,1992212480,,863494144,,74182656,,8785920,,,,,,,126.4731,67,false
3,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:20.8309207+00:00,3121.2454,warmup,warmup-complete,0,0,0,0,0,5,5,947433472,1992982528,38793809920,102,21,2091064,0,0,0,0,0,0,2084680,947417088,,38793809920,,1992798208,,864116736,,74248192,,9052160,,,,,,,,,
4,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:20.8348238+00:00,3125.1483,measurement,request-count-0,0,0,0,0,0,5,5,947511296,1993048064,38793814016,102,21,2164824,0,0,0,0,0,0,2158200,947490816,,38793814016,,1992863744,,864182272,,74248192,,9060352,,,,,,,,,
5,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:21.6488372+00:00,3939.162,measurement,request-count-10,10,10,10,0,0,5,15,950370304,1995382784,38793822208,104,21,2476056,0,0,0,0,0,0,2468496,950353920,,38793822208,,1995198464,,866508800,,74334208,,9510912,,83.5759,80.23,80.5454,109.8007,113.8809,81.3901,67,false
6,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:24.7800156+00:00,7070.3404,measurement,request-count-50,50,50,50,0,0,5,55,952610816,1996738560,38793814016,104,21,3532856,0,0,0,0,0,0,3522200,952586240,,38793814016,,1996554240,,867864576,,74465280,,10256384,,65.3228,76.2352,73.6217,99.052,108.3814,64.9619,67,false
7,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:28.6908375+00:00,10981.1625,measurement,request-count-100,100,100,100,0,0,5,105,958042112,2051878912,39112851456,107,22,4818792,0,0,0,0,0,0,4804320,958017536,,39112851456,,2051694592,,872251392,,75317248,,10448896,,74.8283,77.4536,75.0996,101.0351,112.8144,74.5059,67,false
8,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:33.3479226+00:00,15638.2479,measurement,request-count-150,150,150,150,0,0,5,155,959815680,2020028416,39079292928,104,21,6113320,0,0,0,0,0,0,6086912,959791104,,39079292928,,2019778560,,874000384,,75317248,,10473472,,100.9917,92.7307,84.7545,129.8604,276.2726,96.5731,67,false
9,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:37.5043730+00:00,19794.698,measurement,request-count-200,200,200,200,0,0,5,205,961130496,2021273600,39079292928,104,21,7399368,0,0,0,0,0,0,7369144,961105920,,39079292928,,2021089280,,875298816,,75317248,,10489856,,57.139,82.6735,80.2034,108.6186,122.6816,56.7558,67,false
10,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:37.5767844+00:00,19867.1094,idle,idle-0-seconds,200,200,200,0,0,5,205,961212416,2021339136,39079284736,104,21,7473128,0,0,0,0,0,0,7442640,961196032,,39079284736,,2021154816,,875376640,,75317248,,10502144,,,,,,,,,
11,phase3a-pilot-20260925-pilot-full-pipeline,full-pipeline,2026-09-24T18:01:37.7026894+00:00,19993.0154,lifecycle,post-dispose,200,200,200,0,0,5,205,474882048,619704320,37677486080,104,12,7530440,0,0,0,0,0,0,7499760,474861568,,37677486080,,619454464,,394194944,,70156288,,10510336,,,,,,,,,
