sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:10.5862247+00:00,0.5208,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60133376,183939072,36483743744,86,11,1256184,0,0,0,0,0,0,1252248,60088320,,36483743744,,183799808,,9355264,,45240320,,5492736,,,,,,,,,
1,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6542721+00:00,1068.5663,setup,t1-after-setup,0,0,0,0,0,0,0,397492224,514338816,36818804736,96,11,1403664,0,0,0,0,0,0,1399320,397467648,,36818804736,,514199552,,340115456,,50454528,,6897664,,,,,,,,,
2,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6574188+00:00,1071.7122,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397545472,514404352,36818800640,96,11,1460976,0,0,0,0,0,0,1456464,397529088,,36818800640,,514265088,,340172800,,50454528,,6901760,,,,,,,,3,false
3,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6587905+00:00,1073.0839,warmup,warmup-complete,0,0,0,0,0,5,5,397611008,514469888,36818800640,96,11,1518288,0,0,0,0,0,0,1513608,397586432,,36818800640,,514330624,,340230144,,50454528,,6901760,,,,,,,,,
4,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6600230+00:00,1074.3161,measurement,request-count-0,0,0,0,0,0,5,5,397660160,514535424,36818800640,96,11,1575856,0,0,0,0,0,0,1571008,397639680,,36818800640,,514396160,,340283392,,50454528,,6901760,,,,,,,,,
5,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6665051+00:00,1080.7984,measurement,request-count-10,10,10,10,0,0,5,15,397873152,514600960,36818800640,96,11,1649360,0,0,0,0,0,0,1644272,397848576,,36818800640,,514461696,,340361216,,50520064,,6967296,,0.011,0.0168,0.0076,0.0522,0.0654,,3,false
6,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6720028+00:00,1086.296,measurement,request-count-50,50,50,50,0,0,5,55,397996032,514732032,36818800640,96,11,1764240,0,0,0,0,0,0,1758816,397975552,,36818800640,,514527232,,340471808,,50520064,,6983680,,0.0064,0.0098,0.0069,0.0211,0.0456,,3,false
7,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6759594+00:00,1090.2526,measurement,request-count-100,100,100,100,0,0,5,105,398127104,514863104,36818800640,96,11,1887088,0,0,0,0,0,0,1881280,398102528,,36818800640,,514658304,,340598784,,50520064,,6983680,,0.0071,0.0089,0.0067,0.0124,0.0425,,3,false
8,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6801063+00:00,1094.3997,measurement,request-count-150,150,150,150,0,0,5,155,398245888,514994176,36818800640,96,11,2009936,0,0,0,0,0,0,2003744,398225408,,36818800640,,514789376,,340721664,,50520064,,6983680,,0.0074,0.0094,0.0074,0.0148,0.0479,,3,false
9,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6854192+00:00,1099.7126,measurement,request-count-200,200,200,200,0,0,5,205,398368768,515059712,36818800640,96,11,2132784,0,0,0,0,0,0,2126184,398348288,,36818800640,,514920448,,340844544,,50520064,,6983680,,0.0098,0.0123,0.0088,0.0186,0.0764,,3,false
10,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6903704+00:00,1104.6637,measurement,request-count-250,250,250,250,0,0,5,255,398495744,515190784,36818800640,96,11,2255632,0,0,0,0,0,0,2248624,398471168,,36818800640,,515051520,,340967424,,50520064,,6983680,,0.0059,0.0086,0.0058,0.0119,0.0645,,3,false
11,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6945938+00:00,1108.888,measurement,request-count-300,300,300,300,0,0,5,305,398618624,515321856,36818800640,96,11,2378480,0,0,0,0,0,0,2371088,398594048,,36818800640,,515182592,,341090304,,50520064,,6983680,,0.0127,0.0089,0.0066,0.0195,0.0492,,3,false
12,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.6992193+00:00,1113.5126,measurement,request-count-350,350,350,350,0,0,5,355,398741504,515452928,36818800640,96,11,2501328,0,0,0,0,0,0,2493552,398716928,,36818800640,,515313664,,341213184,,50520064,,6983680,,0.0057,0.009,0.0069,0.0137,0.0488,,3,false
13,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7034069+00:00,1117.7001,measurement,request-count-400,400,400,400,0,0,5,405,398864384,515584000,36818800640,96,11,2628128,0,0,0,0,0,0,2619968,398839808,,36818800640,,515444736,,341336064,,50520064,,6983680,,0.0068,0.0088,0.0064,0.0216,0.0408,,3,false
14,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7072428+00:00,1121.5359,measurement,request-count-450,450,450,450,0,0,5,455,398987264,515715072,36818800640,96,11,2747904,0,0,0,0,0,0,2739336,398966784,,36818800640,,515575808,,341463040,,50520064,,6983680,,0.006,0.0083,0.0064,0.0114,0.0431,,3,false
15,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7109749+00:00,1125.2681,measurement,request-count-500,500,500,500,0,0,5,505,399110144,515846144,36818800640,96,11,2871728,0,0,0,0,0,0,2862776,399089664,,36818800640,,515641344,,341585920,,50520064,,6983680,,0.0064,0.0094,0.0072,0.0184,0.0476,,3,false
16,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7154786+00:00,1129.7719,measurement,request-count-550,550,550,550,0,0,5,555,399228928,515977216,36818800640,96,11,3001200,0,0,0,0,0,0,2991864,399216640,,36818800640,,515772416,,341712896,,50520064,,6983680,,0.0072,0.0118,0.0078,0.0247,0.083,,3,false
17,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7201534+00:00,1134.4469,measurement,request-count-600,600,600,600,0,0,5,605,399360000,516108288,36818800640,96,11,3124048,0,0,0,0,0,0,3114328,399339520,,36818800640,,515903488,,341835776,,50520064,,6983680,,0.0073,0.0091,0.0069,0.0131,0.0524,,3,false
18,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7246866+00:00,1138.9797,measurement,request-count-650,650,650,650,0,0,5,655,399482880,516173824,36818800640,96,11,3246896,0,0,0,0,0,0,3236768,399462400,,36818800640,,516034560,,341958656,,50520064,,6983680,,0.0051,0.0077,0.0055,0.0106,0.0502,,3,false
19,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7292098+00:00,1143.5032,measurement,request-count-700,700,700,700,0,0,5,705,399609856,516304896,36818800640,96,11,3369744,0,0,0,0,0,0,3359208,399585280,,36818800640,,516165632,,342081536,,50520064,,6983680,,0.0112,0.0118,0.0087,0.0172,0.0657,,3,false
20,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7334296+00:00,1147.723,measurement,request-count-750,750,750,750,0,0,5,755,399732736,516435968,36818800640,96,11,3492592,0,0,0,0,0,0,3481672,399708160,,36818800640,,516296704,,342204416,,50520064,,6983680,,0.0095,0.0115,0.0095,0.0173,0.0488,,3,false
21,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7374678+00:00,1151.7609,measurement,request-count-800,800,800,800,0,0,5,805,399855616,516567040,36818800640,96,11,3615440,0,0,0,0,0,0,3604136,399831040,,36818800640,,516427776,,342327296,,50520064,,6983680,,0.0061,0.0075,0.0055,0.0203,0.0361,,3,false
22,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7414482+00:00,1155.7413,measurement,request-count-850,850,850,850,0,0,5,855,399978496,516698112,36818800640,96,11,3742528,0,0,0,0,0,0,3730840,399953920,,36818800640,,516558848,,342450176,,50520064,,6983680,,0.0082,0.0077,0.0063,0.0177,0.0245,,3,false
23,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7461895+00:00,1160.4829,measurement,request-count-900,900,900,900,0,0,5,905,400101376,516829184,36818800640,96,11,3862296,0,0,0,0,0,0,3850224,400080896,,36818800640,,516689920,,342577152,,50520064,,6983680,,0.0078,0.0113,0.0077,0.0154,0.0891,,3,false
24,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7507813+00:00,1165.0746,measurement,request-count-950,950,950,950,0,0,5,955,400224256,516960256,36818800640,96,11,3986128,0,0,0,0,0,0,3973672,400203776,,36818800640,,516755456,,342700032,,50520064,,6983680,,0.0064,0.0118,0.0078,0.0188,0.0837,,3,false
25,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7556707+00:00,1169.9642,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,400355328,517091328,36818800640,96,11,4115312,0,0,0,0,0,0,4102472,400330752,,36818800640,,516886528,,342827008,,50520064,,6983680,,0.0056,0.0106,0.0075,0.019,0.0724,,3,false
26,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.7617631+00:00,1176.0567,idle,idle-0-seconds,1000,1000,1000,0,0,5,1005,400441344,517152768,36818800640,96,11,4180848,0,0,0,0,0,0,4167768,400416768,,36818800640,,516952064,,342892544,,50520064,,7004160,,,,,,,,,
27,phase3a-pilot-20260925-pilot-tokenizer-en,tokenizer-only,2026-09-24T18:01:11.8626731+00:00,1276.9672,lifecycle,post-dispose,1000,1000,1000,0,0,5,1005,353140736,469745664,36771225600,96,11,4238056,0,0,0,0,0,0,4224784,353112064,,36771225600,,469434368,,295501824,,50585600,,7024640,,,,,,,,,
