sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:15.3035032+00:00,0.513,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60116992,183779328,36483584000,86,11,1238600,0,0,0,0,0,0,1234736,60071936,,36483584000,,183574528,,9281536,,45297664,,5492736,,,,,,,,,
1,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4031849+00:00,1100.1924,setup,t1-after-setup,0,0,0,0,0,0,0,397606912,514404352,36818870272,96,11,1381016,0,0,0,0,0,0,1376720,397590528,,36818870272,,514265088,,340152320,,50540544,,6897664,,,,,,,,,
2,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4057077+00:00,1102.7147,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397668352,514469888,36818866176,96,11,1437360,0,0,0,0,0,0,1432872,397647872,,36818866176,,514330624,,340205568,,50540544,,6901760,,,,,,,,5,false
3,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4069955+00:00,1104.0024,warmup,warmup-complete,0,0,0,0,0,5,5,397725696,514535424,36818866176,96,11,1502224,0,0,0,0,0,0,1497544,397705216,,36818866176,,514330624,,340262912,,50540544,,6901760,,,,,,,,,
4,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4081160+00:00,1105.1229,measurement,request-count-0,0,0,0,0,0,5,5,397778944,514600960,36818866176,96,11,1559536,0,0,0,0,0,0,1554664,397766656,,36818866176,,514396160,,340324352,,50540544,,6901760,,,,,,,,,
5,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4146865+00:00,1111.6938,measurement,request-count-10,10,10,10,0,0,5,15,397996032,514666496,36818866176,96,11,1633296,0,0,0,0,0,0,1628208,397967360,,36818866176,,514461696,,340393984,,50606080,,6967296,,0.0077,0.0187,0.0091,0.059,0.0664,,5,false
6,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4230007+00:00,1120.0078,measurement,request-count-50,50,50,50,0,0,5,55,398114816,514732032,36818866176,96,11,1747920,0,0,0,0,0,0,1742448,398102528,,36818866176,,514592768,,340512768,,50606080,,6983680,,0.0059,0.0126,0.0076,0.0287,0.0615,,5,false
7,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4286680+00:00,1125.6753,measurement,request-count-100,100,100,100,0,0,5,105,398241792,514863104,36818866176,96,11,1870768,0,0,0,0,0,0,1864888,398225408,,36818866176,,514723840,,340635648,,50606080,,6983680,,0.0088,0.017,0.0134,0.034,0.0818,,5,false
8,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4340450+00:00,1131.0521,measurement,request-count-150,150,150,150,0,0,5,155,398372864,514994176,36818866176,96,11,1993616,0,0,0,0,0,0,1987352,398348288,,36818866176,,514854912,,340758528,,50606080,,6983680,,0.008,0.013,0.0087,0.0315,0.0698,,5,false
9,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4391203+00:00,1136.1275,measurement,request-count-200,200,200,200,0,0,5,205,398495744,515125248,36818866176,96,11,2116464,0,0,0,0,0,0,2109792,398471168,,36818866176,,514985984,,340881408,,50606080,,6983680,,0.0057,0.0095,0.0067,0.0139,0.0627,,5,false
10,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4435139+00:00,1140.5209,measurement,request-count-250,250,250,250,0,0,5,255,398618624,515256320,36818866176,96,11,2239312,0,0,0,0,0,0,2232232,398594048,,36818866176,,515117056,,341004288,,50606080,,6983680,,0.0121,0.0093,0.0078,0.0167,0.0334,,5,false
11,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4484126+00:00,1145.4198,measurement,request-count-300,300,300,300,0,0,5,305,398741504,515387392,36818866176,96,11,2365176,0,0,0,0,0,0,2357712,398716928,,36818866176,,515248128,,341127168,,50606080,,6983680,,0.0191,0.0109,0.0077,0.0225,0.0602,,5,false
12,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4536466+00:00,1150.6536,measurement,request-count-350,350,350,350,0,0,5,355,398864384,515518464,36818866176,96,11,2485384,0,0,0,0,0,0,2477512,398843904,,36818866176,,515379200,,341254144,,50606080,,6983680,,0.0121,0.0171,0.0142,0.0267,0.0677,,5,false
13,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4587350+00:00,1155.7421,measurement,request-count-400,400,400,400,0,0,5,405,398987264,515649536,36818866176,96,11,2609592,0,0,0,0,0,0,2601336,398966784,,36818866176,,515444736,,341377024,,50606080,,6983680,,0.0079,0.0144,0.0086,0.0362,0.0807,,5,false
14,phase3a-pilot-20260925-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T18:01:16.4638773+00:00,1160.8843,measurement,request-count-450,450,450,450,0,0,5,455,399106048,515780608,36818866176,96,11,2739184,0,0,0,0,0,0,2730544,399093760,,36818866176,,515575808,,341504000,,50606080,,6983680,,0.0067,0.0108,0.0079,0.0164,0.0696,,5,false
