sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:12.9553898+00:00,0.4928,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60133376,183791616,36483596288,86,11,1254456,0,0,0,0,0,0,1250496,60088320,,36483596288,,183652352,,9310208,,45285376,,5492736,,,,,,,,,
1,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0273332+00:00,1072.4348,setup,t1-after-setup,0,0,0,0,0,0,0,397611008,514404352,36818870272,96,11,1401896,0,0,0,0,0,0,1397528,397586432,,36818870272,,514265088,,340176896,,50511872,,6897664,,,,,,,,,
2,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0311627+00:00,1076.2642,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397664256,514469888,36818866176,96,11,1459208,0,0,0,0,0,0,1454672,397647872,,36818866176,,514330624,,340234240,,50511872,,6901760,,,,,,,,5,false
3,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0330857+00:00,1078.1866,warmup,warmup-complete,0,0,0,0,0,5,5,397729792,514535424,36818866176,96,11,1516520,0,0,0,0,0,0,1511792,397705216,,36818866176,,514396160,,340291584,,50511872,,6901760,,,,,,,,,
4,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0342133+00:00,1079.3142,measurement,request-count-0,0,0,0,0,0,5,5,397778944,514600960,36818866176,96,11,1574088,0,0,0,0,0,0,1569192,397758464,,36818866176,,514461696,,340344832,,50511872,,6901760,,,,,,,,,
5,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0405816+00:00,1085.6831,measurement,request-count-10,10,10,10,0,0,5,15,397991936,514666496,36818866176,96,11,1647592,0,0,0,0,0,0,1642456,397967360,,36818866176,,514527232,,340422656,,50577408,,6967296,,0.0061,0.0103,0.0056,0.0254,0.0292,,5,false
6,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0485378+00:00,1093.6388,measurement,request-count-50,50,50,50,0,0,5,55,398123008,514797568,36818866176,96,11,1762472,0,0,0,0,0,0,1757000,398094336,,36818866176,,514592768,,340533248,,50577408,,6983680,,0.0051,0.0087,0.0054,0.0199,0.0514,,5,false
7,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0527981+00:00,1097.8991,measurement,request-count-100,100,100,100,0,0,5,105,398245888,514928640,36818866176,96,11,1885320,0,0,0,0,0,0,1879464,398221312,,36818866176,,514723840,,340660224,,50577408,,6983680,,0.0057,0.0065,0.0047,0.0095,0.0369,,5,false
8,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0576242+00:00,1102.7252,measurement,request-count-150,150,150,150,0,0,5,155,398364672,515059712,36818866176,96,11,2008168,0,0,0,0,0,0,2001904,398344192,,36818866176,,514854912,,340783104,,50577408,,6983680,,0.0218,0.0163,0.0135,0.0379,0.0458,,5,false
9,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0631457+00:00,1108.247,measurement,request-count-200,200,200,200,0,0,5,205,398487552,515125248,36818866176,96,11,2131016,0,0,0,0,0,0,2124368,398467072,,36818866176,,514985984,,340905984,,50577408,,6983680,,0.0072,0.0116,0.0072,0.023,0.085,,5,false
10,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0682835+00:00,1113.3848,measurement,request-count-250,250,250,250,0,0,5,255,398614528,515256320,36818866176,96,11,2253864,0,0,0,0,0,0,2246832,398589952,,36818866176,,515117056,,341028864,,50577408,,6983680,,0.0056,0.0088,0.006,0.0133,0.0616,,5,false
11,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0720706+00:00,1117.1715,measurement,request-count-300,300,300,300,0,0,5,305,398737408,515387392,36818866176,96,11,2384936,0,0,0,0,0,0,2377496,398721024,,36818866176,,515248128,,341159936,,50577408,,6983680,,0.0049,0.0063,0.005,0.0117,0.0298,,5,false
12,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0765113+00:00,1121.6124,measurement,request-count-350,350,350,350,0,0,5,355,398860288,515518464,36818866176,96,11,2507784,0,0,0,0,0,0,2499960,398843904,,36818866176,,515379200,,341282816,,50577408,,6983680,,0.0062,0.0071,0.0051,0.0111,0.0419,,5,false
13,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0809892+00:00,1126.0902,measurement,request-count-400,400,400,400,0,0,5,405,398991360,515649536,36818866176,96,11,2630632,0,0,0,0,0,0,2622424,398966784,,36818866176,,515510272,,341405696,,50577408,,6983680,,0.0053,0.0085,0.0059,0.0119,0.0572,,5,false
14,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0848989+00:00,1129.9998,measurement,request-count-450,450,450,450,0,0,5,455,399114240,515780608,36818866176,96,11,2754432,0,0,0,0,0,0,2745816,399089664,,36818866176,,515641344,,341528576,,50577408,,6983680,,0.005,0.0064,0.0051,0.0112,0.0236,,5,false
15,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0894674+00:00,1134.5685,measurement,request-count-500,500,500,500,0,0,5,505,399237120,515911680,36818866176,96,11,2878632,0,0,0,0,0,0,2869608,399212544,,36818866176,,515772416,,341651456,,50577408,,6983680,,0.0091,0.0099,0.0075,0.0173,0.0593,,5,false
16,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.0952569+00:00,1140.3581,measurement,request-count-550,550,550,550,0,0,5,555,399360000,516042752,36818866176,96,11,2999432,0,0,0,0,0,0,2990000,399335424,,36818866176,,515837952,,341774336,,50577408,,6983680,,0.012,0.0191,0.0098,0.027,0.2188,,5,false
17,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.1001384+00:00,1145.2394,measurement,request-count-600,600,600,600,0,0,5,605,399478784,516173824,36818866176,96,11,3130504,0,0,0,0,0,0,3120664,399466496,,36818866176,,515969024,,341905408,,50577408,,6983680,,0.0098,0.0109,0.0095,0.0176,0.0339,,5,false
18,phase3a-pilot-20260925-pilot-tokenizer-zh,tokenizer-only,2026-09-24T18:01:14.1045302+00:00,1149.6311,measurement,request-count-650,650,650,650,0,0,5,655,399601664,516239360,36818866176,96,11,3253352,0,0,0,0,0,0,3243104,399589376,,36818866176,,516100096,,342028288,,50577408,,6983680,,0.0052,0.0096,0.0075,0.0181,0.0335,,5,false
