request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,134.523,133.9353,false
1,104.6349,104.2033,false
2,103.302,102.7637,false
3,123.2062,122.5983,false
4,103.8322,103.2131,false
5,128.7232,128.2201,false
6,109.8387,109.3099,false
7,66.209,65.6231,false
8,83.063,82.479,false
9,96.6846,96.0864,false
10,103.15,102.7797,false
11,84.4888,84.0151,false
12,127.5579,127.0489,false
13,59.4618,59.0765,false
14,71.0517,70.6648,false
15,62.9912,62.0506,false
16,103.0866,102.5572,false
17,68.1103,67.7381,false
18,53.1139,52.5659,false
19,65.2026,64.855,false
20,73.6239,73.1957,false
21,75.2072,74.8334,false
22,95.1151,93.9213,false
23,65.9306,65.4878,false
24,101.1061,100.6648,false
25,79.059,78.6289,false
26,91.5844,91.154,false
27,111.2019,110.7869,false
28,65.8509,65.4163,false
29,73.851,73.5278,false
30,62.1631,61.8225,false
31,56.9869,56.625,false
32,90.7544,90.424,false
33,66.9096,66.3404,false
34,87.8523,87.2956,false
35,76.3897,76.0131,false
36,64.818,64.4549,false
37,73.4751,73.1971,false
38,68.8507,68.4702,false
39,93.2797,92.9794,false
40,71.6361,71.3277,false
41,78.8202,78.461,false
42,81.4713,81.0324,false
43,82.6228,81.9489,false
44,61.0594,60.7456,false
45,63.8679,63.5063,false
46,59.3538,58.9714,false
47,70.8619,70.5664,false
48,78.5404,78.239,false
49,82.368,82.0067,false
50,57.3861,57.0756,false
51,78.9175,78.5311,false
52,80.1149,79.8255,false
53,114.7478,114.3782,false
54,70.2292,69.7511,false
55,80.351,80.0644,false
56,67.0138,66.6536,false
57,117.8658,117.5523,false
58,60.1361,59.7166,false
59,57.5067,57.2146,false
60,79.1226,77.844,false
61,116.4116,116.1699,false
62,95.3608,94.9473,false
63,83.1336,82.8469,false
64,73.7795,73.4461,false
65,85.5085,85.1762,false
66,58.8527,58.4703,false
67,83.3866,83.0229,false
68,68.2357,67.954,false
69,79.7469,79.4502,false
70,68.7947,68.4982,false
71,56.5814,56.2855,false
72,89.2137,88.919,false
73,73.5164,73.2317,false
74,98.2651,97.9801,false
75,70.8778,70.5982,false
76,68.5712,68.2626,false
77,66.6266,66.3543,false
78,84.6863,84.2776,false
79,97.0924,96.8176,false
80,64.4317,64.1299,false
81,86.9934,86.7106,false
82,94.7882,94.5116,false
83,96.7816,96.477,false
84,77.3117,77.0327,false
85,86.6277,86.3146,false
86,72.1525,71.8505,false
87,72.2336,71.9439,false
88,115.0194,114.7545,false
89,67.2865,66.9833,false
90,84.4617,84.146,false
91,67.6604,67.3301,false
92,67.973,67.6489,false
93,65.0688,64.7502,false
94,86.8941,86.3076,false
95,95.2018,94.8381,false
96,74.5461,74.2166,false
97,86.3255,85.9841,false
98,61.1046,60.8166,false
99,79.9658,79.6186,false
100,76.7313,76.4373,false
101,66.3893,66.1397,false
102,69.1896,68.9277,false
103,76.3244,76.064,false
104,74.0445,73.7445,false
105,60.7809,60.5038,false
106,75.2836,75.0231,false
107,74.5721,74.292,false
108,88.8783,88.5467,false
109,85.5152,85.0685,false
110,75.6346,75.3513,false
111,78.0928,77.7994,false
112,79.3469,79.0169,false
113,61.6165,61.3434,false
114,69.7894,69.5235,false
115,66.5085,66.1825,false
116,76.355,75.9258,false
117,211.7647,211.4431,false
118,95.7009,92.0289,false
119,107.4314,106.9691,false
120,84.2814,83.6483,false
121,68.2494,67.837,false
122,109.1366,108.679,false
123,74.8823,74.5808,false
124,67.6472,67.3563,false
125,62.8728,62.4933,false
126,64.518,64.0441,false
127,76.4999,76.2207,false
128,74.6861,74.4128,false
129,67.6143,67.2111,false
130,68.2188,67.5393,false
131,88.6456,88.3391,false
132,79.2057,78.884,false
133,59.8959,59.5702,false
134,69.5956,69.196,false
135,66.7571,66.239,false
136,66.8459,66.4192,false
137,92.5806,91.9453,false
138,71.2823,70.9473,false
139,88.3005,87.8873,false
140,95.7223,95.4553,false
141,87.709,87.401,false
142,68.4264,68.0877,false
143,81.6943,81.2966,false
144,127.1517,126.8197,false
145,105.3968,105.0571,false
146,56.304,55.9873,false
147,68.5433,68.2051,false
148,71.4228,71.1009,false
149,85.8333,85.1878,false
150,87.8695,87.4802,false
151,112.8017,112.4396,false
152,79.1638,78.8351,false
153,101.2491,100.9286,false
154,65.2364,64.924,false
155,65.7936,65.4458,false
156,67.6219,67.296,false
157,78.0398,77.685,false
158,90.6365,90.0848,false
159,85.3464,85.0279,false
160,62.4297,62.1514,false
161,73.3302,73.0517,false
162,81.6471,81.3766,false
163,78.758,78.4675,false
164,100.9657,100.653,false
165,70.9758,70.6694,false
166,85.1588,84.8073,false
167,76.8746,76.3932,false
168,70.4735,70.1558,false
169,75.6259,75.2681,false
170,74.6792,74.3444,false
171,76.0655,75.7444,false
172,65.8176,65.4578,false
173,53.3633,53.0393,false
174,94.3831,94.0216,false
175,86.3143,86.013,false
176,60.2639,59.9174,false
177,63.4877,63.0721,false
178,61.1292,60.7488,false
179,79.288,78.9183,false
180,88.43,88.0714,false
181,68.735,68.4059,false
182,66.0455,65.6761,false
183,72.0965,71.7396,false
184,95.8299,95.3902,false
185,84.6102,84.2542,false
186,107.7954,107.532,false
187,67.1088,66.8152,false
188,80.8166,80.4051,false
189,87.7647,87.4833,false
190,59.6285,59.0625,false
191,72.771,72.4453,false
192,71.2217,70.8871,false
193,108.3878,108.0383,false
194,104.3282,103.9987,false
195,105.1308,104.8562,false
196,117.5877,116.9647,false
197,69.5218,69.2259,false
198,61.7998,61.3932,false
199,88.1446,87.8194,false
