sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:27.8778852+00:00,0.3469,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60162048,183832576,36483637248,86,11,1247072,,0,0,0,0,0,0,1243184,60116992,,36483641344,,183693312,,9318400,,45301760,,5496832,,,,,,,,,
1,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9039073+00:00,1026.368,setup,t1-after-setup,0,0,0,0,0,0,0,397533184,514326528,36818866176,96,11,1387416,,0,0,0,0,0,0,1383120,397508608,,36818866176,,514187264,,340074496,,50532352,,6901760,,,,,,,,,
2,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9063871+00:00,1028.8472,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397586432,514392064,36818866176,96,11,1438752,,0,0,0,0,0,0,1434288,397565952,,36818866176,,514252800,,340127744,,50532352,,6905856,,,,,,,,3,false
3,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9075414+00:00,1030.0016,warmup,warmup-complete,0,0,0,0,0,5,5,397651968,514457600,36818862080,96,11,1502296,,0,0,0,0,0,0,1497640,397623296,,36818862080,,514252800,,340185088,,50532352,,6905856,,,,,,,,,
4,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9085310+00:00,1030.9911,measurement,request-count-0,0,0,0,0,0,5,5,397697024,514523136,36818862080,96,11,1559608,,0,0,0,0,0,0,1554760,397684736,,36818862080,,514318336,,340246528,,50532352,,6905856,,,,,,,,,
5,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9148124+00:00,1037.2726,measurement,request-count-10,10,10,10,0,0,5,15,397922304,514588672,36818866176,96,11,1634696,,0,0,0,0,0,0,1629608,397897728,,36818866176,,514449408,,340320256,,50597888,,6979584,,0.0087,0.0142,0.0072,0.0389,0.0425,,3,false
6,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9229373+00:00,1045.3979,measurement,request-count-50,50,50,50,0,0,5,55,398028800,514654208,36818862080,96,11,1747992,,0,0,0,0,0,0,1742520,398016512,,36818862080,,514514944,,340434944,,50597888,,6983680,,0.0057,0.0106,0.007,0.0187,0.0666,,3,false
7,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9285853+00:00,1051.0458,measurement,request-count-100,100,100,100,0,0,5,105,398155776,514785280,36818862080,96,11,1870840,,0,0,0,0,0,0,1864984,398139392,,36818862080,,514646016,,340557824,,50597888,,6983680,,0.0112,0.0158,0.0112,0.0286,0.0805,,3,false
8,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9330461+00:00,1055.5063,measurement,request-count-150,150,150,150,0,0,5,155,398286848,514916352,36818862080,96,11,1993688,,0,0,0,0,0,0,1987448,398262272,,36818862080,,514777088,,340680704,,50597888,,6983680,,0.0088,0.011,0.0088,0.0167,0.041,,3,false
9,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9373682+00:00,1059.8283,measurement,request-count-200,200,200,200,0,0,5,205,398409728,515047424,36818862080,96,11,2116536,,0,0,0,0,0,0,2109888,398385152,,36818862080,,514908160,,340803584,,50597888,,6983680,,0.0087,0.011,0.0095,0.0187,0.0276,,3,false
10,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9416195+00:00,1064.0797,measurement,request-count-250,250,250,250,0,0,5,255,398532608,515178496,36818862080,96,11,2239384,,0,0,0,0,0,0,2232328,398508032,,36818862080,,515039232,,340926464,,50597888,,6983680,,0.0143,0.0084,0.007,0.0134,0.0385,,3,false
11,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9458105+00:00,1068.2709,measurement,request-count-300,300,300,300,0,0,5,305,398655488,515309568,36818862080,96,11,2364512,,0,0,0,0,0,0,2357072,398630912,,36818862080,,515170304,,341049344,,50597888,,6983680,,0.0074,0.0087,0.0071,0.0123,0.0346,,3,false
12,phase3a-pilot-20260925-v2-pilot-tokenizer-en,tokenizer-only,2026-09-24T19:03:28.9504727+00:00,1072.9331,measurement,request-count-350,350,350,350,0,0,5,355,398778368,515440640,36818862080,96,11,2488384,,0,0,0,0,0,0,2480536,398753792,,36818862080,,515301376,,341172224,,50597888,,6983680,,0.0081,0.0121,0.0078,0.0287,0.092,,3,false
