sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:30.1183949+00:00,0.4842,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60088320,183779328,36483584000,86,11,1236728,,0,0,0,0,0,0,1232888,60055552,,36483588096,,183574528,,9289728,,45268992,,5496832,,,,,,,,,
1,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1354511+00:00,1017.5389,setup,t1-after-setup,0,0,0,0,0,0,0,397545472,514396160,36818935808,96,11,1383248,,0,0,0,0,0,0,1378976,397520896,,36818935808,,514256896,,340144128,,50475008,,6901760,,,,,,,,,
2,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1381134+00:00,1020.2007,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397606912,514461696,36818935808,96,11,1439632,,0,0,0,0,0,0,1435168,397582336,,36818935808,,514322432,,340201472,,50475008,,6905856,,,,,,,,5,false
3,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1394257+00:00,1021.5129,warmup,warmup-complete,0,0,0,0,0,5,5,397664256,514527232,36818931712,96,11,1494944,,0,0,0,0,0,0,1490264,397643776,,36818931712,,514322432,,340262912,,50475008,,6905856,,,,,,,,,
4,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1405750+00:00,1022.6621,measurement,request-count-0,0,0,0,0,0,5,5,397717504,514592768,36818931712,96,11,1551392,,0,0,0,0,0,0,1546520,397697024,,36818931712,,514387968,,340316160,,50475008,,6905856,,,,,,,,,
5,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1466012+00:00,1028.6885,measurement,request-count-10,10,10,10,0,0,5,15,397934592,514658304,36818935808,96,11,1633376,,0,0,0,0,0,0,1628264,397914112,,36818935808,,514453504,,340393984,,50540544,,6979584,,0.0049,0.0123,0.0064,0.0374,0.0494,,5,false
6,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1556519+00:00,1037.7392,measurement,request-count-50,50,50,50,0,0,5,55,398049280,514723840,36818931712,96,11,1739776,,0,0,0,0,0,0,1734304,398028800,,36818931712,,514584576,,340504576,,50540544,,6983680,,0.005,0.009,0.0055,0.0218,0.0539,,5,false
7,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1603926+00:00,1042.48,measurement,request-count-100,100,100,100,0,0,5,105,398184448,514854912,36818931712,96,11,1870848,,0,0,0,0,0,0,1864968,398168064,,36818931712,,514715648,,340635648,,50540544,,6991872,,0.0059,0.0095,0.0067,0.0167,0.0544,,5,false
8,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1653917+00:00,1047.4792,measurement,request-count-150,150,150,150,0,0,5,155,398307328,514985984,36818931712,96,11,1993696,,0,0,0,0,0,0,1987408,398290944,,36818931712,,514846720,,340758528,,50540544,,6991872,,0.0055,0.0084,0.0053,0.0257,0.0631,,5,false
9,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1703394+00:00,1052.4266,measurement,request-count-200,200,200,200,0,0,5,205,398438400,515117056,36818931712,96,11,2116544,,0,0,0,0,0,0,2109872,398413824,,36818931712,,514977792,,340881408,,50540544,,6991872,,0.0051,0.0079,0.0056,0.0178,0.0478,,5,false
10,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1758931+00:00,1057.9803,measurement,request-count-250,250,250,250,0,0,5,255,398561280,515248128,36818931712,96,11,2239392,,0,0,0,0,0,0,2232312,398536704,,36818931712,,515108864,,341004288,,50540544,,6991872,,0.0051,0.0067,0.0047,0.0096,0.0425,,5,false
11,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1806251+00:00,1062.7122,measurement,request-count-300,300,300,300,0,0,5,305,398684160,515379200,36818931712,96,11,2363936,,0,0,0,0,0,0,2356448,398659584,,36818931712,,515239936,,341127168,,50540544,,6991872,,0.0153,0.0075,0.0054,0.0126,0.0327,,5,false
12,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1848633+00:00,1066.9508,measurement,request-count-350,350,350,350,0,0,5,355,398807040,515510272,36818931712,96,11,2488224,,0,0,0,0,0,0,2480328,398782464,,36818931712,,515371008,,341250048,,50540544,,6991872,,0.008,0.0097,0.0064,0.0187,0.063,,5,false
13,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1892750+00:00,1071.3624,measurement,request-count-400,400,400,400,0,0,5,405,398929920,515641344,36818931712,96,11,2608480,,0,0,0,0,0,0,2600152,398909440,,36818931712,,515436544,,341377024,,50540544,,6991872,,0.0049,0.0091,0.006,0.0215,0.0511,,5,false
14,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.1947363+00:00,1076.8235,measurement,request-count-450,450,450,450,0,0,5,455,399048704,515772416,36818931712,96,11,2739264,,0,0,0,0,0,0,2730528,399036416,,36818931712,,515567616,,341504000,,50540544,,6991872,,0.0044,0.0091,0.0054,0.0197,0.0725,,5,false
15,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2023935+00:00,1084.4806,measurement,request-count-500,500,500,500,0,0,5,505,399179776,515903488,36818931712,96,11,2862112,,0,0,0,0,0,0,2852992,399159296,,36818931712,,515698688,,341626880,,50540544,,6991872,,0.0071,0.0099,0.0072,0.0184,0.0546,,5,false
16,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2079186+00:00,1090.0059,measurement,request-count-550,550,550,550,0,0,5,555,399302656,515969024,36818931712,96,11,2984960,,0,0,0,0,0,0,2975432,399282176,,36818931712,,515829760,,341749760,,50540544,,6991872,,0.0079,0.01,0.0087,0.0163,0.0247,,5,false
17,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2129242+00:00,1095.0113,measurement,request-count-600,600,600,600,0,0,5,605,399429632,516100096,36818931712,96,11,3107808,,0,0,0,0,0,0,3097872,399405056,,36818931712,,515960832,,341872640,,50540544,,6991872,,0.0126,0.0095,0.0084,0.0173,0.024,,5,false
18,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2178298+00:00,1099.917,measurement,request-count-650,650,650,650,0,0,5,655,399552512,516231168,36818931712,96,11,3230656,,0,0,0,0,0,0,3220336,399527936,,36818931712,,516091904,,341995520,,50540544,,6991872,,0.005,0.0075,0.0055,0.0146,0.0302,,5,false
19,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2234286+00:00,1105.5158,measurement,request-count-700,700,700,700,0,0,5,705,399675392,516362240,36818931712,96,11,3361728,,0,0,0,0,0,0,3351000,399659008,,36818931712,,516222976,,342126592,,50540544,,6991872,,0.0053,0.0093,0.0057,0.0172,0.0696,,5,false
20,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2289027+00:00,1110.9906,measurement,request-count-750,750,750,750,0,0,5,755,399798272,516493312,36818931712,96,11,3478344,,0,0,0,0,0,0,3467232,399781888,,36818931712,,516354048,,342249472,,50540544,,6991872,,0.0067,0.0082,0.0056,0.0127,0.0535,,5,false
21,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2353127+00:00,1117.4,measurement,request-count-800,800,800,800,0,0,5,805,399929344,516624384,36818931712,96,11,3607680,,0,0,0,0,0,0,3596160,399900672,,36818931712,,516485120,,342368256,,50540544,,6991872,,0.0072,0.0087,0.0059,0.0139,0.055,,5,false
22,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2397124+00:00,1121.7997,measurement,request-count-850,850,850,850,0,0,5,855,400052224,516755456,36818931712,96,11,3730952,,0,0,0,0,0,0,3719024,400027648,,36818931712,,516616192,,342495232,,50540544,,6991872,,0.0056,0.0073,0.0054,0.0161,0.0403,,5,false
23,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2450654+00:00,1127.1526,measurement,request-count-900,900,900,900,0,0,5,905,400175104,516886528,36818931712,96,11,3853376,,0,0,0,0,0,0,3841040,400150528,,36818931712,,516681728,,342618112,,50540544,,6991872,,0.0102,0.0077,0.0056,0.0127,0.0446,,5,false
24,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2498394+00:00,1131.9265,measurement,request-count-950,950,950,950,0,0,5,955,400293888,517017600,36818931712,96,11,3976224,,0,0,0,0,0,0,3963504,400273408,,36818931712,,516812800,,342740992,,50540544,,6991872,,0.0057,0.0136,0.0088,0.0262,0.112,,5,false
25,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2547457+00:00,1136.8329,measurement,request-count-1000,1000,1000,1000,0,0,5,1005,400416768,517083136,36818931712,96,11,4107296,,0,0,0,0,0,0,4094168,400404480,,36818931712,,516943872,,342872064,,50540544,,6991872,,0.0053,0.0079,0.0055,0.0168,0.0426,,5,false
26,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.2612177+00:00,1143.3053,idle,idle-0-seconds,1000,1000,1000,0,0,5,1005,400510976,517210112,36818931712,96,11,4172832,,0,0,0,0,0,0,4159464,400490496,,36818931712,,517009408,,342937600,,50540544,,7012352,,,,,,,,,
27,phase3a-pilot-20260925-v2-pilot-tokenizer-zh,tokenizer-only,2026-09-24T19:03:31.3435321+00:00,1225.62,lifecycle,post-dispose,1000,1000,1000,0,0,5,1005,353198080,469630976,36771356672,96,11,4229992,,0,0,0,0,0,0,4216456,353181696,,36771356672,,469491712,,295546880,,50606080,,7028736,,,,,,,,,
