sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:31.4484446+00:00,0.4237,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,60239872,183865344,36483670016,86,11,1254528,,0,0,0,0,0,0,1250640,60194816,,36483674112,,183726080,,9375744,,45322240,,5496832,,,,,,,,,
1,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:34.1835363+00:00,2735.5141,setup,t1-after-model-load,0,0,0,0,0,0,0,938807296,1992302592,38928273408,102,21,1829432,,0,0,0,0,0,0,1823840,938790912,,38928273408,,1992110080,,862773248,,67698688,,8318976,,,,,,,,,
2,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:34.3382192+00:00,2890.1965,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,944648192,1992433664,38928269312,102,21,1927608,,0,0,0,0,0,0,1921704,944627712,,38928269312,,1992241152,,863531008,,72298496,,8798208,,,,,,,118.2051,67,false
3,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:34.6619605+00:00,3213.9377,warmup,warmup-complete,0,0,0,0,0,5,5,945602560,1993015296,38928269312,102,21,2091576,,0,0,0,0,0,0,2085168,945582080,,38928269312,,1992822784,,864153600,,72364032,,9064448,,,,,,,,,
4,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:34.6657237+00:00,3217.7012,measurement,request-count-0,0,0,0,0,0,5,5,945680384,1993080832,38928273408,102,21,2165336,,0,0,0,0,0,0,2158688,945659904,,38928273408,,1992888320,,864219136,,72364032,,9076736,,,,,,,,,
5,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:35.5305095+00:00,4082.487,measurement,request-count-10,10,10,10,0,0,5,15,949121024,1995710464,38928289792,104,21,2476568,,0,0,0,0,0,0,2468984,949104640,,38928289792,,1995517952,,866836480,,72515584,,9752576,,72.6448,85.1147,79.325,117.948,130.4293,72.0882,67,false
6,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:38.5614462+00:00,7113.4241,measurement,request-count-50,50,50,50,0,0,5,55,950755328,1996759040,38928277504,104,21,3525144,,0,0,0,0,0,0,3514488,950738944,,38928277504,,1996566528,,867889152,,72581120,,10268672,,59.7327,73.8385,70.4969,104.9477,128.2379,59.3904,67,false
7,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:42.4904960+00:00,11042.4744,measurement,request-count-100,100,100,100,0,0,5,105,956203008,2051899392,39247314944,107,22,4819304,,0,0,0,0,0,0,4804832,956178432,,39247314944,,2051706880,,872275968,,73433088,,10469376,,54.5763,78.2626,75.5856,96.2831,131.7712,54.2193,67,false
8,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:46.3857302+00:00,14937.7078,measurement,request-count-150,150,150,150,0,0,5,155,957759488,2036645888,39230537728,104,21,6105608,,0,0,0,0,0,0,6087368,957747200,,39230537728,,2036387840,,873828352,,73433088,,10485760,,66.709,77.5434,76.3894,97.9066,110.5222,66.3657,67,false
9,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:50.1868151+00:00,18738.7927,measurement,request-count-200,200,200,200,0,0,5,205,959078400,2037891072,39230537728,104,21,7399880,,0,0,0,0,0,0,7377824,959053824,,39230537728,,2037698560,,875114496,,73433088,,10506240,,65.9854,75.6733,74.0389,93.5294,115.2279,65.5948,67,false
10,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:50.2564752+00:00,18808.4533,idle,idle-0-seconds,200,200,200,0,0,5,205,959156224,2037956608,39230529536,104,21,7473640,,0,0,0,0,0,0,7451320,959139840,,39230529536,,2037764096,,875192320,,73433088,,10514432,,,,,,,,,
11,phase3a-pilot-20260925-v3-pilot-full-pipeline,full-pipeline,2026-09-24T21:06:50.3869216+00:00,18938.8996,lifecycle,post-dispose,200,200,200,0,0,5,205,474775552,619544576,37811949568,104,12,7530952,,0,0,0,0,0,0,7508464,474755072,,37811949568,,619286528,,393990144,,70238208,,10526720,,,,,,,,,
