request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,0.026,,false
1,0.0232,,false
2,0.0122,,false
3,0.0105,,false
4,0.0111,,false
5,0.01,,false
6,0.0131,,false
7,0.0099,,false
8,0.0109,,false
9,0.0086,,false
10,0.0977,,false
11,0.02,,false
12,0.0116,,false
13,0.0112,,false
14,0.0091,,false
15,0.009,,false
16,0.0109,,false
17,0.0103,,false
18,0.0085,,false
19,0.0261,,false
20,0.0087,,false
21,0.007,,false
22,0.0203,,false
23,0.0117,,false
24,0.0105,,false
25,0.0099,,false
26,0.0063,,false
27,0.0067,,false
28,0.0067,,false
29,0.0142,,false
30,0.0071,,false
31,0.0068,,false
32,0.0071,,false
33,0.0064,,false
34,0.0063,,false
35,0.0067,,false
36,0.008,,false
37,0.0077,,false
38,0.0075,,false
39,0.0083,,false
40,0.0068,,false
41,0.0074,,false
42,0.0131,,false
43,0.0084,,false
44,0.0073,,false
45,0.008,,false
46,0.0075,,false
47,0.0072,,false
48,0.0093,,false
49,0.0125,,false
50,0.079,,false
51,0.0312,,false
52,0.0112,,false
53,0.0094,,false
54,0.0063,,false
55,0.0068,,false
56,0.007,,false
57,0.0062,,false
58,0.0117,,false
59,0.0082,,false
60,0.0062,,false
61,0.0059,,false
62,0.0063,,false
63,0.0146,,false
64,0.0076,,false
65,0.0095,,false
66,0.0064,,false
67,0.0066,,false
68,0.0062,,false
69,0.0061,,false
70,0.0072,,false
71,0.0298,,false
72,0.0082,,false
73,0.0061,,false
74,0.0065,,false
75,0.0063,,false
76,0.0088,,false
77,0.0077,,false
78,0.0149,,false
79,0.0077,,false
80,0.0069,,false
81,0.0067,,false
82,0.0055,,false
83,0.0062,,false
84,0.0063,,false
85,0.007,,false
86,0.0065,,false
87,0.0057,,false
88,0.006,,false
89,0.0063,,false
90,0.0063,,false
91,0.0199,,false
92,0.0146,,false
93,0.0082,,false
94,0.006,,false
95,0.0151,,false
96,0.0181,,false
97,0.0117,,false
98,0.0229,,false
99,0.0148,,false
100,0.0821,,false
101,0.0296,,false
102,0.0109,,false
103,0.0091,,false
104,0.0071,,false
105,0.0073,,false
106,0.0076,,false
107,0.0074,,false
108,0.0082,,false
109,0.0076,,false
110,0.0134,,false
111,0.0081,,false
112,0.0073,,false
113,0.0079,,false
114,0.0143,,false
115,0.008,,false
116,0.0074,,false
117,0.0078,,false
118,0.0068,,false
119,0.0073,,false
120,0.0077,,false
121,0.0085,,false
122,0.008,,false
123,0.0073,,false
124,0.0079,,false
125,0.008,,false
126,0.0078,,false
127,0.0314,,false
128,0.0082,,false
129,0.007,,false
130,0.0076,,false
131,0.0076,,false
132,0.0079,,false
133,0.0073,,false
134,0.014,,false
135,0.0071,,false
136,0.0073,,false
137,0.0075,,false
138,0.007,,false
139,0.0073,,false
140,0.0126,,false
141,0.0077,,false
142,0.0066,,false
143,0.0076,,false
144,0.0075,,false
145,0.007,,false
146,0.0078,,false
147,0.0123,,false
148,0.0079,,false
149,0.0072,,false
150,0.0346,,false
151,0.0102,,false
152,0.0143,,false
153,0.0067,,false
154,0.0064,,false
155,0.0064,,false
156,0.0062,,false
157,0.0069,,false
158,0.0056,,false
159,0.0059,,false
160,0.006,,false
161,0.0067,,false
162,0.0057,,false
163,0.01,,false
164,0.0063,,false
165,0.0062,,false
166,0.0061,,false
167,0.0064,,false
168,0.0061,,false
169,0.0061,,false
170,0.0102,,false
171,0.0061,,false
172,0.0056,,false
173,0.0063,,false
174,0.0056,,false
175,0.0058,,false
176,0.0086,,false
177,0.006,,false
178,0.0062,,false
179,0.0065,,false
180,0.0057,,false
181,0.0059,,false
182,0.0063,,false
183,0.018,,false
184,0.0061,,false
185,0.0062,,false
186,0.0074,,false
187,0.007,,false
188,0.0073,,false
189,0.0137,,false
190,0.0075,,false
191,0.007,,false
192,0.0069,,false
193,0.0071,,false
194,0.0062,,false
195,0.0069,,false
196,0.0117,,false
197,0.0078,,false
198,0.0066,,false
199,0.007,,false
200,0.0296,,false
201,0.0182,,false
202,0.0092,,false
203,0.0077,,false
204,0.007,,false
205,0.0071,,false
206,0.0133,,false
207,0.0081,,false
208,0.0074,,false
209,0.0079,,false
210,0.008,,false
211,0.0079,,false
212,0.007,,false
213,0.0127,,false
214,0.0072,,false
215,0.0076,,false
216,0.007,,false
217,0.0079,,false
218,0.007,,false
219,0.0077,,false
220,0.0074,,false
221,0.007,,false
222,0.0069,,false
223,0.0075,,false
224,0.0069,,false
