sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:29.1261513+00:00,0.3929,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,59961344,183762944,36349349888,86,11,1243960,,0,0,0,0,0,0,1240072,59920384,,36349353984,,183558144,,9302016,,45121536,,5496832,,,,,,,,,
1,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.1998446+00:00,1074.0845,setup,t1-after-setup,0,0,0,0,0,0,0,397447168,514404352,36684718080,96,11,1387416,,0,0,0,0,0,0,1383072,397422592,,36684718080,,514265088,,340168704,,50352128,,6901760,,,,,,,,,
2,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2023352+00:00,1076.5745,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,397512704,514469888,36684718080,96,11,1446944,,0,0,0,0,0,0,1442408,397488128,,36684718080,,514330624,,340226048,,50352128,,6909952,,,,,,,,5,false
3,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2033969+00:00,1077.6361,warmup,warmup-complete,0,0,0,0,0,5,5,397570048,514535424,36684713984,96,11,1506160,,0,0,0,0,0,0,1501432,397545472,,36684713984,,514396160,,340283392,,50352128,,6909952,,,,,,,,,
4,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2043349+00:00,1078.574,measurement,request-count-0,0,0,0,0,0,5,5,397627392,514600960,36684713984,96,11,1559608,,0,0,0,0,0,0,1554688,397602816,,36684713984,,514396160,,340340736,,50352128,,6909952,,,,,,,,,
5,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2105162+00:00,1084.7556,measurement,request-count-10,10,10,10,0,0,5,15,397840384,514666496,36684718080,96,11,1634560,,0,0,0,0,0,0,1629400,397819904,,36684718080,,514527232,,340418560,,50417664,,6983680,,0.0086,0.0135,0.011,0.0247,0.0257,,5,false
6,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2229217+00:00,1097.1613,measurement,request-count-50,50,50,50,0,0,5,55,397955072,514797568,36684713984,96,11,1747992,,0,0,0,0,0,0,1742472,397934592,,36684713984,,514592768,,340529152,,50417664,,6987776,,0.0125,0.0118,0.0083,0.0205,0.0697,,5,false
7,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2279835+00:00,1102.2231,measurement,request-count-100,100,100,100,0,0,5,105,398077952,514863104,36684713984,96,11,1870840,,0,0,0,0,0,0,1864936,398057472,,36684713984,,514723840,,340652032,,50417664,,6987776,,0.0148,0.0111,0.007,0.0266,0.0555,,5,false
8,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2329952+00:00,1107.2346,measurement,request-count-150,150,150,150,0,0,5,155,398209024,514994176,36684713984,96,11,1993688,,0,0,0,0,0,0,1987400,398184448,,36684713984,,514854912,,340779008,,50417664,,6987776,,0.0072,0.0106,0.0077,0.0227,0.0572,,5,false
9,phase3a-pilot-20260925-v3-pilot-tokenizer-mixed,tokenizer-only,2026-09-24T21:06:30.2369575+00:00,1111.1967,measurement,request-count-200,200,200,200,0,0,5,205,398327808,515125248,36684713984,96,11,2124760,,0,0,0,0,0,0,2118064,398311424,,36684713984,,514985984,,340905984,,50417664,,6987776,,0.007,0.0078,0.0064,0.014,0.0264,,5,false
