request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,0.0408,,false
1,0.0202,,false
2,0.0071,,false
3,0.0053,,false
4,0.006,,false
5,0.0048,,false
6,0.0043,,false
7,0.0116,,false
8,0.0052,,false
9,0.005,,false
10,0.0906,,false
11,0.0123,,false
12,0.0065,,false
13,0.0061,,false
14,0.0055,,false
15,0.0055,,false
16,0.0053,,false
17,0.0058,,false
18,0.0052,,false
19,0.0181,,false
20,0.0058,,false
21,0.0055,,false
22,0.0054,,false
23,0.0103,,false
24,0.0056,,false
25,0.0051,,false
26,0.0053,,false
27,0.0052,,false
28,0.005,,false
29,0.0052,,false
30,0.0104,,false
31,0.0054,,false
32,0.0052,,false
33,0.0055,,false
34,0.0062,,false
35,0.0051,,false
36,0.0103,,false
37,0.0056,,false
38,0.0052,,false
39,0.0055,,false
40,0.005,,false
41,0.0054,,false
42,0.0055,,false
43,0.0089,,false
44,0.0055,,false
45,0.0051,,false
46,0.0065,,false
47,0.0042,,false
48,0.0046,,false
49,0.0166,,false
50,0.2031,,false
51,0.0466,,false
52,0.0702,,false
53,0.0198,,false
54,0.0168,,false
55,0.0135,,false
56,0.0137,,false
57,0.0193,,false
58,0.0178,,false
59,0.0367,,false
60,0.0222,,false
61,0.0217,,false
62,0.0196,,false
63,0.0145,,false
64,0.0129,,false
65,0.0164,,false
66,0.0131,,false
67,0.0184,,false
68,0.0145,,false
69,0.0121,,false
70,0.0438,,false
71,0.0138,,false
72,0.0285,,false
73,0.0132,,false
74,0.0112,,false
75,0.0288,,false
76,0.028,,false
77,0.02,,false
78,0.008,,false
79,0.0129,,false
80,0.0079,,false
81,0.0066,,false
82,0.0066,,false
83,0.0071,,false
84,0.0075,,false
85,0.0166,,false
86,0.0096,,false
87,0.0092,,false
88,0.0093,,false
89,0.0068,,false
90,0.0074,,false
91,0.0098,,false
92,0.023,,false
93,0.0083,,false
94,0.0069,,false
95,0.0063,,false
96,0.0067,,false
97,0.0061,,false
98,0.0068,,false
99,0.0056,,false
100,0.1221,,false
101,0.0208,,false
102,0.0179,,false
103,0.011,,false
104,0.0103,,false
105,0.0103,,false
106,0.0134,,false
107,0.0097,,false
108,0.0549,,false
109,0.0157,,false
110,0.0142,,false
111,0.0116,,false
112,0.0119,,false
113,0.0128,,false
114,0.0093,,false
115,0.0154,,false
116,0.0163,,false
117,0.0137,,false
118,0.0131,,false
119,0.0161,,false
120,0.0126,,false
121,0.0207,,false
122,0.0103,,false
123,0.0081,,false
124,0.0119,,false
125,0.0102,,false
126,0.0097,,false
127,0.0079,,false
128,0.0183,,false
129,0.0107,,false
130,0.0099,,false
131,0.0091,,false
132,0.0092,,false
133,0.012,,false
134,0.0226,,false
135,0.0124,,false
136,0.0104,,false
137,0.0093,,false
138,0.0122,,false
139,0.0098,,false
140,0.0087,,false
141,0.0171,,false
142,0.0104,,false
143,0.0077,,false
