request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,99.567,98.8925,false
1,90.778,90.2869,false
2,91.5755,91.0206,false
3,116.9366,116.2374,false
4,81.5341,80.4732,false
5,90.5099,89.9731,false
6,92.0811,91.5973,false
7,83.416,82.8428,false
8,62.7284,61.9858,false
9,102.7002,102.1818,false
10,75.2886,74.8642,false
11,63.9226,63.2713,false
12,97.0424,96.5257,false
13,113.4352,112.4893,false
14,146.0291,145.3907,false
15,116.0535,115.6273,false
16,134.8738,134.2299,false
17,80.3556,79.9236,false
18,80.3621,79.9358,false
19,88.9296,88.3905,false
20,69.1569,68.7132,false
21,68.4456,68.0013,false
22,95.9734,95.5037,false
23,107.8963,107.3817,false
24,152.1242,151.6878,false
25,76.44,75.9687,false
26,124.5419,124.1076,false
27,103.4112,102.8871,false
28,69.9381,69.4242,false
29,108.7047,108.2911,false
30,100.9835,100.3755,false
31,91.4229,91.0407,false
32,99.5089,99.1731,false
33,83.6934,83.3762,false
34,73.2756,72.6409,false
35,62.3496,61.971,false
36,65.2563,64.8627,false
37,79.1705,78.8495,false
38,69.5831,69.2162,false
39,63.4031,63.053,false
40,92.5783,92.2343,false
41,93.6425,93.316,false
42,59.5408,59.1816,false
43,77.2081,76.8462,false
44,87.463,87.1305,false
45,70.4899,70.1566,false
46,69.4743,69.1218,false
47,80.7944,80.3302,false
48,103.0643,102.6328,false
49,85.1492,84.7605,false
50,103.184,102.8247,false
51,81.2087,80.8708,false
52,68.8127,68.3511,false
53,103.4143,101.4402,false
54,79.8169,79.3403,false
55,69.3145,68.9776,false
56,88.3252,87.9937,false
57,84.1735,81.8069,false
58,129.868,129.4365,false
59,133.443,126.156,false
60,107.069,106.4719,false
61,110.6137,110.3461,false
62,93.5437,93.2025,false
63,116.4818,116.1331,false
64,107.4483,107.1612,false
65,82.6653,82.3443,false
66,89.5796,89.2802,false
67,90.3859,90.0973,false
68,66.4336,66.0981,false
69,89.1364,88.8558,false
70,96.1615,94.0695,false
71,97.9692,97.6187,false
72,98.0363,97.7173,false
73,53.0845,52.7506,false
74,92.3134,91.982,false
75,94.2501,93.9114,false
76,61.4025,61.0822,false
77,89.6763,87.0175,false
78,93.3603,90.2574,false
79,97.5293,97.172,false
80,65.3173,65.0289,false
81,72.2005,71.8404,false
82,88.9811,88.6916,false
83,89.592,87.0839,false
84,96.3121,95.8117,false
85,91.1146,90.7192,false
86,143.7241,143.4212,false
87,123.0908,122.3199,false
88,66.9881,66.6853,false
89,197.9915,197.6565,false
90,89.9556,89.6319,false
91,95.4505,94.9877,false
92,103.4501,103.0904,false
93,139.3086,138.9354,false
94,176.2382,175.8789,false
