sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:15.6194883+00:00,0.1973,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,47230976,78716928,17824419840,84,9,1158904,,0,0,0,0,0,0,1155592,47202304,,17824428032,,78581760,,5378048,,35360768,,6463488,,,,,,,,,
1,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:18.3213991+00:00,2702.1074,setup,t1-after-model-load,0,0,0,0,0,0,0,927539200,1803808768,20186279936,95,19,1634104,,0,0,0,0,0,0,1629376,927514624,,20186279936,,1803673600,,859340800,,59162624,,9011200,,,,,,,,,
2,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:18.5205940+00:00,2901.3021,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,933703680,1803939840,20186275840,95,19,1724312,,0,0,0,0,0,0,1719320,933679104,,20186275840,,1803739136,,860102656,,63991808,,9584640,,,,,,,174.9978,67,false
3,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:18.9340912+00:00,3314.799,warmup,warmup-complete,0,0,0,0,0,5,5,935178240,1804386304,20186275840,95,19,1879800,,0,0,0,0,0,0,1874328,935165952,,20186288128,,1804251136,,860606464,,64253952,,10305536,,,,,,,,,
4,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:18.9376870+00:00,3318.395,measurement,request-count-0,0,0,0,0,0,5,5,935243776,1804451840,20186275840,95,19,1945336,,0,0,0,0,0,0,1939648,935219200,,20186275840,,1804316672,,860672000,,64253952,,10293248,,,,,,,,,
5,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:19.8768230+00:00,4257.5312,measurement,request-count-10,10,10,10,0,0,5,15,937009152,1804783616,20186292224,97,19,2257736,,0,0,0,0,0,0,2251112,936988672,,20186292224,,1804648448,,860995584,,64458752,,11534336,,93.7883,91.9302,89.5091,128.496,137.7346,93.2557,67,false
6,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:23.3497072+00:00,7730.4153,measurement,request-count-50,50,50,50,0,0,5,55,938741760,1805832192,20186288128,97,19,3313368,,0,0,0,0,0,0,3303648,938713088,,20186288128,,1805697024,,862048256,,64548864,,12115968,,93.686,86.2617,80.7323,118.3118,127.4324,92.4672,67,false
7,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:27.6539070+00:00,12034.6153,measurement,request-count-100,100,100,100,0,0,5,105,941514752,1833570304,20479905792,97,19,4607808,,0,0,0,0,0,0,4594248,941490176,,20479905792,,1833369600,,864030720,,65073152,,12386304,,65.5874,85.6942,85.7688,103.282,111.6046,65.0326,67,false
8,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:32.3752127+00:00,16755.9211,measurement,request-count-150,150,150,150,0,0,5,155,942903296,1834852352,20479905792,97,19,5902080,,0,0,0,0,0,0,5884704,942891008,,20479905792,,1834717184,,865423360,,65073152,,12394496,,150.6491,93.9547,92.316,123.2248,144.7752,149.9636,67,false
9,phase3a-pilot-docker-fullpipeline-500-20260925-v3,full-pipeline,2026-09-24T21:10:36.9733966+00:00,21354.1058,measurement,request-count-200,200,200,200,0,0,5,205,944300032,1836163072,20479909888,97,19,7204576,,0,0,0,0,0,0,7183384,944275456,,20479909888,,1836027904,,866746368,,65073152,,12455936,,114.2839,91.0546,90.6076,118.6113,126.2109,113.8725,67,false
