request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,69.0331,68.6619,false
1,74.2469,73.855,false
2,98.1741,97.7258,false
3,55.3268,52.3611,false
4,66.3198,65.8172,false
5,75.6415,75.1621,false
6,89.4109,88.9154,false
7,88.7134,88.3011,false
8,84.6329,84.1457,false
9,113.2655,112.7288,false
10,91.4809,90.9417,false
11,67.5072,66.8573,false
12,101.3872,100.87,false
13,69.6291,69.1215,false
14,83.6966,82.4303,false
15,73.737,73.1938,false
16,116.245,115.6326,false
17,77.5782,77.1187,false
18,98.0576,97.5484,false
19,155.092,154.6795,false
20,100.0749,99.625,false
21,77.1346,76.6984,false
22,77.9195,77.4416,false
23,66.133,65.688,false
24,87.5202,87.1011,false
25,70.3812,69.9663,false
26,75.2977,74.8947,false
27,59.0368,58.5363,false
28,100.2781,99.9061,false
29,72.0182,71.6854,false
30,77.6024,77.1284,false
31,69.2085,68.8848,false
32,84.4823,84.1318,false
33,63.2331,62.8107,false
34,92.3054,92.0161,false
35,84.1574,83.8676,false
36,77.2993,76.957,false
37,54.3671,54.0606,false
38,53.9301,53.5994,false
39,69.8069,69.4841,false
40,55.8246,55.5237,false
41,65.3031,64.9759,false
42,57.7126,57.4025,false
43,57.4185,57.0726,false
44,69.6407,69.3338,false
45,97.0948,96.8022,false
46,59.7241,59.427,false
47,70.593,70.3286,false
48,67.7483,67.4197,false
49,90.0131,89.7037,false
50,64.0911,63.7825,false
51,64.1119,63.7544,false
52,95.4054,94.9584,false
53,112.5524,111.9354,false
54,81.0511,80.6086,false
55,64.9281,64.6204,false
56,67.5952,67.3047,false
57,56.4725,56.1438,false
58,73.1103,72.7584,false
59,82.2862,81.8981,false
60,67.1784,66.6719,false
61,71.6445,71.3264,false
62,127.816,127.41,false
63,73.6318,73.265,false
64,77.9286,77.6194,false
65,72.4306,72.0839,false
66,110.3985,110.1052,false
67,69.1844,68.9095,false
68,65.8822,65.5872,false
69,64.7979,64.5353,false
70,100.2251,99.9376,false
71,80.5725,80.2499,false
72,64.8663,64.5545,false
73,111.651,111.3513,false
74,58.693,58.3359,false
75,80.5326,80.0641,false
76,67.6732,67.3144,false
77,63.9968,63.6435,false
78,68.7001,68.3483,false
79,61.6674,61.3251,false
80,86.3543,86.0163,false
81,82.6647,82.32,false
82,72.4407,72.1102,false
83,73.6662,73.4012,false
84,58.7752,58.4843,false
85,76.4682,76.1656,false
86,57.4125,57.1149,false
87,68.0527,67.7728,false
88,95.5136,95.2252,false
