sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,managed_heap_unavailable_reason,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:02.6524914+00:00,0.3876,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66625536,190312448,36483620864,94,11,7656264,,0,0,0,0,0,0,7647768,66588672,,36483620864,,190173184,,15806464,,45219840,,5562368,,,,,,,,,
1,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:05.3597610+00:00,2707.6556,setup,t1-after-model-load,0,0,0,0,0,0,0,945143808,1998827520,38928064512,110,21,8252736,,0,0,0,0,0,0,8242512,945119232,,38928064512,,1998684160,,869158912,,67510272,,8450048,,,,,,,,,
2,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:05.4787577+00:00,2826.6518,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,951029760,1998893056,38928068608,110,21,8351168,,0,0,0,0,0,0,8340632,951005184,,38928068608,,1998749696,,869924864,,72175616,,8904704,,,,,,,83.5829,67,false
3,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:05.7335256+00:00,3081.4199,warmup,warmup-complete,0,0,0,0,0,5,5,952012800,1999589376,38928072704,100,21,722928,,613576,7296,1,1,0,0,8487576,952012800,,38928072704,,1999446016,,870756352,,72306688,,8949760,,,,,,,,,
4,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:05.7350794+00:00,3082.9733,measurement,request-count-0,0,0,0,0,0,5,5,952012800,1999589376,38928072704,100,21,791704,,613576,7296,1,1,0,0,8556136,952012800,,38928072704,,1999446016,,870756352,,72306688,,8949760,,,,,,,,,
5,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:06.5603883+00:00,3908.283,measurement,request-count-10,10,10,10,0,0,5,15,953298944,2000097280,38928080896,102,21,1113696,,613576,7296,1,1,0,0,8877168,953298944,,38928080896,,1999953920,,871268352,,72458240,,9572352,,113.2655,81.4764,80.1372,106.4743,111.9072,112.7288,67,false
6,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:09.7164175+00:00,7064.312,measurement,request-count-50,50,50,50,0,0,5,55,955551744,2001387520,38928072704,102,21,2159936,,613576,7296,1,1,0,0,9920312,955551744,,38928072704,,2001244160,,872566784,,72523776,,10461184,,90.0131,78.4417,74.5173,102.13,139.9416,89.7037,67,false
7,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:13.6286770+00:00,10976.5717,measurement,request-count-100,100,100,100,0,0,5,105,960176128,2055598080,39247114240,105,22,3454448,,613576,7296,1,1,0,0,11211032,960176128,,39247114240,,2055454720,,876134400,,73375744,,10665984,,60.355,77.9033,71.6401,112.1467,138.7293,60.0749,67,false
8,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:17.3899531+00:00,14737.8477,measurement,request-count-150,150,150,150,0,0,5,155,960917504,2039492608,39230332928,102,21,4740928,,613576,7296,1,1,0,0,12493720,960913408,,39230332928,,2039349248,,876855296,,73375744,,10682368,,61.2846,74.9057,72.0245,100.4021,111.1506,60.9632,67,false
9,phase3a-pilot-noise-a-20260925-v3,full-pipeline,2026-09-24T21:07:21.0826606+00:00,18430.5554,measurement,request-count-200,200,200,200,0,0,5,205,960987136,2039541760,39230332928,102,21,6034136,,613576,7296,1,1,0,0,13783136,960987136,,39230332928,,2039398400,,876904448,,73375744,,10706944,,81.7128,73.5682,72.382,93.7904,114.9775,81.4383,67,false
