request_index,end_to_end_latency_ms,inference_latency_ms,integrity_failure
0,64.5529,63.9151,false
1,80.9919,80.256,false
2,98.5459,97.9511,false
3,73.3189,72.635,false
4,101.2701,100.6996,false
5,118.5542,117.8531,false
6,81.7713,81.0822,false
7,84.1106,83.1479,false
8,133.7944,133.2506,false
9,99.9905,97.3536,false
10,75.8049,75.3424,false
11,84.2683,83.8093,false
12,91.5798,91.1301,false
13,96.2737,94.3157,false
14,99.9063,99.3482,false
15,99.9468,99.5148,false
16,81.3451,80.9677,false
17,62.5831,62.1689,false
18,85.2295,84.6527,false
19,77.8486,77.3968,false
20,72.862,72.367,false
21,76.4327,76.0227,false
22,67.864,67.4186,false
23,67.052,66.7244,false
24,78.7239,78.3462,false
25,67.0616,66.6924,false
26,67.0306,66.6885,false
27,91.9338,91.5412,false
28,57.0503,56.5702,false
29,83.526,83.2124,false
30,73.302,72.9762,false
31,72.8029,72.446,false
32,59.8163,59.4973,false
33,76.6212,76.2437,false
34,84.9851,84.6962,false
35,69.9865,69.7099,false
36,131.1387,130.8503,false
37,60.1488,59.8105,false
38,99.6652,99.3459,false
39,76.1818,75.896,false
40,63.2758,62.9876,false
41,64.6874,64.2508,false
42,86.7702,86.4613,false
43,90.6172,90.3257,false
44,59.3295,59.0273,false
45,86.1807,85.8828,false
46,66.1768,65.886,false
47,70.716,70.3191,false
48,61.6491,61.3465,false
49,75.9958,75.6934,false
50,76.5063,76.1904,false
51,77.5003,77.219,false
52,112.9326,112.5218,false
53,101.087,100.5805,false
54,100.8485,100.4978,false
55,101.2217,100.7482,false
56,88.0727,87.4547,false
57,126.2501,125.8505,false
58,73.0083,72.5381,false
59,70.3167,69.9877,false
60,93.887,93.5496,false
61,98.0412,97.5587,false
62,73.6657,72.998,false
63,67.4756,67.087,false
64,67.7085,67.3751,false
65,77.3194,77.0059,false
66,96.3931,95.8056,false
67,65.6128,65.2918,false
68,102.6469,102.3234,false
69,76.2603,75.844,false
70,66.2489,65.9122,false
71,68.0207,67.686,false
72,74.843,74.5164,false
73,69.3619,69.0368,false
74,68.2216,67.8872,false
75,69.4081,69.147,false
76,103.9394,103.6214,false
77,66.3943,66.0499,false
78,65.3635,65.0242,false
79,73.3308,72.954,false
80,82.4268,82.0891,false
81,71.5532,71.0772,false
82,64.6897,64.3576,false
83,88.7102,88.3673,false
84,107.7068,107.2157,false
85,65.6126,65.1613,false
86,66.8758,66.2516,false
87,74.6627,74.3477,false
88,65.2347,64.9048,false
89,70.3243,69.9989,false
90,62.361,62.0329,false
91,77.8892,77.5784,false
92,71.1752,70.8619,false
93,75.7723,75.4525,false
94,77.0368,76.7043,false
95,58.3973,58.0678,false
96,69.0928,68.7682,false
97,71.7066,71.3724,false
98,82.8081,82.4944,false
99,78.716,78.3885,false
100,81.5963,81.3285,false
101,65.7165,65.3742,false
102,52.0641,51.7913,false
103,69.7914,69.4537,false
104,76.8342,76.4359,false
105,86.7167,86.4263,false
106,113.2696,112.9987,false
107,67.5731,67.2287,false
108,64.7579,64.4787,false
109,63.4395,63.1684,false
110,60.4321,60.1272,false
111,78.6484,78.2794,false
112,76.8338,76.5627,false
113,69.7711,69.5067,false
114,75.6455,75.3662,false
115,71.8545,71.5113,false
116,59.767,59.5065,false
117,93.3576,93.0384,false
118,70.1102,69.8176,false
119,65.7333,65.4673,false
120,73.6451,73.369,false
121,66.4989,66.1597,false
122,76.1029,75.7808,false
123,62.0453,61.7238,false
124,64.3304,64.0519,false
125,60.7924,60.5036,false
126,59.5078,59.0182,false
127,80.3951,80.1191,false
128,59.4005,59.1203,false
129,78.4968,78.2114,false
130,74.3901,74.1152,false
131,79.9085,79.6401,false
132,80.6628,80.3535,false
133,85.4076,85.1313,false
134,65.9998,65.7183,false
135,60.9389,60.6548,false
136,118.4927,118.2017,false
137,61.7793,61.4359,false
138,56.4148,55.9609,false
139,71.6394,71.3486,false
140,90.2487,89.9349,false
141,57.3396,57.0083,false
142,84.4704,84.1201,false
143,92.7145,92.3488,false
144,90.7368,90.4131,false
145,95.559,95.1855,false
146,74.1688,73.8315,false
147,87.0791,86.692,false
148,84.8236,84.5116,false
149,85.9318,85.5308,false
150,88.5929,88.2613,false
151,128.6762,128.3403,false
152,74.9157,74.5981,false
153,110.0792,109.6318,false
154,65.6524,65.379,false
155,62.7635,62.4629,false
156,90.7347,90.4557,false
157,75.1777,74.8834,false
158,69.5184,69.1593,false
159,69.041,68.7603,false
160,72.9894,72.6892,false
161,73.6395,73.2583,false
162,72.8166,72.5354,false
163,65.1221,64.7046,false
164,64.6575,64.3768,false
165,94.352,94.0551,false
166,77.3302,76.9683,false
167,73.0769,72.7692,false
168,71.67,71.3793,false
169,63.6614,63.3888,false
170,67.8573,67.5665,false
171,68.0171,67.7104,false
172,58.1661,57.8884,false
173,75.1568,74.8868,false
174,68.2157,67.9164,false
175,85.3341,84.9309,false
176,75.0225,74.7512,false
177,63.4893,63.212,false
178,55.0086,54.6508,false
179,82.6419,82.1807,false
180,69.216,68.9226,false
181,92.5101,92.2237,false
182,64.1942,63.9262,false
183,69.5483,69.2702,false
184,87.6395,87.3127,false
185,91.2485,90.9014,false
186,74.9417,74.5769,false
187,81.8109,81.2217,false
188,92.2981,91.7161,false
189,105.2352,104.8103,false
190,101.481,100.9448,false
191,68.821,68.4829,false
192,64.0393,63.7013,false
193,81.0725,80.7179,false
194,80.2729,79.9128,false
195,73.2758,72.7622,false
196,95.657,95.3005,false
197,84.4421,84.0332,false
198,67.517,66.9678,false
199,83.5154,82.907,false
200,138.9773,138.7074,false
201,69.0422,68.7189,false
202,72.5688,72.2121,false
203,65.9,65.5626,false
204,76.4549,76.1266,false
205,111.8765,111.5492,false
206,66.1091,65.7848,false
207,58.7474,58.4071,false
208,115.6949,115.353,false
209,97.6405,97.3097,false
210,69.7408,69.3718,false
211,61.4127,61.0318,false
212,64.1303,63.6111,false
213,78.7015,78.368,false
214,114.1618,113.8285,false
215,79.4091,79.0487,false
216,70.632,70.3342,false
217,73.2761,72.9806,false
218,81.3499,81.0158,false
219,75.3344,75.0089,false
220,93.059,92.7336,false
221,89.6952,89.3671,false
222,67.3226,67.0216,false
223,73.1821,72.8752,false
224,68.839,68.5486,false
225,74.8393,74.5625,false
226,89.3865,89.1119,false
227,90.8785,90.5917,false
228,110.9912,110.6863,false
229,64.4896,64.1242,false
230,75.8872,75.5918,false
231,67.803,67.514,false
232,71.7453,71.4412,false
233,84.1795,83.8989,false
234,100.3593,100.0193,false
235,75.1005,74.7738,false
236,88.154,87.8646,false
237,76.5424,76.23,false
238,85.436,85.1361,false
239,77.966,77.6335,false
240,66.8505,66.572,false
241,90.5365,90.2583,false
242,108.9783,108.686,false
243,93.4823,93.1859,false
244,117.9643,117.6597,false
245,79.6246,79.3375,false
246,85.773,85.4793,false
247,67.8504,67.56,false
248,69.129,68.8556,false
249,53.8175,53.525,false
250,78.9492,78.6159,false
251,67.9205,67.5407,false
252,68.0043,67.7211,false
253,79.0724,78.7812,false
254,73.7999,73.5105,false
255,94.9567,94.5764,false
256,91.2612,90.977,false
257,81.3454,81.0537,false
258,76.2013,75.8805,false
259,75.3935,75.0203,false
260,54.5819,54.2945,false
261,67.653,67.353,false
262,79.3498,78.7824,false
263,111.5947,111.3048,false
264,86.8612,86.4952,false
265,81.4308,81.1299,false
266,80.0733,79.7919,false
267,77.2586,76.9773,false
268,86.5941,86.2985,false
269,130.5767,130.2404,false
270,74.556,73.8366,false
271,74.1532,73.6841,false
272,90.085,89.7535,false
273,91.8817,91.5585,false
274,62.2084,59.48,false
275,67.4297,67.1407,false
276,111.5385,111.2426,false
277,88.4042,87.8863,false
278,89.9258,89.5722,false
279,82.3483,81.9996,false
280,70.5184,70.1197,false
281,85.3945,85.0392,false
282,72.3578,72.0822,false
283,86.92,86.6279,false
284,75.8586,75.5383,false
285,76.1992,75.9053,false
286,50.6704,50.3001,false
287,74.2826,73.9923,false
288,86.6354,86.3506,false
289,76.619,76.3216,false
290,75.4204,75.1227,false
291,65.9437,65.6643,false
292,64.0436,63.7649,false
293,105.9629,105.6494,false
294,88.6671,88.2464,false
295,85.6285,85.3096,false
296,89.664,89.3348,false
297,107.0805,106.6925,false
298,86.354,85.9097,false
299,69.3587,69.0702,false
300,300.3342,300.0594,false
301,237.3634,237.0537,false
302,93.8476,93.3562,false
303,83.9296,83.5854,false
304,69.3008,68.9352,false
305,66.724,66.3166,false
306,63.7223,63.3539,false
307,59.6667,59.311,false
308,93.2727,92.9414,false
309,84.6279,84.2726,false
310,59.1347,58.7812,false
