sample_index,run_id,scenario,timestamp_utc,elapsed_ms,phase,reason,request_count,attempted_requests,completed_requests,errors,integrity_failures,warmup_requests,total_operation_count,working_set_bytes,private_memory_bytes,virtual_memory_bytes,handle_count,threads,managed_heap_bytes,heap_size_bytes,fragmented_bytes,gc_index,gen0,gen1,gen2,total_allocated_bytes,vmrss_bytes,vmrss_unavailable_reason,vmsize_bytes,vmsize_unavailable_reason,vmdata_bytes,vmdata_unavailable_reason,rss_anon_bytes,rss_anon_unavailable_reason,rss_file_bytes,rss_file_unavailable_reason,rss_shmem_bytes,rss_shmem_unavailable_reason,last_latency_ms,mean_latency_ms,p50_latency_ms,p95_latency_ms,p99_latency_ms,last_inference_ms,sequence_length,was_truncated
0,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:03:58.8838002+00:00,0.3423,lifecycle,t0-before-model-load,0,0,0,0,0,0,0,66330624,189972480,36483555328,94,11,7242560,0,0,0,0,0,0,7234952,66285568,,36483555328,,189833216,,15384576,,45338624,,5562368,,,,,,,,,
1,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:01.5672703+00:00,2683.8121,setup,t1-after-model-load,0,0,0,0,0,0,0,944861184,1998413824,38927863808,110,21,7840056,0,0,0,0,0,0,7830720,944836608,,38927863808,,1998274560,,868745216,,67629056,,8462336,,,,,,,,,
2,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:01.7301828+00:00,2846.7232,first-operation,t2-after-first-operation,0,0,0,0,0,1,1,952705024,1998479360,38927863808,110,21,7938488,0,0,0,0,0,0,7928840,952680448,,38927863808,,1998340096,,869507072,,74260480,,8912896,,,,,,,118.7214,67,false
3,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:02.0649905+00:00,3181.5314,warmup,warmup-complete,0,0,0,0,0,5,5,953155584,1998786560,38927872000,110,21,8102200,0,0,0,0,0,0,8092048,953131008,,38927872000,,1998647296,,869785600,,74326016,,9019392,,,,,,,,,
4,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:02.0671008+00:00,3183.6409,measurement,request-count-0,0,0,0,0,0,5,5,953221120,1998852096,38927872000,110,21,8167736,0,0,0,0,0,0,8157368,953200640,,38927872000,,1998712832,,869855232,,74326016,,9019392,,,,,,,,,
5,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:03.0157772+00:00,4132.3175,measurement,request-count-10,10,10,10,0,0,5,15,955604992,2000187392,38927880192,102,21,712192,620656,7320,1,1,0,0,8466008,955604992,,38927880192,,2000048128,,871305216,,74543104,,9756672,,99.9905,93.69,91.3282,126.9363,132.4227,97.3536,67,false
6,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:06.1499241+00:00,7266.465,measurement,request-count-50,50,50,50,0,0,5,55,957485056,2001281024,38927876096,102,21,1757320,620656,7320,1,1,0,0,9508040,957485056,,38927876096,,2001141760,,872407040,,74608640,,10469376,,75.9958,77.8592,76.0887,99.9083,118.9738,75.6934,67,false
7,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:10.1956979+00:00,11312.2386,measurement,request-count-100,100,100,100,0,0,5,105,962719744,2056110080,39246913536,105,22,3051216,620656,7320,1,1,0,0,10798144,962719744,,39246913536,,2055970816,,876593152,,75460608,,10665984,,78.7159,79.0927,74.1641,106.0114,119.7245,78.3885,67,false
8,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:13.9602183+00:00,15076.7593,measurement,request-count-150,150,150,150,0,0,5,155,962998272,2039545856,39230132224,102,21,4337392,620656,7320,1,1,0,0,12080528,962998272,,39230132224,,2039406592,,876855296,,75460608,,10682368,,85.9318,74.8766,73.9069,94.5683,115.9333,85.5308,67,false
9,phase3a-pilot-noise-a-20260925,full-pipeline,2026-09-24T18:04:17.8806458+00:00,18997.1865,measurement,request-count-200,200,200,200,0,0,5,205,963084288,2039607296,39230132224,102,21,5630328,620656,7320,1,1,0,0,13369672,963084288,,39230132224,,2039468032,,876916736,,75460608,,10706944,,83.5154,77.8422,74.2776,103.5458,119.5636,82.907,67,false
